Quarter,Time,Down,ToGo,Location,LAC,PHI,Detail,EPB,EPA
3,12:25,1,10,PHI 32,7,10,Justin Herbert pass complete deep right to Donald Parham for 19 yards (tackle by Darius Slay),3.450,4.710
3,11:53,1,10,PHI 13,7,10,Justin Herbert pass incomplete short right intended for Mike Williams,4.710,4.050
3,11:50,2,10,PHI 13,7,10,Austin Ekeler up the middle for no gain (tackle by Derek Barnett and Rodney McLeod),4.050,3.120
3,11:17,3,10,PHI 13,7,10,Justin Herbert scrambles left end for 1 yard (tackle by Alex Singleton),3.120,2.630
3,10:36,4,9,PHI 12,10,10,Dustin Hopkins 30 yard field goal good,2.630,3.000
3,10:33,,,LAC 35,10,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,10:33,1,10,PHI 25,10,10,Boston Scott up the middle for 3 yards (tackle by Derwin James),0.610,0.470
3,9:53,2,7,PHI 28,10,10,Jalen Hurts up the middle for 3 yards (tackle by Linval Joseph),0.470,0.170
3,9:28,3,4,PHI 31,10,10,Jalen Hurts sacked by Joey Bosa for -7 yards,0.170,-1.770
3,8:50,4,11,PHI 24,10,10,Arryn Siposs punts 42 yards downed by Alex Singleton,-1.770,-1.200
3,8:40,1,10,LAC 34,10,10,Justin Herbert pass complete deep left to Mike Williams for 49 yards (tackle by Darius Slay),1.200,4.440
3,8:00,1,10,PHI 17,10,10,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Avonte Maddox),4.440,5.290
3,7:25,2,2,PHI 9,10,10,Larry Rountree left tackle for 1 yard (tackle by T.J. Edwards),5.290,4.800
3,6:50,3,1,PHI 8,16,10,"Justin Herbert pass complete short right to Donald Parham for 8 yards, touchdown",4.800,7.000
3,6:44,,,PHI 15,16,10,Dustin Hopkins kicks extra point no good,0.000,-1.000
3,6:44,,,LAC 35,16,10,"Dustin Hopkins kicks off 67 yards, returned by John Hightower for 17 yards (tackle by Nasir Adderley)",0.000,-0.220
3,6:40,1,10,PHI 15,16,10,Jordan Howard up the middle for no gain (tackle by Jerry Tillery and Kyzir White),-0.220,-0.710
3,6:02,2,10,PHI 15,16,10,Jalen Hurts pass complete deep right to DeVonta Smith for 23 yards (tackle by Drue Tranquill and Ryan Smith),-0.710,1.470
3,5:36,1,10,PHI 38,16,10,Jalen Hurts pass complete deep left to DeVonta Smith for 19 yards (tackle by Nasir Adderley),1.470,2.720
3,5:11,1,10,LAC 43,16,10,Jordan Howard for 5 yards (tackle by Christian Covington),2.720,2.850
3,4:52,2,5,LAC 38,16,10,Jalen Hurts pass complete short right to Dallas Goedert for 21 yards (tackle by Ryan Smith),2.850,4.440
3,4:26,1,10,LAC 17,16,10,Jordan Howard right end for 2 yards (tackle by Linval Joseph),4.440,4.150
3,3:46,2,8,LAC 15,16,10,Jalen Hurts pass incomplete short left,4.150,3.340
3,3:43,3,8,LAC 15,16,10,Jalen Hurts scrambles for 12 yards (tackle by Mark Webb),3.340,6.510
3,3:36,1,3,LAC 3,16,10,Kenneth Gainwell up the middle for 2 yards (tackle by Drue Tranquill and Derwin James),6.510,5.910
3,3:14,2,1,LAC 1,16,16,"Kenneth Gainwell up the middle for 1 yard, touchdown",5.910,7.000
3,3:10,,,LAC 15,16,17,Jake Elliott kicks extra point good,0.000,0.000
3,3:10,,,PHI 35,16,17,"Jake Elliott kicks off 65 yards, returned by Andre Roberts for 39 yards (tackle by Alex Singleton and Marcus Epps)",0.000,1.530
3,3:02,1,10,LAC 39,16,17,Justin Herbert pass complete short right to Austin Ekeler for -2 yards (tackle by Davion Taylor),1.530,0.720
3,2:24,2,12,LAC 37,16,17,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by T.J. Edwards),0.720,0.960
3,1:51,3,5,LAC 44,16,17,"Justin Herbert pass incomplete short left intended for Mike Williams (defended by Darius Slay). Penalty on Darius Slay: Defensive Holding, 5 yards (accepted) (no play)",0.960,2.190
3,1:46,1,10,LAC 49,16,17,Justin Herbert pass complete short left to Stephen Anderson for 3 yards (tackle by Zech McPhearson and T.J. Edwards),2.190,2.050
3,1:05,2,7,PHI 48,16,17,"Larry Rountree right end for no gain (tackle by T.J. Edwards). Penalty on Stephen Anderson: Offensive Holding, 10 yards (accepted) (no play)",2.050,0.700
3,0:40,2,17,LAC 42,16,17,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Steven Nelson),0.700,1.090
Quarter,Time,Down,ToGo,Location,LAC,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,PHI 50,16,17,Justin Herbert pass complete short right to Keenan Allen for 18 yards (tackle by Anthony Harris),1.090,3.450
4,14:18,1,10,PHI 32,16,17,Austin Ekeler left end for 5 yards (tackle by Davion Taylor),3.450,3.580
4,13:38,2,5,PHI 27,16,17,Austin Ekeler up the middle for -1 yards (tackle by Fletcher Cox and T.J. Edwards),3.580,2.740
4,13:02,3,6,PHI 28,16,17,"Penalty on Derek Barnett: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.740,3.400
4,12:51,3,1,PHI 23,16,17,Justin Herbert up the middle for 1 yard (tackle by Davion Taylor),3.400,4.110
4,12:14,1,10,PHI 22,16,17,Austin Ekeler left end for 14 yards (tackle by Rodney McLeod and Zech McPhearson),4.110,5.370
4,11:38,1,8,PHI 8,22,17,"Justin Herbert scrambles left end for 8 yards, touchdown",5.370,7.000
4,11:32,,,PHI 2,24,17,Two Point Attempt: Justin Herbert pass complete to to Jared Cook for no gain,1.000,1.000
4,11:32,,,LAC 35,24,17,"Dustin Hopkins kicks off 62 yards, returned by Quez Watkins for 19 yards (tackle by Nick Niemann)",0.000,0.410
4,11:25,1,10,PHI 22,24,17,Jalen Hurts pass complete short left to Jalen Reagor for -6 yards (tackle by Kyzir White and Uchenna Nwosu),0.410,-1.080
4,10:40,2,16,PHI 16,24,17,Jalen Hurts pass complete deep left to DeVonta Smith for 19 yards (tackle by Tevaughn Campbell),-1.080,1.270
4,10:11,1,10,PHI 35,24,17,Boston Scott left end for 10 yards (tackle by Kyzir White),1.270,1.930
4,9:48,1,10,PHI 45,24,17,Jalen Hurts pass complete short left to Dallas Goedert for 4 yards (tackle by Kyzir White),1.930,1.920
4,9:13,2,6,PHI 49,24,17,Boston Scott left end for 2 yards (tackle by Kyzir White),1.920,1.490
4,8:37,3,4,LAC 49,24,17,Jalen Hurts scrambles right end for 4 yards (tackle by Drue Tranquill),1.490,2.590
4,7:53,1,10,LAC 45,24,17,Jordan Howard up the middle for 6 yards (tackle by Nasir Adderley and Drue Tranquill),2.590,2.850
4,7:30,2,4,LAC 39,24,17,Jordan Howard left guard for no gain (tackle by Linval Joseph),2.850,2.150
4,6:55,,,,,,Timeout #1 by Los Angeles Chargers,,
4,6:55,3,4,LAC 39,24,17,Jalen Hurts scrambles right end for 11 yards (tackle by Derwin James),2.150,3.710
4,6:16,1,10,LAC 28,24,23,"Jalen Hurts pass complete deep right to DeVonta Smith for 28 yards, touchdown",3.710,7.000
4,6:07,,,LAC 15,24,24,Jake Elliott kicks extra point good,0.000,0.000
4,6:07,,,PHI 35,24,24,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,6:07,1,10,LAC 25,24,24,Justin Herbert pass complete short right to Keenan Allen for 3 yards (tackle by Davion Taylor and Zech McPhearson),0.610,0.470
4,5:31,2,7,LAC 28,24,24,Justin Herbert pass complete short right to Austin Ekeler for 14 yards (tackle by Zech McPhearson),0.470,1.730
4,4:47,1,10,LAC 42,24,24,Austin Ekeler left end for 10 yards (tackle by Rodney McLeod and Genard Avery),1.730,2.390
4,4:09,1,10,PHI 48,24,24,Justin Herbert pass complete short left to Joshua Kelley for 4 yards (tackle by Davion Taylor),2.390,2.390
4,3:30,2,6,PHI 44,24,24,Justin Herbert pass incomplete short right intended for Jalen Guyton,2.390,1.690
4,3:27,3,6,PHI 44,24,24,Justin Herbert pass complete short right to Keenan Allen for 5 yards (tackle by T.J. Edwards),1.690,0.660
4,2:48,4,1,PHI 39,24,24,Austin Ekeler up the middle for 2 yards (tackle by Genard Avery),0.660,3.120
4,2:00,1,10,PHI 37,24,24,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",3.120,2.790
4,2:00,1,15,PHI 42,24,24,Justin Herbert pass complete short left to Stephen Anderson for 11 yards (tackle by Davion Taylor),2.790,3.380
4,1:53,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:53,2,4,PHI 31,24,24,Austin Ekeler left end for 2 yards (tackle by Javon Hargrave),3.380,2.940
4,1:48,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:48,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:48,3,2,PHI 29,24,24,Austin Ekeler up the middle for 1 yard (tackle by Javon Hargrave),2.940,1.720
4,1:45,,,,,,Timeout #3 by Philadelphia Eagles,,
4,1:45,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:45,4,1,PHI 28,24,24,Justin Herbert up the middle for 1 yard (tackle by Milton Williams),1.720,3.780
4,1:04,1,10,PHI 27,24,24,Austin Ekeler right end for no gain (tackle by Genard Avery),3.780,3.230
4,0:21,2,10,PHI 27,24,24,Austin Ekeler for 16 yards (tackle by Zech McPhearson),3.230,4.840
4,0:06,1,10,PHI 11,24,24,Justin Herbert spiked the ball,4.840,4.140
4,0:05,2,10,PHI 11,27,24,Dustin Hopkins 29 yard field goal good,4.140,3.000
4,0:02,,,LAC 35,27,24,"Dustin Hopkins kicks off 48 yards, returned by Greg Ward for 3 yards, lateral to John Hightower for no gain. John Hightower fumbles, recovered by Alex Singleton at PHI-3",0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
