Quarter,Time,Down,ToGo,Location,CIN,DET,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,CIN,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,8,CIN 25,7,0,"Kevin Huber punts 58 yards, returned by Kalif Raymond for 11 yards (tackle by Chris Evans)",-1.700,-0.810
2,14:48,1,10,DET 28,7,0,D'Andre Swift right end for 3 yards (tackle by Vonn Bell),0.810,0.670
2,14:17,2,7,DET 31,7,0,Jared Goff pass complete short left to T.J. Hockenson for 10 yards (tackle by Vonn Bell),0.670,1.660
2,13:37,1,10,DET 41,7,0,D'Andre Swift left end for 8 yards (tackle by Logan Wilson),1.660,2.200
2,13:01,2,2,DET 49,7,0,Jamaal Williams right tackle for 1 yard (tackle by B.J. Hill and Vonn Bell),2.200,1.620
2,12:34,3,1,DET 50,7,0,Jamaal Williams up the middle for 6 yards (tackle by Eli Apple),1.620,2.650
2,11:54,1,10,CIN 44,7,0,Jared Goff pass complete short left to Kalif Raymond for 4 yards (tackle by Chidobe Awuzie),2.650,2.650
2,11:23,2,6,CIN 40,7,0,D'Andre Swift up the middle for 2 yards (tackle by Akeem Davis-Gaither),2.650,2.210
2,10:53,3,4,CIN 38,7,0,Jared Goff pass incomplete short left intended for T.J. Hockenson,2.210,0.720
2,10:49,4,4,CIN 38,7,0,"Jared Goff pass incomplete short left. Penalty on Penei Sewell: Offensive Holding, 10 yards (declined)",0.720,-1.530
2,10:42,1,10,CIN 39,7,0,Joe Mixon right tackle for 4 yards (tackle by Derrick Barnes),1.530,1.530
2,9:59,2,6,CIN 43,7,0,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Derrick Barnes),1.530,1.360
2,9:13,3,2,CIN 47,7,0,Joe Burrow sacked by Julian Okwara for -10 yards,1.360,-0.910
2,8:29,4,12,CIN 37,7,0,"Kevin Huber punts 51 yards, returned by Kalif Raymond for no gain (tackle by Joe Bachie). Penalty on Tom Kennedy: Offensive Illegal Block Above the Waist, 6 yards (accepted)",-0.910,0.380
2,8:21,1,10,DET 6,7,0,Jared Goff pass complete short left to Kalif Raymond for 6 yards (tackle by Markus Bailey),-0.380,-0.340
2,7:49,2,4,DET 12,7,0,Jared Goff pass complete short left to Kalif Raymond for 5 yards (tackle by Chidobe Awuzie),-0.340,-0.060
2,7:11,1,10,DET 17,7,0,Jared Goff pass complete short right to D'Andre Swift for 3 yards (tackle by Mike Hilton),-0.060,-0.060
2,6:39,2,7,DET 20,7,0,D'Andre Swift right end for 1 yard (tackle by D.J. Reader),-0.060,-0.750
2,6:00,3,6,DET 21,7,0,Jared Goff pass complete short right to Kalif Raymond for 5 yards (tackle by Vonn Bell),-0.750,-1.630
2,5:14,,,,,,Timeout #1 by Detroit Lions,,
2,5:14,4,1,DET 26,7,0,Jamaal Williams up the middle for 1 yard (tackle by Vonn Bell and Wyatt Ray),-1.630,0.740
2,4:39,1,10,DET 27,7,0,D'Andre Swift up the middle for 1 yard (tackle by Wyatt Ray),0.740,0.330
2,4:03,2,9,DET 28,7,0,Jared Goff pass complete short right to Jamaal Williams for -2 yards (tackle by Logan Wilson),0.330,-0.620
2,3:20,3,11,DET 26,7,0,Jared Goff pass incomplete short right intended for T.J. Hockenson,-0.620,-1.630
2,3:16,4,11,DET 26,7,0,"Jack Fox punts 64 yards, returned by Trenton Irwin for 15 yards (tackle by C.J. Moore and Anthony Pittman)",-1.630,-0.610
2,3:04,1,10,CIN 25,7,0,Joe Mixon left tackle for 6 yards (tackle by Alex Anzalone),0.610,0.870
2,2:32,2,4,CIN 31,7,0,"Joe Burrow pass complete short left to Joe Mixon for 1 yard. Joe Mixon fumbles (forced by Jerry Jacobs), recovered by Joe Mixon at CIN-32 (tackle by Jerry Jacobs)",0.870,0.300
2,2:00,3,3,CIN 32,7,0,Joe Burrow pass incomplete short right intended for Tee Higgins,0.300,-1.240
2,1:57,4,3,CIN 32,7,0,"Kevin Huber punts 54 yards, returned by Kalif Raymond for 14 yards (tackle by Chris Evans)",-1.240,-0.810
2,1:47,1,10,DET 28,7,0,Jared Goff pass incomplete deep left intended for Kalif Raymond (defended by Chidobe Awuzie),0.810,0.260
2,1:42,2,10,DET 28,7,0,D'Andre Swift right end for -5 yards (tackle by Sam Hubbard),0.260,-1.090
2,1:38,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:38,3,15,DET 23,7,0,"Jared Goff scrambles right end for 1 yard (tackle by Trey Hendrickson). Penalty on Matt Nelson: Offensive Holding, 10 yards (declined)",-1.090,-1.770
2,1:32,4,14,DET 24,7,0,"Jack Fox punts 63 yards, returned by Trenton Irwin for 11 yards (tackle by Bobby Price and Josh Woods)",-1.770,-0.540
2,1:21,1,10,CIN 24,7,0,Joe Burrow pass complete short left to Tyler Boyd for 7 yards (tackle by Jerry Jacobs),0.540,0.940
2,0:59,2,3,CIN 31,7,0,Joe Burrow pass incomplete short left intended for Tyler Boyd,0.940,0.230
2,0:53,3,3,CIN 31,7,0,Joe Burrow pass complete short right to Joe Mixon for 9 yards (tackle by AJ Parker),0.230,1.600
2,0:32,1,10,CIN 40,7,0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Jerry Jacobs),1.600,1.050
2,0:28,2,10,CIN 40,7,0,Joe Burrow pass incomplete short middle intended for Tee Higgins (defended by Tracy Walker),1.050,0.370
2,0:23,3,10,CIN 40,7,0,Joe Burrow pass complete deep right to Ja'Marr Chase for 34 yards (tackle by Jerry Jacobs),0.370,3.840
2,0:17,1,10,DET 26,7,0,Joe Burrow scrambles up the middle for 6 yards (tackle by Tracy Walker),3.840,4.110
2,0:11,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:11,2,4,DET 20,7,0,Joe Burrow pass incomplete short right,4.110,3.400
2,0:04,3,4,DET 20,10,0,Evan McPherson 38 yard field goal good,3.400,3.000
Quarter,Time,Down,ToGo,Location,CIN,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,10,0,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CIN 25,10,0,Joe Mixon right end for 14 yards (tackle by Jalen Reeves-Maybin),0.610,1.530
3,14:21,1,10,CIN 39,10,0,Joe Mixon left end for 4 yards (tackle by Derrick Barnes),1.530,1.530
3,13:46,2,6,CIN 43,10,0,Chris Evans left end for 3 yards (tackle by Trey Flowers),1.530,1.220
3,13:12,3,3,CIN 46,10,0,Joe Burrow scrambles up the middle for 5 yards (tackle by Charles Harris),1.220,2.320
3,12:25,1,10,DET 49,10,0,Joe Burrow pass complete short left to C.J. Uzomah for 8 yards (tackle by AJ Parker and Michael Brockers),2.320,2.860
3,11:42,2,2,DET 41,10,0,Joe Burrow pass incomplete short right intended for Joe Mixon (defended by Levi Onwuzurike),2.860,2.150
3,11:36,3,2,DET 41,10,0,Joe Mixon up the middle for 1 yard (tackle by Austin Bryant and Alex Anzalone),2.150,0.590
3,10:49,4,1,DET 40,16,0,"Joe Burrow pass complete short right to Joe Mixon for 40 yards, touchdown",0.590,7.000
3,10:40,,,DET 15,17,0,Evan McPherson kicks extra point good,0.000,0.000
3,10:40,,,CIN 35,17,0,"Evan McPherson kicks off 62 yards, returned by Tom Kennedy for 28 yards (tackle by Darius Phillips)",0.000,1.000
3,10:35,1,10,DET 31,17,0,Jared Goff pass complete short middle to T.J. Hockenson for 5 yards (tackle by Logan Wilson),1.000,1.140
3,10:16,2,5,DET 36,17,0,Jared Goff pass complete short right to T.J. Hockenson for 4 yards (tackle by Jessie Bates),1.140,0.960
3,10:00,3,1,DET 40,17,0,D'Andre Swift left tackle for no gain (tackle by D.J. Reader),0.960,-0.720
3,9:36,4,1,DET 40,17,0,"Penalty on Evan Brown: False Start, 4 yards (accepted) (no play)",-0.720,-0.980
3,9:21,4,5,DET 36,17,0,"Jack Fox punts 64 yards, touchback.",-0.980,-0.280
3,9:13,1,10,CIN 20,17,0,Joe Burrow pass complete short right to Tee Higgins for 7 yards (tackle by Derrick Barnes),0.280,0.680
3,8:39,2,3,CIN 27,17,0,Joe Mixon right end for 7 yards (tackle by AJ Parker),0.680,1.200
3,7:56,1,10,CIN 34,17,0,Joe Mixon right end for 6 yards (tackle by AJ Parker and Alex Anzalone),1.200,1.470
3,7:19,2,4,CIN 40,17,0,Joe Mixon up the middle for 3 yards (tackle by Alex Anzalone),1.470,1.160
3,6:37,,,,,,Timeout #1 by Cincinnati Bengals,,
3,6:37,3,1,CIN 43,17,0,Joe Mixon right end for 4 yards (tackle by Alex Anzalone),1.160,2.060
3,5:57,1,10,CIN 47,17,0,Chris Evans left tackle for 6 yards (tackle by Nick Williams),2.060,2.330
3,5:14,2,4,DET 47,17,0,Joe Burrow pass complete short middle to Tee Higgins for 23 yards (tackle by Amani Oruwariye),2.330,3.970
3,4:29,1,10,DET 24,17,0,Joe Mixon up the middle for 2 yards (tackle by Charles Harris and Alim McNeill),3.970,3.700
3,3:52,2,8,DET 22,17,0,Joe Burrow pass incomplete deep left intended for Drew Sample (defended by Derrick Barnes),3.700,3.010
3,3:46,3,8,DET 22,17,0,Joe Burrow pass incomplete short right intended for Tyler Boyd,3.010,1.990
3,3:43,4,8,DET 22,20,0,Evan McPherson 40 yard field goal good,1.990,3.000
3,3:38,,,CIN 35,20,0,"Evan McPherson kicks off 62 yards, returned by Tom Kennedy for 18 yards (tackle by Jalen Davis)",0.000,0.340
3,3:32,1,10,DET 21,20,0,"Penalty on T.J. Hockenson: False Start, 5 yards (accepted) (no play)",0.340,-0.220
3,3:32,1,15,DET 16,20,0,Jared Goff pass complete deep middle to T.J. Hockenson for 33 yards (tackle by Vonn Bell),-0.220,2.190
3,3:08,1,10,DET 49,20,0,Jared Goff pass complete short right to KhaDarel Hodge for 2 yards (tackle by Jessie Bates),2.190,1.920
3,2:47,2,8,CIN 49,20,0,Jared Goff pass incomplete short middle intended for Jamaal Williams,1.920,1.220
3,2:43,3,8,CIN 49,20,0,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown,1.220,0.000
3,2:38,4,8,CIN 49,20,0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",0.000,-0.320
3,2:38,4,13,DET 46,20,0,"Jack Fox punts 49 yards, fair catch by Trenton Irwin at CIN-5",-0.320,0.380
3,2:30,1,10,CIN 5,20,0,Joe Mixon left end for 4 yards (tackle by Trey Flowers),-0.380,-0.490
3,1:44,2,6,CIN 9,20,0,Joe Burrow pass complete short left to Chris Evans for 11 yards (tackle by AJ Parker),-0.490,0.280
3,1:03,1,10,CIN 20,20,0,Chris Evans right end for 5 yards (tackle by Charles Harris),0.280,0.410
3,0:24,2,5,CIN 25,20,0,Joe Burrow pass complete deep middle to Ja'Marr Chase for 53 yards (tackle by Jerry Jacobs),0.410,4.110
Quarter,Time,Down,ToGo,Location,CIN,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 22,20,0,Joe Mixon left end for 18 yards (tackle by Tracy Walker),4.110,6.280
4,14:12,1,4,DET 4,20,0,Joe Burrow sacked by Austin Bryant for -12 yards,6.280,3.340
4,13:26,2,16,DET 16,20,0,Joe Burrow pass complete short middle to Chris Evans for 14 yards (tackle by Jalen Reeves-Maybin),3.340,4.950
4,12:43,3,2,DET 2,26,0,"Joe Burrow pass complete short left to C.J. Uzomah for 2 yards, touchdown",4.950,7.000
4,12:38,,,DET 15,27,0,Evan McPherson kicks extra point good,0.000,0.000
4,12:38,,,CIN 35,27,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,12:38,1,10,DET 25,27,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Chidobe Awuzie),0.610,1.280
4,12:12,2,1,DET 34,27,0,Jared Goff pass complete short right to T.J. Hockenson for 5 yards (tackle by Jessie Bates),1.280,1.530
4,11:45,1,10,DET 39,27,0,D'Andre Swift right tackle for 9 yards (tackle by Larry Ogunjobi and Wyatt Ray),1.530,2.200
4,11:26,2,1,DET 48,27,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 3 yards (tackle by Chidobe Awuzie),2.200,2.320
4,11:06,1,10,CIN 49,27,0,D'Andre Swift up the middle for 5 yards (tackle by Logan Wilson),2.320,2.460
4,10:42,2,5,CIN 44,27,0,Jared Goff pass complete short middle to Tom Kennedy for 15 yards (tackle by Vonn Bell),2.460,3.640
4,10:19,1,10,CIN 29,27,0,Jared Goff pass incomplete deep left intended for KhaDarel Hodge,3.640,3.100
4,10:14,2,10,CIN 29,27,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 7 yards (tackle by Mike Hilton),3.100,3.340
4,9:56,3,3,CIN 22,27,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Mike Hilton),3.340,4.370
4,9:38,1,10,CIN 18,27,0,D'Andre Swift up the middle for -2 yards (tackle by Logan Wilson),4.370,3.560
4,9:20,2,12,CIN 20,27,0,Jared Goff pass complete short right to D'Andre Swift for 3 yards (tackle by Akeem Davis-Gaither),3.560,3.170
4,8:47,,,,,,Timeout #2 by Cincinnati Bengals,,
4,8:47,3,9,CIN 17,27,0,Jared Goff pass incomplete short right intended for D'Andre Swift,3.170,2.310
4,8:40,4,9,CIN 17,27,3,Austin Seibert 35 yard field goal good,2.310,3.000
4,8:36,,,DET 35,27,3,"Austin Seibert kicks onside 11 yards, returned by Germaine Pratt for 2 yards (tackle by Will Harris and Derrick Barnes)",0.000,2.650
4,8:32,1,10,DET 44,27,3,Chris Evans left tackle for 4 yards (tackle by Jerry Jacobs),2.650,2.650
4,7:46,2,6,DET 40,27,3,Trayveon Williams right tackle for 2 yards (tackle by Alex Anzalone and John Penisini),2.650,2.210
4,7:02,3,4,DET 38,27,3,"Brandon Allen pass incomplete intended for Tee Higgins. Penalty on AJ Parker: Defensive Pass Interference, 21 yards (accepted) (no play)",2.210,4.440
4,6:57,1,10,DET 17,27,3,Trayveon Williams up the middle for 1 yard (tackle by Jalen Reeves-Maybin and Trey Flowers),4.440,4.000
4,6:10,2,9,DET 16,27,3,Trayveon Williams up the middle for -2 yards (tackle by Michael Brockers),4.000,3.000
4,5:26,3,11,DET 18,27,3,"Brandon Allen pass incomplete intended for Auden Tate. Penalty on Amani Oruwariye: Defensive Pass Interference, 11 yards (accepted) (no play)",3.000,5.600
4,5:22,1,7,DET 7,33,3,"Brandon Allen pass complete short left to Auden Tate for 7 yards, touchdown",5.600,7.000
4,5:16,,,DET 15,34,3,Evan McPherson kicks extra point good,0.000,0.000
4,5:16,,,CIN 35,34,3,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,5:16,1,10,DET 25,34,3,Jared Goff pass complete short middle to KhaDarel Hodge for 7 yards (tackle by Ricardo Allen and Joe Bachie),0.610,1.010
4,4:55,2,3,DET 32,34,3,Jared Goff pass complete short right to T.J. Hockenson for 10 yards (tackle by Akeem Davis-Gaither),1.010,1.730
4,4:40,1,10,DET 42,34,3,Jared Goff spiked the ball,1.730,1.190
4,4:39,2,10,DET 42,34,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Joe Bachie),1.190,0.890
4,4:21,3,7,DET 45,34,3,Jared Goff pass complete short middle to Kalif Raymond for 7 yards (tackle by Akeem Davis-Gaither),0.890,2.390
4,4:02,1,10,CIN 48,34,3,Jared Goff pass incomplete deep middle intended for T.J. Hockenson (defended by Joe Bachie) (defended by Akeem Davis-Gaither),2.390,1.850
4,3:56,2,10,CIN 48,34,3,Jared Goff pass complete short left to D'Andre Swift for 8 yards (tackle by Joe Bachie),1.850,2.210
4,3:35,3,2,CIN 40,34,3,Jared Goff pass complete short middle to Kalif Raymond for 10 yards (tackle by Akeem Davis-Gaither),2.210,3.580
4,3:15,1,10,CIN 30,34,3,Jared Goff pass complete short middle to D'Andre Swift for 14 yards (tackle by Joe Bachie and Jalen Davis),3.580,4.510
4,2:54,,,,,,Timeout #3 by Cincinnati Bengals,,
4,2:54,1,10,CIN 16,34,3,Jared Goff pass incomplete deep left,4.510,3.900
4,2:46,2,10,CIN 16,34,3,Jared Goff pass incomplete short left intended for KhaDarel Hodge,3.900,3.080
4,2:41,3,10,CIN 16,34,3,Jared Goff pass complete short right to D'Andre Swift for 15 yards (tackle by Brandon Wilson and Jalen Davis),3.080,6.970
4,2:19,1,1,CIN 1,34,9,"D'Andre Swift up the middle for 1 yard, touchdown",6.970,7.000
4,2:15,,,CIN 2,34,11,Two Point Attempt: Jared Goff pass complete to to Amon-Ra St. Brown for no gain,1.000,1.000
4,2:15,,,DET 35,34,11,"Austin Seibert kicks onside 10 yards, returned by Trenton Irwin for no gain",0.000,2.590
4,2:15,1,10,DET 45,34,11,Trayveon Williams left end for 6 yards (tackle by Alex Anzalone and Derrick Barnes),2.590,2.850
4,2:00,2,4,DET 39,34,11,Brandon Allen kneels for -1 yards,2.850,2.010
4,1:58,,,,,,Timeout #1 by Detroit Lions,,
4,1:58,3,5,DET 40,34,11,Trayveon Williams right tackle for 4 yards (tackle by Michael Brockers),2.010,0.890
4,1:53,,,,,,Timeout #2 by Detroit Lions,,
4,1:53,4,1,DET 36,34,11,Trayveon Williams up the middle for 2 yards (tackle by Julian Okwara),0.890,3.310
4,1:07,1,10,DET 34,34,11,"Penalty on CIN: Delay of Game, 6 yards (accepted) (no play)",3.310,2.920
4,1:07,1,16,DET 40,34,11,Brandon Allen kneels for -1 yards,2.920,1.830
4,0:26,2,17,DET 41,34,11,Brandon Allen kneels for -1 yards,1.830,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
