Quarter,Time,Down,ToGo,Location,CIN,LVR,Detail,EPB,EPA
2,10:15,2,13,CIN 25,3,6,Joe Burrow pass complete short middle to Tyler Boyd for 14 yards (tackle by Cory Littleton),-0.140,1.530
2,9:33,1,10,CIN 39,3,6,Joe Burrow scrambles left end for 1 yard (tackle by Johnathan Hankins),1.530,1.120
2,8:52,2,9,CIN 40,3,6,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Johnathan Abram and Cory Littleton),1.120,2.190
2,8:09,1,10,CIN 49,3,6,Joe Mixon right tackle for -2 yards (tackle by Denzel Perryman),2.190,1.380
2,7:22,2,12,CIN 47,3,6,Joe Burrow pass incomplete short right,1.380,0.700
2,7:12,3,12,CIN 47,3,6,"Joe Burrow sacked by Yannick Ngakoue for no gain. Penalty on Quinton Jefferson: Defensive Offside, 5 yards (accepted) (no play)",0.700,1.360
2,6:48,3,7,LVR 48,3,6,Joe Burrow pass complete short left to Tyler Boyd for 14 yards (tackle by K.J. Wright),1.360,3.310
2,6:05,1,10,LVR 34,3,6,Ja'Marr Chase right end for 10 yards (tackle by Casey Hayward),3.310,3.970
2,5:33,1,10,LVR 24,3,6,Joe Mixon up the middle for -1 yards (tackle by Maxx Crosby),3.970,3.300
2,4:50,2,11,LVR 25,3,6,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Brandon Facyson),3.300,2.610
2,4:40,3,11,LVR 25,3,6,Joe Burrow pass complete short middle to Tyler Boyd for 3 yards (tackle by Dallin Leavitt and Brandon Facyson),2.610,3.010
2,4:40,3,8,LVR 22,3,6,"Penalty on Brandon Facyson: Unnecessary Roughness / Defense, 11 yards (accepted) (no play)",3.010,4.840
2,4:25,1,10,LVR 11,9,6,"Joe Mixon right tackle for 11 yards, touchdown",4.840,7.000
2,4:15,,,LVR 15,10,6,Evan McPherson kicks extra point good,0.000,0.000
2,4:15,,,CIN 35,10,6,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,4:15,1,10,LVR 25,10,6,Derek Carr pass complete short middle to Darren Waller for 21 yards (tackle by Eli Apple),0.610,1.990
2,3:38,1,10,LVR 46,10,6,Josh Jacobs left guard for 4 yards (tackle by D.J. Reader and Logan Wilson),1.990,1.990
2,3:01,2,6,LVR 50,10,6,Derek Carr pass incomplete short right intended for Foster Moreau,1.990,1.290
2,2:57,3,6,LVR 50,10,6,Kenyan Drake right guard for 3 yards (tackle by Sam Hubbard),1.290,0.130
2,2:14,4,3,CIN 47,10,6,"AJ Cole punts 47 yards, touchback.",0.130,-0.280
2,2:04,1,10,CIN 20,10,6,Joe Mixon up the middle for 2 yards (tackle by Nate Hobbs),0.280,0.000
2,1:59,2,8,CIN 22,10,6,Joe Burrow pass complete short middle to Chris Evans for 7 yards (tackle by Denzel Perryman and Dallin Leavitt),0.000,0.230
2,1:22,3,1,CIN 29,10,6,Joe Burrow pass complete short middle to Tee Higgins for 6 yards (tackle by Cory Littleton),0.230,1.270
2,0:57,1,10,CIN 35,10,6,Joe Burrow pass complete short middle to Tyler Boyd for 4 yards (tackle by Denzel Perryman),1.270,1.260
2,0:55,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:55,2,6,CIN 39,10,6,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,1.260,0.560
2,0:51,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:51,3,6,CIN 39,10,6,Joe Burrow sacked by Solomon Thomas for -10 yards,0.560,-1.440
2,0:39,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:39,4,16,CIN 29,10,6,"Kevin Huber punts 58 yards, returned by Hunter Renfrow for 11 yards (tackle by Samaje Perine)",-1.440,-0.540
2,0:28,1,10,LVR 24,10,6,Derek Carr pass complete short middle to Hunter Renfrow for 4 yards (tackle by Vonn Bell),0.540,0.540
2,0:07,2,6,LVR 28,10,6,Derek Carr pass complete short right to Josh Jacobs for 1 yard (tackle by Vonn Bell),0.540,-0.030
Quarter,Time,Down,ToGo,Location,CIN,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,10,6,"Evan McPherson kicks off 68 yards, returned by Kenyan Drake for 24 yards. Kenyan Drake fumbles (forced by Clay Johnston) (tackle by Clay Johnston), recovered by Kenyan Drake at LV-22 (tackle by Clay Johnston). Penalty on Patrick Onwuasor: Offensive Holding, 10 yards (accepted)",0.000,-0.370
3,14:53,1,10,LVR 11,10,6,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Germaine Pratt),-0.370,0.360
3,14:18,2,1,LVR 20,10,6,Josh Jacobs right end for 2 yards (tackle by Germaine Pratt),0.360,0.410
3,13:09,1,10,LVR 22,10,6,DeSean Jackson right end for 4 yards (tackle by Mike Hilton),0.410,0.410
3,12:59,2,6,LVR 26,10,6,Josh Jacobs right guard for 5 yards (tackle by D.J. Reader and Sam Hubbard),0.410,0.370
3,12:27,3,1,LVR 31,10,6,Bryan Edwards right end for no gain (tackle by Jessie Bates),0.370,-1.310
3,11:39,4,1,LVR 31,10,6,"AJ Cole punts 54 yards, fair catch by Darius Phillips at CIN-15",-1.310,0.220
3,11:38,1,10,CIN 15,10,6,Joe Burrow pass complete short middle to Ja'Marr Chase for 17 yards (tackle by Trevon Moehrig),-0.220,1.070
3,10:57,1,10,CIN 32,10,6,Joe Mixon left guard for 5 yards (tackle by Maxx Crosby and Johnathan Abram),1.070,1.200
3,10:21,2,5,CIN 37,10,6,Joe Mixon up the middle for 4 yards (tackle by Yannick Ngakoue),1.200,1.030
3,9:41,3,1,CIN 41,10,6,Joe Burrow pass complete short right to Tyler Boyd for 7 yards (tackle by Nate Hobbs),1.030,2.130
3,9:08,1,10,CIN 48,10,6,Joe Mixon up the middle for 8 yards (tackle by Denzel Perryman),2.130,2.660
3,8:26,2,2,LVR 44,10,6,"Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Brandon Facyson: Defensive Pass Interference, 16 yards (accepted) (no play)",2.660,3.710
3,8:21,,,,,,Timeout #1 by Cincinnati Bengals,,
3,8:21,1,10,LVR 28,10,6,Joe Burrow pass complete short right to Stanley Morgan for 3 yards (tackle by Brandon Facyson),3.710,3.570
3,7:42,2,7,LVR 25,10,6,Joe Mixon left end for -2 yards (tackle by Nate Hobbs and Casey Hayward),3.570,2.610
3,7:04,3,9,LVR 27,10,6,Joe Burrow sacked by Quinton Jefferson for -8 yards,2.610,0.970
3,6:13,4,17,LVR 35,13,6,Evan McPherson 53 yard field goal good,0.970,3.000
3,6:04,,,CIN 35,13,6,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,6:04,1,10,LVR 25,13,6,Josh Jacobs left guard for 18 yards (tackle by Chidobe Awuzie),0.610,1.800
3,5:24,1,10,LVR 43,13,6,Derek Carr pass complete short left to Josh Jacobs for 2 yards (tackle by Germaine Pratt and Sam Hubbard),1.800,1.520
3,4:37,2,8,LVR 45,13,6,Josh Jacobs right tackle for -4 yards (tackle by Sam Hubbard),1.520,0.300
3,4:01,3,12,LVR 41,13,6,Derek Carr pass incomplete deep right intended for Zay Jones,0.300,-0.650
3,3:52,4,12,LVR 41,13,6,"AJ Cole punts 48 yards, returned by Darius Phillips for 10 yards. Darius Phillips fumbles (forced by Foster Moreau). Darius Phillips fumbles out of bounds",-0.650,-0.340
3,3:40,1,10,CIN 21,13,6,Joe Mixon right tackle for 18 yards (tackle by Johnathan Abram),0.340,1.530
3,2:58,1,10,CIN 39,13,6,Joe Mixon right tackle for 5 yards (tackle by Johnathan Abram and Denzel Perryman),1.530,1.660
3,2:18,2,5,CIN 44,13,6,Samaje Perine left tackle for 2 yards (tackle by Denzel Perryman),1.660,1.220
3,1:36,3,3,CIN 46,13,6,Joe Burrow pass complete short left to C.J. Uzomah for 7 yards (tackle by Cory Littleton),1.220,2.460
3,0:59,1,10,LVR 47,13,6,Joe Mixon right end for 6 yards (tackle by Johnathan Abram),2.460,2.720
3,0:15,2,4,LVR 41,13,6,Joe Burrow scrambles up the middle for 4 yards (tackle by Nate Hobbs),2.720,3.120
Quarter,Time,Down,ToGo,Location,CIN,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LVR 37,13,6,Joe Burrow pass incomplete short middle intended for Drew Sample (defended by Denzel Perryman),3.120,2.570
4,14:58,2,10,LVR 37,13,6,Joe Mixon left end for -5 yards (tackle by Denzel Perryman),2.570,1.220
4,14:13,3,15,LVR 42,13,6,Joe Burrow pass complete short left to Samaje Perine for 9 yards (tackle by Yannick Ngakoue and Dallin Leavitt),1.220,1.160
4,13:28,4,6,LVR 33,16,6,Evan McPherson 51 yard field goal good,1.160,3.000
4,13:17,,,CIN 35,16,6,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,13:17,1,10,LVR 25,16,6,Derek Carr pass complete short middle to Darren Waller for 25 yards (tackle by Logan Wilson),0.610,2.260
4,12:38,1,10,LVR 50,16,6,Derek Carr pass complete deep middle to Darren Waller for 31 yards (tackle by Jessie Bates),2.260,4.310
4,11:51,1,10,CIN 19,16,12,"Derek Carr pass complete deep right to Foster Moreau for 19 yards, touchdown",4.310,7.000
4,11:42,,,CIN 15,16,13,Daniel Carlson kicks extra point good,0.000,0.000
4,11:42,,,LVR 35,16,13,"Daniel Carlson kicks off 59 yards, returned by Darius Phillips for 32 yards (tackle by Marquel Lee)",0.000,1.470
4,11:36,1,10,CIN 38,16,13,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Brandon Facyson),1.470,2.140
4,11:04,2,1,CIN 47,16,13,Joe Mixon left tackle for 2 yards (tackle by Solomon Thomas),2.140,2.190
4,10:28,1,10,CIN 49,16,13,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Trevon Moehrig),2.190,1.650
4,10:23,2,10,CIN 49,16,13,Joe Burrow pass complete short left to Mike Thomas for 12 yards (tackle by Johnathan Abram and Brandon Facyson),1.650,2.980
4,9:43,1,10,LVR 39,16,13,Joe Mixon right guard for 1 yard (tackle by Carl Nassib),2.980,2.580
4,9:06,2,9,LVR 38,16,13,Joe Mixon left end for 19 yards (tackle by Carl Nassib),2.580,4.310
4,8:40,1,10,LVR 19,16,13,Joe Burrow scrambles left end for 4 yards (tackle by Johnathan Abram) (no play),4.310,5.300
4,8:02,1,5,LVR 14,16,13,Joe Mixon up the middle for 4 yards (tackle by Carl Nassib),5.300,5.360
4,7:23,2,1,LVR 10,16,13,Joe Mixon left guard for no gain (tackle by Johnathan Abram),5.360,4.690
4,6:45,3,1,LVR 10,16,13,Samaje Perine up the middle for 1 yard (tackle by K.J. Wright),4.690,5.140
4,5:59,1,9,LVR 9,16,13,Joe Burrow pass incomplete short middle intended for Tyler Boyd,5.140,4.380
4,5:47,2,9,LVR 9,16,13,Joe Mixon up the middle for 3 yards (tackle by Maxx Crosby and Damion Square),4.380,4.040
4,5:08,3,6,LVR 6,22,13,"Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards, touchdown",4.040,7.000
4,5:03,,,LVR 15,22,13,Evan McPherson kicks extra point no good,0.000,-1.000
4,5:03,,,CIN 35,22,13,"Evan McPherson kicks off 62 yards, returned by Kenyan Drake for 15 yards (tackle by Michael Thomas)",0.000,0.040
4,4:56,1,10,LVR 18,22,13,Derek Carr pass complete short left to Josh Jacobs for 7 yards,0.040,0.550
4,4:51,2,3,LVR 25,22,13,"Derek Carr pass deep left intended for Darren Waller is intercepted by Eli Apple at LV-42 and returned for no gain. Eli Apple fumbles, recovered by Eli Apple at LV-42. Penalty on Josh Jacobs: Unnecessary Roughness / Offense, 15 yards (accepted)",0.550,-3.780
4,4:43,1,10,LVR 27,22,13,Joe Mixon left guard for 7 yards (tackle by Johnathan Abram and Cory Littleton),3.780,4.180
4,3:58,2,3,LVR 20,28,13,"Joe Mixon right guard for 20 yards, touchdown",4.180,7.000
4,3:51,,,LVR 15,29,13,Evan McPherson kicks extra point good,0.000,0.000
4,3:51,,,CIN 35,29,13,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,3:51,1,10,LVR 25,29,13,Derek Carr pass complete short right to Darren Waller for 8 yards (tackle by Jessie Bates),0.610,1.140
4,3:29,2,2,LVR 33,29,13,Derek Carr pass complete deep middle to Zay Jones for 20 yards (tackle by Chidobe Awuzie),1.140,2.460
4,3:09,1,10,CIN 47,29,13,Derek Carr pass incomplete short right,2.460,1.910
4,3:05,2,10,CIN 47,29,13,"Penalty on B.J. Hill: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.910,2.590
4,3:05,2,5,CIN 42,29,13,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Vonn Bell),2.590,3.380
4,2:36,1,10,CIN 33,29,13,Derek Carr pass complete short middle to Josh Jacobs for 8 yards (tackle by Vonn Bell),3.380,3.920
4,2:14,2,2,CIN 25,29,13,Derek Carr pass incomplete short right intended for Josh Jacobs,3.920,3.200
4,2:10,,,,,,Timeout #2 by Cincinnati Bengals,,
4,2:10,3,2,CIN 25,29,13,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Eli Apple),3.200,4.440
4,2:00,1,10,CIN 17,29,13,Derek Carr sacked by Sam Hubbard for -4 yards,4.440,3.350
4,1:36,2,14,CIN 21,29,13,"Derek Carr sacked by Trey Hendrickson for -5 yards. Derek Carr fumbles (forced by Trey Hendrickson), recovered by Sam Hubbard at CIN-26 and returned for 43 yards (tackle by Brandon Parker)",3.350,-3.510
4,1:23,1,10,LVR 31,29,13,Joe Mixon right guard for 1 yard (tackle by Clelin Ferrell),3.510,3.100
4,1:12,,,,,,Timeout #1 by Las Vegas Raiders,,
4,1:12,2,9,LVR 30,29,13,Joe Mixon left tackle for no gain (tackle by Denzel Perryman),3.100,2.410
4,1:10,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:10,3,9,LVR 30,29,13,Joe Mixon right guard for 1 yard (tackle by Brandon Facyson),2.410,1.500
4,1:08,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:08,4,8,LVR 29,32,13,Evan McPherson 47 yard field goal good,1.500,3.000
4,1:04,,,CIN 35,32,13,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,1:04,1,10,LVR 25,32,13,Kenyan Drake right tackle for 7 yards (tackle by Markus Bailey),0.610,1.010
4,0:30,2,3,LVR 32,32,13,Kenyan Drake left guard for 2 yards (tackle by Wyatt Ray and Khalid Kareem),1.010,0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
