Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
1,8:50,4,11,DEN 24,3,0,Sam Martin punts 56 yards out of bounds,-1.770,-0.280
1,8:43,1,10,PHI 20,3,0,Boston Scott left guard for 4 yards (tackle by DeShawn Williams and Jonathon Cooper),0.280,0.270
1,8:05,2,6,PHI 24,3,0,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards,0.270,0.100
1,7:25,,,,,,Timeout #1 by Philadelphia Eagles,,
1,7:25,3,2,PHI 28,3,0,Jordan Howard right guard for 3 yards (tackle by Dre'Mont Jones and Malik Reed),0.100,1.000
1,6:44,1,10,PHI 31,3,0,Jalen Reagor left end for -8 yards (tackle by Dre'Mont Jones),1.000,-0.620
1,5:56,2,18,PHI 23,3,0,Jalen Hurts pass complete short left to Quez Watkins for 6 yards (tackle by Ronald Darby),-0.620,-0.490
1,5:20,3,12,PHI 29,3,0,Jalen Hurts pass complete deep left to Dallas Goedert for 24 yards (tackle by Ronald Darby and Justin Simmons),-0.490,2.460
1,4:40,1,10,DEN 47,3,0,Jordan Howard left guard for 7 yards (tackle by Malik Reed and Baron Browning),2.460,2.860
1,3:55,2,3,DEN 40,3,0,Jordan Howard left guard for 4 yards (tackle by Malik Reed and Shamar Stephen),2.860,3.180
1,3:23,1,10,DEN 36,9,0,"Jalen Hurts pass complete to DeVonta Smith for 36 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",3.180,7.000
1,3:16,,,DEN 15,9,0,"Penalty on Rick Lovato: False Start, 5 yards (accepted) (no play)",0.000,0.000
1,3:16,,,DEN 20,10,0,Jake Elliott kicks extra point good,0.000,0.000
1,3:16,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,3:16,1,10,DEN 25,10,0,Jerry Jeudy left end for 3 yards (tackle by Davion Taylor),0.610,0.470
1,2:40,2,7,DEN 28,10,0,Javonte Williams left end for 9 yards (tackle by Anthony Harris),0.470,1.400
1,2:07,1,10,DEN 37,10,0,"Penalty on Teddy Bridgewater: False Start, 5 yards (accepted) (no play)",1.400,1.070
1,1:56,1,15,DEN 32,10,0,Javonte Williams right end for 11 yards (tackle by Darius Slay and Rodney McLeod),1.070,1.670
1,1:18,2,4,DEN 43,10,0,Javonte Williams right tackle for 2 yards (tackle by Javon Hargrave),1.670,1.220
1,0:47,3,2,DEN 45,10,0,"Teddy Bridgewater pass complete short right to Tim Patrick for 7 yards (tackle by Avonte Maddox). Penalty on Avonte Maddox: Taunting / Defense, 15 yards (accepted)",1.220,3.380
1,0:26,1,10,PHI 33,10,0,"Penalty on Milton Williams: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.380,4.110
1,0:10,1,5,PHI 28,10,0,Teddy Bridgewater pass complete short right to Jerry Jeudy for 5 yards (tackle by Darius Slay and T.J. Edwards),4.110,4.040
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 23,10,0,Melvin Gordon up the middle for 15 yards (tackle by Avonte Maddox),4.040,5.370
2,14:21,1,8,PHI 8,10,0,Melvin Gordon right tackle for 7 yards (tackle by Darius Slay),5.370,5.910
2,13:39,2,1,PHI 1,10,6,"Melvin Gordon up the middle for 1 yard, touchdown",5.910,7.000
2,13:38,,,PHI 15,10,7,Brandon McManus kicks extra point good,0.000,0.000
2,13:38,,,DEN 35,10,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,13:38,1,10,PHI 25,10,7,Jalen Hurts left end for 2 yards (tackle by Kareem Jackson),0.610,0.330
2,12:56,2,8,PHI 27,10,7,Jalen Hurts left end for 5 yards (tackle by Jonathon Cooper),0.330,0.300
2,12:15,3,3,PHI 32,10,7,"Jalen Hurts sacked by Dre'Mont Jones for -6 yards. Jalen Hurts fumbles (forced by Dre'Mont Jones), recovered by Jason Kelce at PHI-26 (tackle by Dre'Mont Jones)",0.300,-1.630
2,11:36,4,9,PHI 26,10,7,"Arryn Siposs punts 54 yards, returned by Diontae Spencer for 8 yards (tackle by Shaun Bradley)",-1.630,-0.810
2,11:26,1,10,DEN 28,10,7,Teddy Bridgewater pass complete short middle to Albert Okwuegbunam for 64 yards (tackle by Anthony Harris),0.810,5.370
2,10:47,1,8,PHI 8,10,7,"Javonte Williams for no gain. Penalty on Derek Barnett: Defensive Offside, 4 yards (accepted) (no play)",5.370,6.280
2,10:33,1,4,PHI 4,10,7,Teddy Bridgewater pass incomplete short left intended for Jerry Jeudy,6.280,5.340
2,10:28,2,4,PHI 4,10,7,Javonte Williams right tackle for 1 yard (tackle by Davion Taylor and Josh Sweat),5.340,4.720
2,9:46,3,3,PHI 3,10,7,Teddy Bridgewater pass incomplete short left intended for Tim Patrick,4.720,3.040
2,9:40,4,3,PHI 3,10,10,Brandon McManus 21 yard field goal good,3.040,3.000
2,9:39,,,DEN 35,10,10,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,9:39,1,10,PHI 25,10,10,Jalen Hurts pass incomplete short right,0.610,0.060
2,9:32,2,10,PHI 25,10,10,Jordan Howard up the middle for 11 yards (tackle by Kareem Jackson and Justin Simmons),0.060,1.330
2,9:03,1,10,PHI 36,10,10,Jalen Hurts scrambles left guard for 31 yards (tackle by Justin Simmons),1.330,3.380
2,8:19,1,10,DEN 33,10,10,Boston Scott up the middle for no gain (tackle by Dre'Mont Jones),3.380,2.840
2,7:35,2,10,DEN 33,10,10,Jalen Hurts pass complete short left to Boston Scott for 8 yards (tackle by Kareem Jackson and Ronald Darby),2.840,3.200
2,6:57,3,2,DEN 25,10,10,Boston Scott up the middle for 3 yards (tackle by Malik Reed),3.200,4.110
2,6:15,,,,,,Timeout #1 by Denver Broncos,,
2,6:15,1,10,DEN 22,10,10,Jalen Hurts left end for 4 yards (tackle by Ronald Darby and Kareem Jackson),4.110,4.130
2,5:34,2,6,DEN 18,10,10,Jordan Howard right tackle for 3 yards (tackle by DeShawn Williams),4.130,3.930
2,4:49,3,3,DEN 15,10,10,Jalen Hurts pass complete short middle to Quez Watkins for 6 yards (tackle by Ronald Darby),3.930,5.140
2,4:24,1,9,DEN 9,10,10,Jalen Hurts pass complete short right to Jack Stoll for 4 yards (tackle by Kareem Jackson),5.140,5.150
2,3:41,2,5,DEN 5,10,10,Kenneth Gainwell left end for no gain (tackle by Kenny Young and Caden Sterns),5.150,4.260
2,3:11,3,5,DEN 5,16,10,"Jalen Hurts pass complete short middle to DeVonta Smith for 5 yards, touchdown",4.260,7.000
2,3:07,,,DEN 15,17,10,Jake Elliott kicks extra point good,0.000,0.000
2,3:07,,,PHI 35,17,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,3:07,1,10,DEN 25,17,10,Teddy Bridgewater pass incomplete short middle intended for Melvin Gordon,0.610,0.060
2,3:02,2,10,DEN 25,17,10,"Penalty on Jerry Jeudy: False Start, 5 yards (accepted) (no play)",0.060,-0.610
2,3:02,2,15,DEN 20,17,10,Teddy Bridgewater pass complete short left to Jerry Jeudy for 4 yards (tackle by Avonte Maddox),-0.610,-0.760
2,2:24,3,11,DEN 24,17,10,Teddy Bridgewater sacked by Derek Barnett for -14 yards,-0.760,-2.490
2,2:00,4,25,DEN 10,17,10,"Sam Martin punts 60 yards, returned by Jalen Reagor for no gain (tackle by Jonas Griffith and Aaron Patrick). Penalty on Zech McPhearson: Unnecessary Roughness / Defense, 15 yards (accepted)",-2.490,0.220
2,1:49,1,10,PHI 15,17,10,Kenneth Gainwell left tackle for 5 yards (tackle by Caden Sterns),-0.220,0.080
2,1:26,2,5,PHI 20,17,10,Jalen Hurts pass complete short right to Kenneth Gainwell for 9 yards (tackle by Kenny Young),0.080,0.870
2,1:17,1,10,PHI 29,17,10,Jalen Hurts pass complete short right to DeVonta Smith for 11 yards (tackle by Patrick Surtain),0.870,1.600
2,0:56,1,10,PHI 40,17,10,Jalen Hurts pass complete short left to Jalen Reagor for 12 yards,1.600,2.390
2,0:50,1,10,DEN 48,17,10,Jalen Hurts pass complete short left to DeVonta Smith for 14 yards (tackle by Ronald Darby),2.390,3.310
2,0:25,1,10,DEN 34,17,10,Jalen Hurts pass incomplete deep left intended for DeVonta Smith,3.310,2.770
2,0:19,2,10,DEN 34,17,10,Jalen Hurts pass incomplete short left intended for Jack Stoll,2.770,2.080
2,0:15,,,,,,Timeout #2 by Denver Broncos,,
2,0:15,3,10,DEN 34,17,10,Jalen Hurts pass incomplete deep left intended for Quez Watkins,2.080,1.060
2,0:10,4,10,DEN 34,20,10,Jake Elliott 52 yard field goal good,1.060,3.000
2,0:05,,,PHI 35,20,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,0:05,1,10,DEN 25,20,10,Teddy Bridgewater pass complete short right to Noah Fant for 13 yards (tackle by Darius Slay and Avonte Maddox),0.610,1.470
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,20,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,20,10,Teddy Bridgewater pass complete to Noah Fant for 15 yards (tackle by Anthony Harris),0.610,1.600
3,14:30,1,10,DEN 40,20,10,Teddy Bridgewater pass complete deep middle to Courtland Sutton for 26 yards (tackle by Rodney McLeod),1.600,3.310
3,13:50,1,10,PHI 34,20,10,Javonte Williams left end for 4 yards (tackle by Anthony Harris),3.310,3.310
3,13:11,2,6,PHI 30,20,10,Javonte Williams right tackle for 20 yards (tackle by Rodney McLeod and Steven Nelson),3.310,4.910
3,12:26,1,10,PHI 10,20,10,Teddy Bridgewater pass incomplete short right intended for Javonte Williams,4.910,4.190
3,12:23,2,10,PHI 10,20,10,Javonte Williams up the middle for -4 yards (tackle by Fletcher Cox),4.190,3.000
3,11:49,3,14,PHI 14,20,10,Teddy Bridgewater pass complete short middle to Javonte Williams for 10 yards (tackle by Avonte Maddox),3.000,3.030
3,10:57,4,4,PHI 4,20,10,Brandon McManus 22 yard field goal no good blocked by K'Von Wallace,3.030,0.380
3,10:50,1,10,PHI 10,20,10,Jalen Hurts left end for -1 yards (tackle by Jonathon Cooper),-0.380,-0.850
3,10:06,2,11,PHI 9,20,10,Jalen Hurts pass complete short middle to Jack Stoll for 2 yards (tackle by Kyle Fuller),-0.850,-1.300
3,9:23,3,9,PHI 11,20,10,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Patrick Surtain),-1.300,-2.490
3,9:16,4,9,PHI 11,20,10,"Arryn Siposs punts 53 yards, returned by Diontae Spencer for 19 yards (tackle by Rick Lovato)",-2.490,-2.590
3,9:01,1,10,PHI 45,20,10,Melvin Gordon up the middle for 8 yards (tackle by T.J. Edwards and Anthony Harris),2.590,3.120
3,8:26,2,2,PHI 37,20,10,Melvin Gordon left guard for 9 yards (tackle by Davion Taylor and Anthony Harris),3.120,3.710
3,7:54,1,10,PHI 28,20,10,Melvin Gordon left guard for 1 yard (tackle by Tarron Jackson),3.710,3.300
3,7:16,2,9,PHI 27,20,10,Teddy Bridgewater pass complete short left to Jerry Jeudy for 7 yards (tackle by Rodney McLeod),3.300,3.530
3,6:42,3,2,PHI 20,20,10,"Javonte Williams right tackle for 5 yards, touchdown. Penalty on Eric Saubert: Offensive Holding, 10 yards (accepted)",3.530,2.870
3,6:35,3,7,PHI 25,20,10,Teddy Bridgewater pass complete short middle to Albert Okwuegbunam for 4 yards (tackle by Anthony Harris),2.870,3.400
3,6:35,3,3,PHI 21,20,10,"Penalty on Derek Barnett: Roughing the Passer, 10 yards (accepted) (no play)",3.400,4.840
3,6:07,1,10,PHI 11,20,10,Teddy Bridgewater pass incomplete,4.840,4.140
3,6:02,2,10,PHI 11,20,10,"Javonte Williams right tackle for no gain (tackle by Derek Barnett and Rodney McLeod). Penalty on Albert Okwuegbunam: Offensive Illegal Block Above the Waist, 9 yards (accepted) (no play)",4.140,3.070
3,5:40,2,19,PHI 20,20,10,Teddy Bridgewater pass incomplete short left intended for Melvin Gordon,3.070,2.410
3,5:36,3,19,PHI 20,20,10,Teddy Bridgewater pass complete short right to Noah Fant for 10 yards (tackle by Derek Barnett and Anthony Harris),2.410,2.760
3,4:54,4,9,PHI 10,20,13,Brandon McManus 28 yard field goal good,2.760,3.000
3,4:51,,,DEN 35,20,13,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,4:51,1,10,PHI 25,20,13,Jordan Howard up the middle for 5 yards (tackle by Kareem Jackson and Ronald Darby),0.610,0.740
3,4:22,2,5,PHI 30,20,13,Boston Scott up the middle for 21 yards (tackle by Ronald Darby),0.740,2.320
3,3:56,1,10,DEN 49,20,13,Jalen Hurts sacked by Malik Reed for -2 yards,2.320,1.510
3,3:11,2,12,PHI 49,20,13,Jalen Hurts pass deep right (defended by Shelby Harris) intended for Quez Watkins is intercepted by Justin Simmons at DEN-30 and returned for 17 yards (tackle by DeVonta Smith),1.510,-2.060
3,3:03,1,10,DEN 47,20,13,Teddy Bridgewater pass complete short left to Noah Fant for 6 yards (tackle by Davion Taylor),2.060,2.330
3,2:25,2,4,PHI 47,20,13,Teddy Bridgewater pass complete short middle to Noah Fant for 15 yards (tackle by Anthony Harris),2.330,3.450
3,1:41,1,10,PHI 32,20,13,Teddy Bridgewater pass incomplete short left intended for Jerry Jeudy (defended by Marcus Epps),3.450,2.900
3,1:37,2,10,PHI 32,20,13,Melvin Gordon left tackle for 2 yards (tackle by Javon Hargrave and Milton Williams),2.900,2.480
3,0:56,3,8,PHI 30,20,13,Teddy Bridgewater pass complete short right to Tim Patrick for 7 yards (tackle by Marcus Epps),2.480,2.080
3,0:15,4,1,PHI 23,26,13,"Melvin Gordon up the middle for 1 yard. Melvin Gordon fumbles (forced by Davion Taylor), recovered by Darius Slay at PHI-17 and returned for 83 yards, touchdown",2.080,-7.000
3,0:00,,,DEN 15,27,13,Jake Elliott kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,PHI 35,27,13,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,15:00,1,10,DEN 25,27,13,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 5 yards (tackle by T.J. Edwards),0.610,0.740
4,14:27,2,5,DEN 30,27,13,Teddy Bridgewater pass complete short right to Javonte Williams for -9 yards (tackle by Patrick Johnson),0.740,-1.150
4,13:47,3,14,DEN 21,27,13,Teddy Bridgewater pass incomplete deep left intended for Jerry Jeudy,-1.150,-1.960
4,13:40,4,14,DEN 21,27,13,"Sam Martin punts 44 yards, fair catch by Jalen Reagor at PHI-35",-1.960,-1.270
4,13:33,1,10,PHI 35,27,13,Jordan Howard left guard for 15 yards (tackle by Malik Reed),1.270,2.260
4,12:49,1,10,PHI 50,27,13,Jordan Howard left guard for 5 yards (tackle by Shelby Harris),2.260,2.390
4,12:09,2,5,DEN 45,27,13,Jordan Howard right guard for 25 yards (tackle by Curtis Robinson),2.390,4.240
4,11:23,1,10,DEN 20,27,13,Jalen Hurts left tackle for 1 yard (tackle by Jonathon Cooper),4.240,3.820
4,10:39,2,9,DEN 19,27,13,Boston Scott right guard for 7 yards (tackle by Justin Simmons and Curtis Robinson),3.820,4.340
4,9:55,3,2,DEN 12,27,13,Jalen Hurts right end for 5 yards (tackle by Malik Reed),4.340,5.600
4,9:21,1,7,DEN 7,27,13,"Nate Herbig aborted snap, recovered by Jalen Hurts at DEN-7 and returned for -2 yards Jalen Hurts for no gain (tackle by Patrick Surtain)",5.600,4.380
4,8:33,2,9,DEN 9,27,13,Jordan Howard up the middle for 3 yards (tackle by Malik Reed),4.380,4.040
4,7:45,,,,,,Timeout #1 by Philadelphia Eagles,,
4,7:45,3,6,DEN 6,27,13,Jordan Howard up the middle for 1 yard (tackle by Jonathon Cooper and Malik Reed),4.040,3.010
4,7:39,,,,,,Timeout #1 by Denver Broncos,,
4,7:39,4,5,DEN 5,30,13,Jake Elliott 23 yard field goal good,3.010,3.000
4,7:36,,,PHI 35,30,13,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,7:36,1,10,DEN 25,30,13,Teddy Bridgewater pass incomplete short right intended for Tim Patrick,0.610,0.060
4,7:32,2,10,DEN 25,30,13,Teddy Bridgewater pass complete short middle to Tim Patrick for no gain (tackle by Avonte Maddox),0.060,-0.620
4,7:09,3,10,DEN 25,30,13,Teddy Bridgewater pass incomplete short left,-0.620,-1.700
4,7:01,4,10,DEN 25,30,13,"Sam Martin punts 52 yards, returned by Jalen Reagor for 9 yards (tackle by Aaron Patrick)",-1.700,-1.070
4,6:49,1,10,PHI 32,30,13,Boston Scott left guard for 2 yards (tackle by DeShawn Williams),1.070,0.800
4,6:02,2,8,PHI 34,30,13,Boston Scott right end for 6 yards (tackle by Kenny Young),0.800,0.890
4,5:14,3,2,PHI 40,30,13,"Jalen Hurts right end for 1 yard (tackle by Shelby Harris) PHI challenged the short of the line to gain ruling, and the play was upheld.",0.890,-0.650
4,4:17,4,1,PHI 41,30,13,"Arryn Siposs punts 47 yards, fair catch by Diontae Spencer at DEN-12",-0.650,0.350
4,4:12,1,10,DEN 12,30,13,"Teddy Bridgewater pass complete short middle to Jerry Jeudy for 15 yards. Jerry Jeudy fumbles (forced by Davion Taylor), recovered by Albert Okwuegbunam at DEN-27 and returned for 2 yards (tackle by T.J. Edwards)",-0.350,0.870
4,3:44,1,10,DEN 29,30,13,Teddy Bridgewater pass complete short middle to Albert Okwuegbunam for 9 yards (tackle by Avonte Maddox and T.J. Edwards),0.870,1.540
4,3:23,2,1,DEN 38,30,13,"Teddy Bridgewater pass incomplete deep left intended for Courtland Sutton. Penalty on Steven Nelson: Defensive Pass Interference, 35 yards (accepted) (no play)",1.540,3.780
4,3:16,1,10,PHI 27,30,13,Teddy Bridgewater pass complete short left to Jerry Jeudy for 14 yards (tackle by Davion Taylor),3.780,4.710
4,2:50,1,10,PHI 13,30,13,Teddy Bridgewater pass incomplete short right intended for Noah Fant (defended by T.J. Edwards),4.710,4.050
4,2:47,2,10,PHI 13,30,13,Teddy Bridgewater pass complete short right to Courtland Sutton for 3 yards (tackle by T.J. Edwards),4.050,3.650
4,2:16,3,7,PHI 10,30,13,Teddy Bridgewater pass incomplete short right intended for Courtland Sutton,3.650,2.760
4,2:13,4,7,PHI 10,30,13,Teddy Bridgewater pass incomplete short right intended for Tim Patrick,2.760,0.380
4,2:05,1,10,PHI 10,30,13,Boston Scott right end for 23 yards (tackle by Caden Sterns),-0.380,1.140
4,1:57,1,10,PHI 33,30,13,Jalen Hurts kneels for -1 yards,1.140,0.460
4,1:12,2,11,PHI 32,30,13,Jalen Hurts kneels for -1 yards,0.460,-0.360
4,0:34,3,12,PHI 31,30,13,Jalen Hurts kneels for -1 yards,-0.360,-1.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
