Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
1,5:10,3,4,LAR 33,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 7 yards (tackle by Taylor Rapp and Troy Reeder),2.540,3.840
1,4:29,1,10,LAR 26,0,0,Deebo Samuel left end for 8 yards (tackle by Darious Williams),3.840,4.450
1,4:01,2,2,LAR 18,0,0,Jeff Wilson up the middle for 6 yards (tackle by Taylor Rapp and Marquise Copeland),4.450,4.780
1,3:15,1,10,LAR 12,0,0,Elijah Mitchell left tackle for 5 yards (tackle by A'Shawn Robinson and Jordan Fuller),4.780,5.020
1,2:37,2,5,LAR 7,0,0,Elijah Mitchell right guard for -1 yards (tackle by Aaron Donald),5.020,3.930
1,2:01,3,6,LAR 8,0,6,"Jimmy Garoppolo pass complete short right to George Kittle for 8 yards, touchdown",3.930,7.000
1,1:54,,,LAR 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,1:54,,,SFO 35,0,7,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,1:54,1,10,LAR 25,0,7,"Matthew Stafford pass complete short left to Darrell Henderson for 6 yards (tackle by Fred Warner). Penalty on Andrew Whitworth: Unnecessary Roughness / Offense, 15 yards (accepted)",0.610,-0.280
1,1:27,1,19,LAR 16,0,7,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Josh Norman),-0.280,-0.070
1,1:04,2,11,LAR 24,0,7,Matthew Stafford pass incomplete deep right intended for Ben Skowronek,-0.070,-0.760
1,0:58,3,11,LAR 24,0,13,"Matthew Stafford pass short right intended for Tyler Higbee is intercepted by Jimmie Ward at LA-27 and returned for 27 yards, touchdown",-0.760,-7.000
1,0:49,,,LAR 15,0,14,Robbie Gould kicks extra point good,0.000,0.000
1,0:49,,,SFO 35,0,14,"Mitch Wishnowsky kicks off 57 yards, returned by J.J. Koski for 17 yards (tackle by Trenton Cannon)",0.000,0.610
1,0:45,1,10,LAR 25,0,14,Sony Michel up the middle for 6 yards (tackle by Arden Key),0.610,0.870
1,0:07,2,4,LAR 31,0,14,Matthew Stafford pass complete deep right to Van Jefferson for 16 yards (tackle by Josh Norman),0.870,2.060
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 47,0,14,Matthew Stafford pass complete deep left to Cooper Kupp for 29 yards (tackle by Jimmie Ward),2.060,3.970
2,14:47,1,10,SFO 24,0,14,Matthew Stafford pass complete short left to Odell Beckham for 13 yards,3.970,4.840
2,14:05,1,10,SFO 11,0,14,Sony Michel right guard for 1 yard (tackle by Kevin Givens),4.840,4.320
2,13:28,2,9,SFO 10,0,14,Matthew Stafford pass incomplete short middle intended for Ben Skowronek,4.320,3.300
2,13:20,3,9,SFO 10,6,14,"Matthew Stafford pass complete short middle to Tyler Higbee for 10 yards, touchdown",3.300,7.000
2,13:13,,,SFO 15,7,14,Matt Gay kicks extra point good,0.000,0.000
2,13:16,,,LAR 35,7,14,"Matt Gay kicks off 66 yards, returned by Trenton Cannon for 19 yards (tackle by Jake Gervase and Terrell Burgess). Penalty on Ross Dwelley: Offensive Holding, 9 yards (accepted)",0.000,-0.380
2,13:10,1,10,SFO 9,7,14,Elijah Mitchell up the middle for 9 yards (tackle by Troy Reeder and Taylor Rapp),-0.380,0.140
2,12:37,2,1,SFO 18,7,14,Elijah Mitchell up the middle for -1 yards (tackle by Aaron Donald),0.140,-0.480
2,11:52,3,2,SFO 17,7,14,"Elijah Mitchell right tackle for no gain (tackle by Aaron Donald and Marquise Copeland). Penalty on Leonard Floyd: Defensive Offside, 5 yards (accepted) (no play)",-0.480,0.410
2,11:32,1,10,SFO 22,7,14,Elijah Mitchell right tackle for 1 yard (tackle by Von Miller),0.410,0.000
2,10:47,2,9,SFO 23,7,14,Jimmy Garoppolo pass complete short middle to George Kittle for 10 yards (tackle by Taylor Rapp and Jordan Fuller),0.000,1.140
2,10:06,1,10,SFO 33,7,14,Jeff Wilson left tackle for 6 yards (tackle by A'Shawn Robinson),1.140,1.400
2,9:29,2,4,SFO 39,7,14,Jeff Wilson up the middle for 2 yards (tackle by Troy Reeder and Greg Gaines),1.400,0.960
2,8:40,3,2,SFO 41,7,14,"Penalty on Laken Tomlinson: False Start, 5 yards (accepted) (no play)",0.960,0.300
2,8:23,3,7,SFO 36,7,14,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 20 yards (tackle by Nick Scott),0.300,2.650
2,7:38,1,10,LAR 44,7,14,Elijah Mitchell up the middle for 13 yards (tackle by Jordan Fuller and Jalen Ramsey),2.650,3.510
2,6:58,1,10,LAR 31,7,14,Elijah Mitchell up the middle for 2 yards (tackle by Marquise Copeland),3.510,3.240
2,6:17,2,8,LAR 29,7,14,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 21 yards (tackle by Taylor Rapp),3.240,5.370
2,5:33,1,8,LAR 8,7,20,"Deebo Samuel left end for 8 yards, touchdown",5.370,7.000
2,5:24,,,LAR 15,7,21,Robbie Gould kicks extra point good,0.000,0.000
2,5:24,,,SFO 35,7,21,"Mitch Wishnowsky kicks off 61 yards, returned by J.J. Koski for 17 yards (tackle by Trenton Cannon and Marcell Harris)",0.000,0.340
2,5:19,1,10,LAR 21,7,21,Darrell Henderson left tackle for 3 yards (tackle by Fred Warner),0.340,0.210
2,4:30,2,7,LAR 24,7,21,Matthew Stafford pass complete short right to Ben Skowronek for 8 yards (tackle by Emmanuel Moseley),0.210,1.070
2,3:58,1,10,LAR 32,7,21,Matthew Stafford pass complete deep left to Van Jefferson for 33 yards (tackle by Emmanuel Moseley),1.070,3.250
2,3:29,1,10,SFO 35,7,21,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by K'Waun Williams),3.250,3.380
2,2:49,2,5,SFO 30,7,21,Darrell Henderson right guard for 11 yards (tackle by Talanoa Hufanga),3.380,4.310
2,2:00,1,10,SFO 19,7,21,Darrell Henderson up the middle for 4 yards (tackle by D.J. Jones),4.310,4.350
2,1:35,2,6,SFO 15,7,21,"Penalty on Brian Allen: False Start, 5 yards (accepted) (no play)",4.350,3.630
2,1:10,2,11,SFO 20,7,21,Matthew Stafford pass complete short left to Tyler Higbee for -2 yards (tackle by Azeez Al-Shaair),3.630,2.680
2,0:28,3,13,SFO 22,7,21,Matthew Stafford pass complete short left to Darrell Henderson for 5 yards (tackle by Azeez Al-Shaair),2.680,2.310
2,0:18,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:18,4,8,SFO 17,7,21,Johnny Hekker pass complete short right to Kendall Blanton for 2 yards (tackle by D.J. Jones),2.310,0.140
2,0:12,1,10,SFO 16,7,21,Jimmy Garoppolo kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,7,21,"Matt Gay kicks off 42 yards,",0.000,0.480
3,15:00,1,10,SFO 23,7,21,Elijah Mitchell right end for 17 yards (tackle by Taylor Rapp),0.480,1.600
3,14:26,1,10,SFO 40,7,21,Elijah Mitchell right guard for 4 yards (tackle by Leonard Floyd and Ernest Jones),1.600,1.590
3,13:48,2,6,SFO 44,7,21,Elijah Mitchell left end for -2 yards (tackle by Troy Reeder),1.590,0.630
3,13:07,3,8,SFO 42,7,21,Jimmy Garoppolo sacked by Taylor Rapp for -3 yards,0.630,-0.780
3,12:33,4,11,SFO 39,7,21,"Mitch Wishnowsky punts 41 yards, fair catch by J.J. Koski at LA-20",-0.780,-0.280
3,12:25,1,10,LAR 20,7,21,Matthew Stafford pass complete short right to Darrell Henderson for 2 yards (tackle by Emmanuel Moseley),0.280,0.000
3,11:49,2,8,LAR 22,7,21,Darrell Henderson left end for 3 yards (tackle by Azeez Al-Shaair),0.000,-0.300
3,11:03,3,5,LAR 25,7,21,Matthew Stafford pass incomplete short right intended for Darrell Henderson (defended by Talanoa Hufanga),-0.300,-1.700
3,10:59,4,5,LAR 25,7,21,"Johnny Hekker punts 38 yards, fair catch by Brandon Aiyuk at SF-37",-1.700,-1.400
3,10:52,1,10,SFO 37,7,21,"Penalty on George Kittle: False Start, 5 yards (accepted) (no play)",1.400,1.070
3,10:52,1,15,SFO 32,7,21,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 6 yards (tackle by Taylor Rapp and Aaron Donald),1.070,0.990
3,10:13,2,9,SFO 38,7,21,Jimmy Garoppolo pass complete short right to Jauan Jennings for 3 yards (tackle by Jordan Fuller),0.990,0.700
3,9:33,3,6,SFO 41,7,21,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 19 yards (tackle by David Long and Nick Scott),0.700,2.920
3,8:45,1,10,LAR 40,7,21,Jeff Wilson right guard for 4 yards (tackle by Marquise Copeland and Leonard Floyd),2.920,2.910
3,7:59,2,6,LAR 36,7,21,Deebo Samuel right tackle for 4 yards (tackle by Leonard Floyd and Aaron Donald),2.910,2.740
3,7:17,3,2,LAR 32,7,21,Jeff Wilson right guard for 4 yards (tackle by Taylor Rapp),2.740,3.710
3,6:32,1,10,LAR 28,7,21,Jeff Wilson right end for -6 yards (tackle by Von Miller and Aaron Donald),3.710,2.360
3,5:46,2,16,LAR 34,7,21,"Jimmy Garoppolo pass complete short left to Jeff Wilson for no gain (tackle by Jalen Ramsey). Penalty on Jauan Jennings: Illegal Shift, 5 yards (accepted) (no play)",2.360,1.680
3,5:32,2,21,LAR 39,7,21,Jimmy Garoppolo pass complete short middle to George Kittle for 7 yards (tackle by Ernest Jones and Troy Reeder),1.680,1.950
3,4:50,3,14,LAR 32,7,21,Jimmy Garoppolo pass incomplete short left intended for George Kittle,1.950,1.240
3,4:43,4,14,LAR 32,7,24,Robbie Gould 50 yard field goal good,1.240,3.000
3,4:38,,,SFO 35,7,24,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,4:38,1,10,LAR 25,7,24,Matthew Stafford pass incomplete short middle intended for Ben Skowronek (defended by Fred Warner),0.610,0.060
3,4:34,2,10,LAR 25,7,24,Sony Michel up the middle for 6 yards (tackle by Fred Warner),0.060,0.170
3,3:54,3,4,LAR 31,7,24,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.170,-1.310
3,3:49,4,4,LAR 31,7,24,"Johnny Hekker punts 42 yards, fair catch by Brandon Aiyuk at SF-27",-1.310,-0.740
3,3:42,1,10,SFO 27,7,24,Jeff Wilson left guard for 3 yards (tackle by A'Shawn Robinson),0.740,0.600
3,3:02,2,7,SFO 30,7,24,"Deebo Samuel left end for -3 yards (tackle by Jalen Ramsey and Ernest Jones). Penalty on Charlie Woerner: Offensive Holding, 10 yards (offset) . Penalty on Jalen Ramsey: Face Mask (15 Yards), 15 yards (offset) (no play)",0.600,0.600
3,2:32,2,7,SFO 30,7,24,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk (defended by Jalen Ramsey),0.600,-0.100
3,2:28,3,7,SFO 30,7,24,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 11 yards (tackle by David Long),-0.100,1.660
3,1:46,1,10,SFO 41,7,24,Jimmy Garoppolo pass incomplete short right intended for Jauan Jennings (defended by Jalen Ramsey),1.660,1.120
3,1:39,,,,,,Timeout #1 by San Francisco 49ers,,
3,1:39,2,10,SFO 41,7,24,Elijah Mitchell left guard for 4 yards (tackle by Terrell Lewis),1.120,0.960
3,1:03,3,6,SFO 45,7,24,Jimmy Garoppolo pass incomplete deep left intended for George Kittle,0.960,-0.390
3,0:59,4,6,SFO 45,7,24,"Mitch Wishnowsky punts 46 yards, fair catch by Cooper Kupp at LA-9",-0.390,0.380
3,0:53,1,10,LAR 9,7,24,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by K'Waun Williams),-0.380,-0.280
3,0:34,2,4,LAR 15,7,24,Matthew Stafford pass complete short right to Darrell Henderson for -3 yards (tackle by Azeez Al-Shaair),-0.280,-1.070
3,0:06,3,7,LAR 12,7,24,Matthew Stafford pass incomplete short left intended for Tyler Higbee,-1.070,-2.490
3,0:01,4,7,LAR 12,7,24,"Johnny Hekker punts 44 yards, fair catch by Brandon Aiyuk at SF-44",-2.490,-1.860
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 44,7,24,Elijah Mitchell up the middle for 8 yards (tackle by Troy Reeder),1.860,2.400
4,14:20,2,2,LAR 48,7,24,Elijah Mitchell up the middle for 4 yards (tackle by Greg Gaines and A'Shawn Robinson),2.400,2.650
4,13:33,1,10,LAR 44,7,24,Elijah Mitchell left guard for 2 yards (tackle by A'Shawn Robinson),2.650,2.380
4,12:47,2,8,LAR 42,7,24,"Penalty on Jeff Wilson: False Start, 5 yards (accepted) (no play)",2.380,1.710
4,12:47,2,13,LAR 47,7,24,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 7 yards (tackle by Von Miller and Ernest Jones),1.710,1.950
4,12:02,3,6,LAR 40,7,24,Jeff Wilson up the middle for no gain (tackle by Aaron Donald and Jordan Fuller),1.950,0.590
4,11:15,,,,,,Timeout #2 by San Francisco 49ers,,
4,11:15,4,6,LAR 40,7,30,"Jimmy Garoppolo pass complete short middle to Deebo Samuel for 40 yards, touchdown",0.590,7.000
4,11:07,,,LAR 15,7,31,Robbie Gould kicks extra point good,0.000,0.000
4,11:07,,,SFO 35,7,31,"Mitch Wishnowsky kicks off 60 yards, returned by J.J. Koski for 16 yards (tackle by Trey Sermon and Marcell Harris)",0.000,0.340
4,11:01,1,10,LAR 21,7,31,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Azeez Al-Shaair and Fred Warner),0.340,1.140
4,10:40,1,10,LAR 33,7,31,Matthew Stafford pass incomplete short right intended for Ben Skowronek (defended by Nick Bosa),1.140,0.590
4,10:35,2,10,LAR 33,7,31,"Matthew Stafford pass incomplete short right intended for Cooper Kupp. Penalty on K'Waun Williams: Defensive Pass Interference, 6 yards (accepted) (no play)",0.590,1.530
4,10:31,1,10,LAR 39,7,31,Matthew Stafford pass incomplete short right intended for Van Jefferson,1.530,0.990
4,10:26,2,10,LAR 39,7,31,Matthew Stafford pass complete short left to Cooper Kupp for 16 yards (tackle by Fred Warner and Josh Norman),0.990,2.590
4,10:04,1,10,SFO 45,7,31,Matthew Stafford pass incomplete deep right intended for Cooper Kupp (defended by Emmanuel Moseley),2.590,2.040
4,9:58,2,10,SFO 45,7,31,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Fred Warner),2.040,2.150
4,9:22,3,4,SFO 39,7,31,Matthew Stafford pass complete short left to Cooper Kupp for 11 yards (tackle by K'Waun Williams),2.150,3.710
4,9:04,1,10,SFO 28,7,31,"Matthew Stafford pass short left is intercepted by K'Waun Williams at SF-23 and returned for no gain. Penalty on K'Waun Williams: Defensive Pass Interference, 5 yards (accepted) (no play)",3.710,4.040
4,8:59,1,10,SFO 23,7,31,Matthew Stafford pass complete short middle to Van Jefferson for 5 yards (tackle by K'Waun Williams and Azeez Al-Shaair),4.040,4.210
4,8:21,2,5,SFO 18,7,31,Matthew Stafford pass incomplete deep left intended for Van Jefferson,4.210,3.490
4,8:15,3,5,SFO 18,7,31,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Azeez Al-Shaair),3.490,5.140
4,7:38,1,9,SFO 9,7,31,Matthew Stafford sacked by Arden Key for -8 yards,5.140,3.240
4,6:53,2,17,SFO 17,7,31,"Penalty on Arik Armstead: Encroachment, 5 yards (accepted) (no play)",3.240,3.860
4,6:51,2,12,SFO 12,7,31,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by K'Waun Williams),3.860,3.810
4,6:15,3,7,SFO 7,7,31,"Matthew Stafford left end for 1 yard Matthew Stafford pass incomplete short left intended for Van Jefferson. Penalty on Matthew Stafford: Illegal Forward Pass, 5 yards (accepted)",3.810,2.700
4,6:05,4,11,SFO 11,7,31,Matthew Stafford pass incomplete short middle intended for Van Jefferson,2.700,0.370
4,6:00,1,10,SFO 11,7,31,Elijah Mitchell left tackle for -2 yards (tackle by Jalen Ramsey and Marquise Copeland),-0.370,-0.930
4,5:19,2,12,SFO 9,7,31,Elijah Mitchell left guard for 2 yards (tackle by Jalen Ramsey and Ogbonnia Okoronkwo),-0.930,-1.420
4,5:12,,,,,,Timeout #1 by Los Angeles Rams,,
4,5:12,3,10,SFO 11,7,31,Elijah Mitchell left guard for 1 yard (tackle by Troy Reeder and Greg Gaines),-1.420,-2.490
4,5:08,,,,,,Timeout #2 by Los Angeles Rams,,
4,5:08,4,9,SFO 12,7,31,Mitch Wishnowsky punts 40 yards downed by Trenton Cannon,-2.490,-2.130
4,4:59,1,10,LAR 48,7,31,Matthew Stafford pass complete short left to Sony Michel for 2 yards (tackle by K'Waun Williams),2.130,1.850
4,4:39,2,8,LAR 50,7,31,Matthew Stafford pass complete short left to Cooper Kupp for 25 yards (tackle by Talanoa Hufanga),1.850,3.910
4,4:15,1,10,SFO 25,7,31,"Matthew Stafford pass complete short left to Sony Michel for 9 yards (tackle by Talanoa Hufanga and Fred Warner). Penalty on Kentavius Street: Roughing the Passer, 8 yards (accepted)",3.910,5.370
4,4:05,1,8,SFO 8,7,31,Matthew Stafford pass incomplete short left intended for Van Jefferson,5.370,4.570
4,4:02,2,8,SFO 8,7,31,Matthew Stafford pass incomplete short left intended for Darrell Henderson,4.570,3.580
4,3:52,3,8,SFO 8,7,31,"Matthew Stafford sacked by Nick Bosa for -11 yards. Penalty on Rob Havenstein: Offensive Holding, 10 yards (declined)",3.580,2.180
4,3:52,4,19,SFO 19,10,31,Matt Gay 37 yard field goal good,2.180,3.000
4,3:48,,,LAR 35,10,31,"Matt Gay kicks onside 10 yards, recovered by Ross Dwelley",0.000,2.650
4,3:47,1,10,LAR 44,10,31,Elijah Mitchell up the middle for 9 yards (tackle by David Long and Jordan Fuller),2.650,3.330
4,3:05,2,1,LAR 35,10,31,Elijah Mitchell up the middle for 2 yards (tackle by A'Shawn Robinson),3.330,3.380
4,2:20,1,10,LAR 33,10,31,Elijah Mitchell up the middle for no gain (tackle by Ogbonnia Okoronkwo and Troy Reeder),3.380,2.840
4,2:00,2,10,LAR 33,10,31,Elijah Mitchell right tackle for -4 yards (tackle by Marquise Copeland),2.840,1.620
4,1:17,3,14,LAR 37,10,31,Elijah Mitchell left end for 8 yards (tackle by Taylor Rapp),1.620,1.520
4,0:31,4,6,LAR 29,10,31,Elijah Mitchell left tackle for 5 yards (tackle by Ernest Jones),1.520,-0.610
4,0:24,1,10,LAR 25,10,31,Sony Michel left tackle for 7 yards (tackle by Kentavius Street and Azeez Al-Shaair),0.610,1.010
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
