Quarter,Time,Down,ToGo,Location,LVR,NYG,Detail,EPB,EPA
2,10:54,2,14,NYG 42,10,7,Daniel Jones pass complete short right to Elijhaa Penny for -7 yards (tackle by Cory Littleton),0.910,-0.690
2,10:17,3,21,NYG 35,10,7,Kadarius Toney sacked by Nate Hobbs for -6 yards,-0.690,-1.440
2,9:35,4,27,NYG 29,10,7,Riley Dixon punts 58 yards downed by Keion Crossen,-1.440,0.320
2,9:24,1,10,LVR 13,10,7,Kenyan Drake left guard for 3 yards (tackle by Dexter Lawrence and Leonard Williams),-0.320,-0.440
2,9:00,2,7,LVR 16,10,7,Derek Carr pass incomplete short left intended for Kenyan Drake (defended by Leonard Williams),-0.440,-1.060
2,8:55,3,7,LVR 16,10,7,Derek Carr pass incomplete short middle intended for Bryan Edwards,-1.060,-2.390
2,8:50,4,7,LVR 16,10,7,"AJ Cole punts 58 yards, returned by Pharoh Cooper for 14 yards (tackle by Keisean Nixon and Foster Moreau)",-2.390,-1.600
2,8:38,1,10,NYG 40,10,7,"Penalty on Devontae Booker: False Start, 5 yards (accepted) (no play)",1.600,1.270
2,8:38,1,15,NYG 35,10,7,Daniel Jones pass complete short middle to Kenny Golladay for 14 yards (tackle by Casey Hayward),1.270,2.270
2,8:04,2,1,NYG 49,10,7,Devontae Booker right tackle for 20 yards (tackle by Trevon Moehrig and Brandon Facyson),2.270,3.510
2,7:24,1,10,LVR 31,10,7,Devontae Booker up the middle for 5 yards (tackle by Carl Nassib and Solomon Thomas),3.510,3.640
2,6:45,2,5,LVR 26,10,7,Daniel Jones pass complete short right to Kyle Rudolph for 3 yards (tackle by Denzel Perryman),3.640,3.340
2,6:04,,,,,,Timeout #1 by New York Giants,,
2,6:04,3,2,LVR 23,10,7,Devontae Booker right tackle for 2 yards (tackle by Brandon Facyson),3.340,4.170
2,5:19,1,10,LVR 21,10,7,Devontae Booker up the middle for 3 yards (tackle by Maxx Crosby),4.170,4.040
2,4:47,2,7,LVR 18,10,7,Daniel Jones sacked by Yannick Ngakoue for -4 yards,4.040,2.810
2,4:03,3,11,LVR 22,10,7,Daniel Jones scrambles right end for 5 yards (tackle by Denzel Perryman),2.810,2.340
2,3:28,4,6,LVR 17,10,10,Graham Gano 35 yard field goal good,2.340,3.000
2,3:24,,,NYG 35,10,10,"Graham Gano kicks off 61 yards, returned by Jalen Richard for 26 yards (tackle by Trent Harris and Julian Love)",0.000,0.940
2,3:17,1,10,LVR 30,10,10,Josh Jacobs right tackle for 7 yards (tackle by Leonard Williams),0.940,1.340
2,2:40,2,3,LVR 37,10,10,Josh Jacobs right tackle for 2 yards (tackle by Dexter Lawrence and Leonard Williams),1.340,0.890
2,2:00,3,1,LVR 39,10,10,Derek Carr pass complete short left to Alec Ingold for 7 yards (tackle by Tae Crowder),0.890,1.990
2,1:52,,,,,,Timeout #1 by Las Vegas Raiders,,
2,1:52,1,10,LVR 46,10,10,Derek Carr pass complete short left to Jalen Richard for 8 yards (tackle by Julian Love and James Bradberry),1.990,2.530
2,1:30,2,2,NYG 46,10,10,Derek Carr pass complete short middle to Jalen Richard for 10 yards (tackle by Logan Ryan),2.530,3.180
2,1:04,1,10,NYG 36,10,10,"Penalty on Brandon Parker: False Start, 5 yards (accepted) (no play)",3.180,2.850
2,0:52,1,15,NYG 41,10,10,Derek Carr pass complete deep right to Darren Waller for 20 yards (tackle by Xavier McKinney),2.850,4.170
2,0:44,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:44,1,10,NYG 21,10,10,Derek Carr pass complete short middle to Hunter Renfrow for 7 yards (tackle by Darnay Holmes and Logan Ryan),4.170,4.850
2,0:24,2,2,NYG 14,10,10,Derek Carr pass incomplete short right intended for Zay Jones,4.850,4.150
2,0:15,3,2,NYG 14,10,10,Derek Carr pass incomplete short middle intended for Darren Waller,4.150,2.630
2,0:10,4,2,NYG 14,13,10,Daniel Carlson 32 yard field goal good,2.630,3.000
2,0:06,,,LVR 35,13,10,"Daniel Carlson kicks off 58 yards, returned by Pharoh Cooper for 13 yards (tackle by Tyree Gillespie and Nate Hobbs)",0.000,1.270
Quarter,Time,Down,ToGo,Location,LVR,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,13,10,"Graham Gano kicks off 65 yards, returned by Jalen Richard for 32 yards (tackle by Trent Harris)",0.000,1.070
3,14:54,1,10,LVR 32,13,10,Josh Jacobs up the middle for 1 yard (tackle by Austin Johnson and Dexter Lawrence),1.070,0.660
3,14:16,2,9,LVR 33,13,10,Derek Carr pass complete to Josh Jacobs for 2 yards (tackle by Azeez Ojulari),0.660,0.230
3,13:38,3,7,LVR 35,13,16,"Derek Carr pass short left intended for Hunter Renfrow is intercepted by Xavier McKinney at LV-41 and returned for 41 yards, touchdown",0.230,-7.000
3,13:28,,,LVR 15,13,17,Graham Gano kicks extra point good,0.000,0.000
3,13:28,,,NYG 35,13,17,"Graham Gano kicks off 64 yards, returned by Jalen Richard for 15 yards (tackle by Pharoh Cooper and Keion Crossen). Penalty on Dillon Stoner: Illegal Wedge, 8 yards (accepted)",0.000,-0.380
3,13:22,1,10,LVR 8,13,17,Derek Carr pass complete short left to Alec Ingold for 15 yards (tackle by Tae Crowder),-0.380,0.480
3,12:42,1,10,LVR 23,13,17,Derek Carr pass complete to Kenyan Drake for 9 yards (tackle by Xavier McKinney),0.480,1.150
3,12:10,2,1,LVR 32,13,17,Josh Jacobs right end for 14 yards (tackle by Leonard Williams),1.150,1.990
3,11:28,1,10,LVR 46,13,17,Derek Carr pass complete to Hunter Renfrow for 5 yards (tackle by Xavier McKinney and Tae Crowder),1.990,2.130
3,11:00,2,5,NYG 49,13,17,Josh Jacobs up the middle for 4 yards (tackle by Quincy Roche),2.130,1.950
3,10:32,3,1,NYG 45,13,17,Derek Carr up the middle for 1 yard (tackle by Tae Crowder),1.950,2.650
3,9:50,1,10,NYG 44,13,17,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Benardrick McKinney),2.650,3.330
3,9:16,2,1,NYG 35,13,17,Derek Carr pass incomplete deep middle intended for Bryan Edwards,3.330,2.610
3,9:09,3,1,NYG 35,13,17,Josh Jacobs right guard for no gain (tackle by Trent Harris and Dexter Lawrence),2.610,1.000
3,8:30,4,1,NYG 35,13,17,Marcus Mariota right end for 6 yards (tackle by Benardrick McKinney),1.000,3.640
3,7:53,1,10,NYG 29,13,17,Josh Jacobs left tackle for no gain (tackle by Logan Ryan and Xavier McKinney) (no play),3.640,3.310
3,7:29,1,15,NYG 34,13,17,Derek Carr pass complete deep right to Zay Jones for 20 yards (tackle by Logan Ryan),3.310,4.650
3,6:51,1,10,NYG 14,13,17,Kenyan Drake left tackle for 3 yards (tackle by Danny Shelton and Austin Johnson),4.650,4.520
3,6:14,2,7,NYG 11,13,17,Derek Carr scrambles up the middle for 4 yards (tackle by Adoree' Jackson),4.520,4.500
3,5:30,3,3,NYG 7,13,17,Derek Carr pass incomplete short right intended for Darren Waller,4.500,2.990
3,5:24,4,3,NYG 7,16,17,Daniel Carlson 25 yard field goal good,2.990,3.000
3,5:20,,,LVR 35,16,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,5:20,1,10,NYG 25,16,17,Devontae Booker up the middle for 2 yards (tackle by Cory Littleton and Quinton Jefferson),0.610,0.330
3,4:45,2,8,NYG 27,16,17,Daniel Jones pass incomplete short middle intended for Kyle Rudolph (defended by Denzel Perryman),0.330,-0.360
3,4:41,3,8,NYG 27,16,17,Daniel Jones pass complete short left to Kenny Golladay for 14 yards (tackle by Brandon Facyson),-0.360,1.660
3,4:04,1,10,NYG 41,16,17,Devontae Booker up the middle for no gain (tackle by Johnathan Hankins and Nate Hobbs),1.660,1.120
3,3:28,2,10,NYG 41,16,17,Daniel Jones pass complete short left to Evan Engram for 2 yards (tackle by Johnathan Abram),1.120,0.700
3,2:54,3,8,NYG 43,16,17,Daniel Jones pass complete short right to Kadarius Toney for 9 yards (tackle by Denzel Perryman),0.700,2.390
3,2:31,1,10,LVR 48,16,17,"Daniel Jones pass complete to Kyle Rudolph for 1 yard (tackle by Denzel Perryman). Penalty on Nate Hobbs: Roughing the Passer, 15 yards (accepted)",2.390,3.450
3,2:07,1,10,LVR 32,16,17,Devontae Booker up the middle for 5 yards (tackle by Denzel Perryman and Quinton Jefferson),3.450,3.580
3,1:29,2,5,LVR 27,16,17,Devontae Booker left tackle for 7 yards (tackle by Johnathan Abram),3.580,4.240
3,0:46,1,10,LVR 20,16,17,Devontae Booker left guard for 5 yards (tackle by K.J. Wright),4.240,4.450
Quarter,Time,Down,ToGo,Location,LVR,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,LVR 15,16,17,Devontae Booker up the middle for 2 yards (tackle by K.J. Wright),4.450,3.890
4,14:18,3,4,LVR 14,16,17,Daniel Jones pass incomplete short right,3.890,2.580
4,14:11,4,4,LVR 14,16,20,Graham Gano 32 yard field goal good,2.580,3.000
4,14:07,,,NYG 35,16,20,"Graham Gano kicks off 62 yards, returned by Jalen Richard for 20 yards (tackle by Cam Brown and Trent Harris)",0.000,0.480
4,14:01,1,10,LVR 23,16,20,Derek Carr pass complete deep right to Darren Waller for 24 yards (tackle by Adoree' Jackson),0.480,2.060
4,13:28,1,10,LVR 47,16,20,Kenyan Drake right tackle for 21 yards (tackle by Xavier McKinney),2.060,3.450
4,12:45,1,10,NYG 32,16,20,Derek Carr pass complete short middle to Kenyan Drake for 22 yards (tackle by Reggie Ragland and Azeez Ojulari),3.450,3.910
4,12:30,1,10,NYG 25,16,20,"Penalty on Nick Martin: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",3.910,3.910
4,12:21,1,10,NYG 25,16,20,Derek Carr pass complete short left to Kenyan Drake for 11 yards (tackle by Xavier McKinney and Darnay Holmes),3.910,4.650
4,11:37,1,10,NYG 14,16,20,Derek Carr pass complete short right to Kenyan Drake for 2 yards (tackle by Reggie Ragland),4.650,4.330
4,10:57,2,8,NYG 12,16,20,Josh Jacobs right tackle for 2 yards (tackle by Austin Johnson and Quincy Roche),4.330,3.820
4,10:15,3,6,NYG 10,16,20,Derek Carr pass complete short left to Josh Jacobs for 3 yards (tackle by Logan Ryan),3.820,2.990
4,9:34,4,3,NYG 7,16,20,Daniel Carlson 25 yard field goal no good,2.990,-0.280
4,9:28,1,10,NYG 20,16,20,Devontae Booker right tackle for 3 yards (tackle by Brandon Facyson),0.280,0.140
4,8:54,2,7,NYG 23,16,20,Daniel Jones pass incomplete short right intended for Darius Slayton,0.140,-0.560
4,8:49,3,7,NYG 23,16,20,Daniel Jones scrambles up the middle for 8 yards (tackle by Solomon Thomas and Johnathan Abram),-0.560,1.000
4,8:07,1,10,NYG 31,16,20,Devontae Booker right end for -3 yards (tackle by Maxx Crosby and Denzel Perryman),1.000,0.060
4,7:25,2,13,NYG 28,16,20,"Daniel Jones pass incomplete intended for Evan Engram. Penalty on Nate Hobbs: Defensive Pass Interference, 17 yards (accepted) (no play)",0.060,1.800
4,7:20,1,10,NYG 43,16,20,Daniel Jones pass incomplete short right,1.800,1.380
4,7:13,2,10,NYG 45,16,20,Elijhaa Penny up the middle for 4 yards (tackle by Maxx Crosby),1.380,1.220
4,6:26,3,6,NYG 49,16,20,Daniel Jones pass incomplete deep left intended for Kenny Golladay,1.220,-0.130
4,6:21,4,6,NYG 49,16,20,"Riley Dixon punts 46 yards, returned by Hunter Renfrow for 5 yards. Hunter Renfrow fumbles (forced by Keion Crossen), recovered by Dallin Leavitt at LV-12 (tackle by Keion Crossen)",-0.130,0.350
4,6:10,1,10,LVR 12,16,20,Derek Carr pass incomplete deep right intended for Bryan Edwards,-0.350,-0.780
4,6:06,2,10,LVR 12,16,20,Derek Carr pass complete short right to Darren Waller for 12 yards (tackle by Logan Ryan and Tae Crowder),-0.780,0.540
4,5:20,1,10,LVR 24,16,20,Derek Carr pass intended for Zay Jones is intercepted by Xavier McKinney at 50 and returned for no gain,0.540,-2.260
4,5:12,1,10,LVR 50,16,20,Elijhaa Penny right guard for 11 yards (tackle by Johnathan Abram and Trevon Moehrig),2.260,2.980
4,4:28,1,10,LVR 39,16,20,Elijhaa Penny right tackle for 12 yards (tackle by Trevon Moehrig),2.980,3.780
4,3:41,1,10,LVR 27,16,20,Elijhaa Penny for 2 yards (tackle by Carl Nassib and Brandon Facyson),3.780,3.500
4,3:34,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:34,2,8,LVR 25,16,20,Daniel Jones pass complete short right to Elijhaa Penny for -1 yards (tackle by K.J. Wright),3.500,2.680
4,3:29,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:29,3,9,LVR 26,16,20,Daniel Jones pass complete short middle to Evan Engram for 6 yards (tackle by Johnathan Abram and Dallin Leavitt),2.680,2.220
4,3:25,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:25,4,3,LVR 20,16,23,Graham Gano 38 yard field goal good,2.220,3.000
4,3:21,,,NYG 35,16,23,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,3:21,1,10,LVR 25,16,23,Derek Carr pass complete short right to Darren Waller for 3 yards (tackle by Julian Love),0.610,0.470
4,2:58,2,7,LVR 28,16,23,Derek Carr pass complete short middle to Darren Waller for 19 yards (tackle by Logan Ryan),0.470,2.060
4,2:34,1,10,LVR 47,16,23,Derek Carr pass complete to Kenyan Drake for 9 yards (tackle by Tae Crowder and Logan Ryan),2.060,2.730
4,2:07,2,1,NYG 44,16,23,Kenyan Drake up the middle for 3 yards (tackle by Dexter Lawrence),2.730,2.850
4,2:00,1,10,NYG 41,16,23,Derek Carr pass complete short left to Kenyan Drake for 17 yards (tackle by Julian Love),2.850,3.970
4,1:37,1,10,NYG 24,16,23,Derek Carr pass complete short middle to Darren Waller for 8 yards (tackle by Tae Crowder),3.970,4.650
4,1:01,2,2,NYG 16,16,23,Derek Carr pass incomplete short left intended for Kenyan Drake (defended by Azeez Ojulari),4.650,3.950
4,0:55,3,2,NYG 16,16,23,Derek Carr pass complete short right to Hunter Renfrow for 3 yards (tackle by Darnay Holmes),3.950,4.710
4,0:50,,,,,,Timeout #1 by New York Giants,,
4,0:50,1,10,NYG 13,16,23,Derek Carr pass incomplete intended for Zay Jones,4.710,4.050
4,0:44,2,10,NYG 13,16,23,"Derek Carr sacked by Quincy Roche for -10 yards. Derek Carr fumbles (forced by Quincy Roche), recovered by Leonard Williams at NYG-23 (tackle by Quincy Roche). Penalty on Kolton Miller: Offensive Holding, 10 yards (declined)",4.050,-0.480
4,0:37,1,10,NYG 23,16,23,Daniel Jones kneels for -1 yards,0.480,-0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
