Quarter,Time,Down,ToGo,Location,NWE,CAR,Detail,EPB,EPA
2,13:35,2,10,NWE 21,0,0,Chuba Hubbard right end for -2 yards (tackle by Deatrich Wise),3.630,2.680
2,12:52,3,12,NWE 23,0,0,Sam Darnold pass complete short left to Robbie Anderson for 2 yards (tackle by Myles Bryant),2.680,2.060
2,12:12,4,10,NWE 21,0,3,Zane Gonzalez 39 yard field goal good,2.060,3.000
2,12:07,,,CAR 35,0,3,"Zane Gonzalez kicks off 70 yards, returned by Gunner Olszewski for 30 yards (tackle by Frankie Luvu)",0.000,0.610
2,12:02,1,10,NWE 25,0,3,Mac Jones pass complete short right to Kendrick Bourne for 9 yards (tackle by Sean Chandler),0.610,1.280
2,11:34,2,1,NWE 34,0,3,Mac Jones up the middle for 2 yards (tackle by Shaq Thompson),1.280,1.330
2,11:05,1,10,NWE 36,0,3,Damien Harris up the middle for -1 yards (tackle by Jeremy Chinn),1.330,0.660
2,10:28,2,11,NWE 35,0,3,Mac Jones pass complete short right to Rhamondre Stevenson for 41 yards (tackle by Jermaine Carter and Jeremy Chinn),0.660,3.970
2,9:59,1,10,CAR 24,0,3,Rhamondre Stevenson up the middle for 6 yards (tackle by Rashaan Melvin),3.970,4.290
2,9:33,2,4,CAR 18,0,3,Rhamondre Stevenson left guard for 2 yards (tackle by Brian Burns),4.290,3.950
2,8:56,3,2,CAR 16,0,3,Rhamondre Stevenson left end for 13 yards (tackle by Sean Chandler),3.950,6.510
2,8:23,1,3,CAR 3,6,3,"Damien Harris up the middle for 3 yards, touchdown",6.510,7.000
2,8:19,,,CAR 15,7,3,Nick Folk kicks extra point good,0.000,0.000
2,8:19,,,NWE 35,7,3,returned by Ameer Abdullah for 21 yards (tackle by Matthew Slater and Brandon King),0.000,0.280
2,8:14,1,10,CAR 20,7,3,Sam Darnold pass incomplete short right,0.280,-0.270
2,8:07,2,10,CAR 20,7,3,Chuba Hubbard up the middle for 3 yards (tackle by Ja'Whaun Bentley),-0.270,-0.560
2,7:22,3,7,CAR 23,7,3,Sam Darnold pass incomplete short left intended for Terrace Marshall,-0.560,-1.830
2,7:17,4,7,CAR 23,7,3,"Lac Edwards punts 46 yards, returned by Jakobi Meyers for 7 yards (tackle by Colin Thompson)",-1.830,-1.470
2,7:07,1,10,NWE 38,7,3,Damien Harris left guard for 3 yards (tackle by Stephon Gilmore),1.470,1.330
2,6:32,2,7,NWE 41,7,3,Mac Jones pass short right intended for Jakobi Meyers is intercepted by Stephon Gilmore at NE-47 and returned for 13 yards (tackle by Mac Jones),1.330,-3.310
2,6:22,1,10,NWE 34,7,3,Sam Darnold pass complete short left to Ameer Abdullah for 6 yards (tackle by Kyle Dugger),3.310,3.580
2,5:41,2,4,NWE 28,7,3,Christian McCaffrey left guard for 10 yards (tackle by J.C. Jackson),3.580,4.370
2,5:17,1,10,NWE 18,7,3,"Christian McCaffrey right end for 2 yards (tackle by Matt Judon). Penalty on Ian Thomas: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",4.370,2.070
2,4:45,2,23,NWE 31,7,3,Sam Darnold pass incomplete short middle,2.070,1.420
2,4:40,3,23,NWE 31,7,3,Sam Darnold pass incomplete short right intended for Chuba Hubbard (defended by Kyle Van Noy),1.420,1.320
2,4:33,4,23,NWE 31,7,6,Zane Gonzalez 49 yard field goal good,1.320,3.000
2,4:28,,,CAR 35,7,6,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,4:28,1,10,NWE 25,7,6,Rhamondre Stevenson right guard for 2 yards (tackle by Myles Hartsfield),0.610,0.330
2,3:52,2,8,NWE 27,7,6,Mac Jones pass complete short right to Rhamondre Stevenson for 3 yards (tackle by Brian Burns),0.330,0.040
2,3:14,3,5,NWE 30,7,6,Mac Jones pass complete deep right to Brandon Bolden for 28 yards (tackle by Shaq Thompson),0.040,2.790
2,2:38,1,10,CAR 42,7,6,"Penalty on Jakobi Meyers: False Start, 5 yards (accepted) (no play)",2.790,2.460
2,2:24,1,15,CAR 47,7,6,Damien Harris left end for 8 yards (tackle by Sean Chandler),2.460,2.720
2,2:00,2,6,CAR 39,7,6,Jonnu Smith right end for 4 yards (tackle by Donte Jackson),2.720,2.540
2,1:22,3,2,CAR 35,7,6,Brandon Bolden up the middle for 11 yards (tackle by Kenny Robinson),2.540,3.970
2,0:47,1,10,CAR 24,7,6,Brandon Bolden right tackle for 12 yards (tackle by Stephon Gilmore),3.970,4.780
2,0:40,1,10,CAR 12,7,6,Mac Jones pass complete short right to Damien Harris for 3 yards (tackle by Haason Reddick),4.780,4.640
2,0:34,,,,,,Timeout #1 by New England Patriots,,
2,0:34,2,7,CAR 9,7,6,Damien Harris right guard for 2 yards (tackle by Jermaine Carter and Shaq Thompson),4.640,4.160
2,0:29,,,,,,Timeout #2 by New England Patriots,,
2,0:29,3,5,CAR 7,13,6,"Mac Jones pass complete short right to Hunter Henry for 7 yards, touchdown",4.160,7.000
2,0:24,,,CAR 15,14,6,Nick Folk kicks extra point good,0.000,0.000
2,0:24,,,NWE 35,14,6,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,0:24,1,10,CAR 25,14,6,Sam Darnold pass complete short right to Ameer Abdullah for 5 yards (tackle by Kyle Dugger),0.610,0.740
Quarter,Time,Down,ToGo,Location,NWE,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,14,6,"Jake Bailey kicks off 61 yards, returned by Ameer Abdullah for 22 yards (tackle by Brandon Bolden)",0.000,0.670
3,14:56,1,10,CAR 26,14,6,Sam Darnold scrambles right end for 1 yard (tackle by Kyle Van Noy),0.670,0.270
3,14:20,2,9,CAR 27,14,6,Christian McCaffrey right tackle for 3 yards (tackle by Lawrence Guy),0.270,-0.030
3,13:33,3,6,CAR 30,14,6,Sam Darnold pass incomplete short left intended for Willie Snead,-0.030,-1.370
3,13:24,4,6,CAR 30,14,6,"Lac Edwards punts 43 yards, fair catch by Jakobi Meyers at NE-27",-1.370,-1.070
3,13:18,1,10,NWE 32,14,6,Damien Harris left guard for -2 yards (tackle by Jeremy Chinn and Brian Burns),1.070,0.260
3,12:46,2,12,NWE 30,14,6,Mac Jones pass incomplete short right intended for Kendrick Bourne,0.260,-0.430
3,12:42,3,12,NWE 30,14,6,Brandon Bolden up the middle for 3 yards (tackle by Shaq Thompson),-0.430,-1.180
3,12:06,4,9,NWE 33,14,6,"Jake Bailey punts 55 yards, returned by Alex Erickson for 4 yards (tackle by Cody Davis and Matthew Slater)",-1.180,0.140
3,11:54,1,10,CAR 16,14,6,Christian McCaffrey right guard for 9 yards (tackle by Ja'Whaun Bentley and Adrian Phillips),-0.140,0.690
3,11:20,2,1,CAR 25,14,6,Christian McCaffrey up the middle for 6 yards (tackle by Davon Godchaux and Deatrich Wise),0.690,1.000
3,10:38,1,10,CAR 31,14,6,Christian McCaffrey right tackle for no gain (tackle by Lawrence Guy and Matt Judon),1.000,0.460
3,10:01,2,10,CAR 31,14,6,Sam Darnold pass complete short middle to Chuba Hubbard for 33 yards (tackle by Adrian Phillips and Jahlani Tavai),0.460,3.180
3,9:11,1,10,NWE 36,14,6,Christian McCaffrey left guard for 3 yards (tackle by Christian Barmore and Deatrich Wise),3.180,3.040
3,8:34,2,7,NWE 33,14,6,Sam Darnold pass complete short middle to D.J. Moore for 13 yards (tackle by Joejuan Williams),3.040,4.240
3,7:55,1,10,NWE 20,14,6,Christian McCaffrey left tackle for no gain (tackle by Carl Davis),4.240,3.690
3,7:12,2,10,NWE 20,20,6,"Sam Darnold pass short left intended for Ian Thomas is intercepted by J.C. Jackson at NE-12 and returned for 88 yards, touchdown",3.690,-7.000
3,6:55,,,CAR 15,21,6,Nick Folk kicks extra point good,0.000,0.000
3,6:55,,,NWE 35,21,6,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,6:55,1,10,CAR 25,21,6,Christian McCaffrey right guard for 4 yards (tackle by Davon Godchaux),0.610,0.600
3,6:18,2,6,CAR 29,21,6,D.J. Moore up the middle for 10 yards (tackle by Joejuan Williams),0.600,1.530
3,5:46,1,10,CAR 39,21,6,"Christian McCaffrey right guard for 10 yards. Christian McCaffrey fumbles (forced by Adrian Phillips), recovered by Ian Thomas at CAR-41 and returned for 9 yards (tackle by Devin McCourty)",1.530,2.260
3,4:58,1,10,CAR 50,21,6,Sam Darnold pass incomplete short middle intended for Tommy Tremble (defended by Christian Barmore),2.260,1.710
3,4:52,2,10,CAR 50,21,6,Sam Darnold pass complete short right to Christian McCaffrey for -3 yards (tackle by Jamie Collins),1.710,0.630
3,4:11,3,13,CAR 47,21,6,Sam Darnold pass short right intended for Robbie Anderson is intercepted by Jamie Collins at CAR-44 and returned for 1 yard (tackle by Trenton Scott),0.630,-2.720
3,4:04,1,10,CAR 43,21,6,"Mac Jones pass incomplete deep left intended for Nelson Agholor. Penalty on Donte Jackson: Defensive Pass Interference, 13 yards (accepted) (no play)",2.720,3.580
3,3:59,1,10,CAR 30,21,6,Rhamondre Stevenson left guard for 6 yards (tackle by Jeremy Chinn),3.580,3.840
3,3:24,2,4,CAR 24,21,6,Rhamondre Stevenson left guard for 5 yards (tackle by Jeremy Chinn and Bravvion Roy),3.840,4.310
3,2:37,1,10,CAR 19,21,6,Mac Jones pass incomplete short left intended for Jonnu Smith,4.310,3.750
3,2:34,2,10,CAR 19,21,6,Mac Jones pass incomplete deep left intended for Hunter Henry,3.750,3.030
3,2:29,3,10,CAR 19,21,6,Mac Jones pass incomplete deep left intended for Jakobi Meyers,3.030,2.180
3,2:24,4,10,CAR 19,24,6,Nick Folk 37 yard field goal good,2.180,3.000
3,2:20,,,NWE 35,24,6,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,2:20,1,10,CAR 25,24,6,"Christian McCaffrey right tackle for no gain (tackle by Matt Judon and Dont'a Hightower). Penalty on Trenton Scott: Offensive Holding, 10 yards (accepted) (no play)",0.610,-0.410
3,1:53,1,20,CAR 15,24,6,Sam Darnold pass complete short left to D.J. Moore for 6 yards (tackle by Myles Bryant),-0.410,-0.480
3,1:23,2,14,CAR 21,24,6,Sam Darnold pass complete short middle to Christian McCaffrey for 21 yards (tackle by Devin McCourty),-0.480,1.730
3,0:54,1,10,CAR 42,24,6,Sam Darnold pass complete short left to Christian McCaffrey for 19 yards (tackle by J.C. Jackson and Dont'a Hightower),1.730,2.980
3,0:19,1,10,NWE 39,24,6,Sam Darnold pass incomplete deep left,2.980,2.440
3,0:09,2,10,NWE 39,24,6,Sam Darnold scrambles right guard for 4 yards (tackle by Kyle Van Noy),2.440,2.280
Quarter,Time,Down,ToGo,Location,NWE,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,NWE 35,24,6,Sam Darnold pass complete short middle to Christian McCaffrey for 17 yards (tackle by Adrian Phillips),2.280,4.370
4,14:16,1,10,NWE 18,24,6,Sam Darnold scrambles right end for 4 yards (tackle by Matt Judon),4.370,4.430
4,13:39,2,6,NWE 14,24,6,Sam Darnold pass short left intended for D.J. Moore is intercepted by J.C. Jackson in end zone and returned for no gain,4.430,-0.280
4,13:31,1,10,NWE 20,24,6,Rhamondre Stevenson right end for 1 yard (tackle by Jeremy Chinn and Haason Reddick),0.280,-0.130
4,12:52,2,9,NWE 21,24,6,Mac Jones pass complete short right to Kendrick Bourne for 18 yards (tackle by Keith Taylor and Shaq Thompson),-0.130,1.530
4,12:13,1,10,NWE 39,24,6,Rhamondre Stevenson up the middle for 4 yards (tackle by Yetur Gross-Matos),1.530,1.530
4,11:33,2,6,NWE 43,24,6,Rhamondre Stevenson up the middle for 11 yards (tackle by Jeremy Chinn),1.530,2.520
4,10:56,1,10,CAR 46,24,6,Damien Harris up the middle for 2 yards (tackle by Jermaine Carter and Derrick Brown),2.520,2.250
4,10:15,2,8,CAR 44,24,6,Damien Harris right tackle for 5 yards (tackle by Jeremy Chinn and Donte Jackson),2.250,2.210
4,9:34,3,3,CAR 39,24,6,Damien Harris right guard for 1 yard (tackle by Rashaan Melvin),2.210,0.720
4,8:46,,,,,,Timeout #1 by New England Patriots,,
4,8:46,4,2,CAR 38,24,6,Brandon Bolden right guard for 2 yards (tackle by Shaq Thompson and Jeremy Chinn),0.720,3.180
4,7:55,1,10,CAR 36,24,6,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",3.180,2.850
4,7:55,1,15,CAR 41,24,6,Damien Harris right guard for 7 yards (tackle by Derrick Brown),2.850,2.910
4,7:20,2,8,CAR 34,24,6,Damien Harris up the middle for -6 yards (tackle by Brian Burns),2.910,1.420
4,7:00,3,14,CAR 40,24,6,"Brandon Bolden up the middle for -1 yards. Brandon Bolden fumbles (forced by Jeremy Chinn), recovered by Mac Jones at CAR-39 and returned for -2 yards (tackle by Jeremy Chinn)",1.420,0.530
4,6:20,4,15,CAR 41,24,6,"Penalty on Clay Johnston: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.530,0.880
4,5:59,4,10,CAR 36,24,6,Nick Folk 54 yard field goal no good,0.880,-1.860
4,5:54,1,10,CAR 44,24,6,"Sam Darnold pass complete short left to Christian McCaffrey for no gain (tackle by Kyle Van Noy). Penalty on Dennis Daley: Offensive Holding, 10 yards (accepted) (no play)",1.860,1.200
4,5:15,1,20,CAR 34,24,6,Sam Darnold pass complete short right to Willie Snead for 6 yards (tackle by Myles Bryant and Adrian Phillips),1.200,0.780
4,4:48,2,14,CAR 40,24,6,Sam Darnold pass complete short left to Ian Thomas for 9 yards (tackle by Myles Bryant),0.780,1.290
4,4:22,3,5,CAR 49,24,6,Sam Darnold pass complete short right to Ameer Abdullah for 7 yards (tackle by Adrian Phillips),1.290,2.650
4,4:14,1,10,NWE 44,24,6,Sam Darnold pass incomplete deep right intended for D.J. Moore,2.650,2.110
4,4:09,2,10,NWE 44,24,6,Sam Darnold pass complete short right to Ameer Abdullah for 12 yards (tackle by Joejuan Williams),2.110,3.450
4,4:02,1,10,NWE 32,24,6,Sam Darnold pass incomplete short left intended for Robbie Anderson,3.450,2.900
4,3:57,2,10,NWE 32,24,6,Sam Darnold sacked by Matt Judon for -10 yards,2.900,0.890
4,3:43,,,,,,Timeout #1 by Carolina Panthers,,
4,3:43,3,20,NWE 42,24,6,Sam Darnold pass incomplete short right intended for Ameer Abdullah,0.890,0.460
4,3:38,4,20,NWE 42,24,6,Sam Darnold pass incomplete deep left intended for D.J. Moore (defended by Jalen Mills),0.460,-1.730
4,3:29,1,10,NWE 42,24,6,"Brandon Bolden up the middle for no gain (tackle by Myles Hartsfield). Penalty on Sean Chandler: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.730,2.060
4,3:23,1,10,NWE 47,24,6,Brandon Bolden up the middle for 2 yards (tackle by Jermaine Carter and Clay Johnston),2.060,1.790
4,2:38,2,8,NWE 49,24,6,Brandon Bolden left end for 9 yards (tackle by Morgan Fox),1.790,2.790
4,2:00,1,10,CAR 42,24,6,Brian Hoyer kneels for -1 yards,2.790,2.110
4,1:19,2,11,CAR 43,24,6,Brian Hoyer kneels for -1 yards,2.110,1.290
4,0:38,3,12,CAR 44,24,6,Brian Hoyer kneels for -1 yards,1.290,0.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
