Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
1,0:43,2,5,CAR 29,7,7,Cam Newton pass complete short left to Tommy Tremble for 4 yards (tackle by Elandon Roberts),0.670,0.500
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,CAR 33,7,7,Cam Newton right end for 2 yards (tackle by Emmanuel Ogbah and Jevon Holland),0.500,1.270
2,14:18,1,10,CAR 35,7,7,Christian McCaffrey right guard for 2 yards (tackle by Raekwon Davis),1.270,0.990
2,13:33,2,8,CAR 37,7,7,Christian McCaffrey right guard for 3 yards (tackle by Christian Wilkins and Duke Riley),0.990,0.700
2,12:55,3,5,CAR 40,7,7,Cam Newton pass intended for Robbie Anderson is intercepted by Jevon Holland at MIA-47 and returned for no gain (tackle by Brandon Zylstra),0.700,-2.060
2,12:46,1,10,MIA 47,7,7,Tua Tagovailoa pass incomplete short left intended for Albert Wilson,2.060,1.520
2,12:43,2,10,MIA 47,7,7,Phillip Lindsay left guard for 5 yards (tackle by Bravvion Roy and Brian Burns),1.520,1.490
2,12:04,3,5,CAR 48,7,7,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at CAR-49 Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle",1.490,0.070
2,11:54,4,5,CAR 48,7,7,"Michael Palardy punts 35 yards, fair catch by Alex Erickson at CAR-13",0.070,0.320
2,11:50,1,10,CAR 13,7,7,"Cam Newton pass complete short left to Robbie Anderson for no gain (tackle by Eric Rowe). Penalty on Michael Jordan: Offensive Holding, 6 yards (accepted) (no play)",-0.320,-0.610
2,11:26,1,16,CAR 7,7,7,Christian McCaffrey left tackle for 1 yard (tackle by Raekwon Davis and Christian Wilkins),-0.610,-1.150
2,10:46,2,15,CAR 8,7,7,Cam Newton pass deep right intended for D.J. Moore is intercepted by Xavien Howard at CAR-25 and returned for 16 yards (tackle by D.J. Moore),-1.150,-5.140
2,10:27,1,9,CAR 9,7,7,Tua Tagovailoa pass complete short left to Jaylen Waddle for no gain (tackle by Donte Jackson),5.140,4.380
2,9:49,2,9,CAR 9,7,7,Myles Gaskin right guard for no gain (tackle by Myles Hartsfield),4.380,3.360
2,9:06,3,9,CAR 9,7,13,"Tua Tagovailoa pass complete short left to Jaylen Waddle for 9 yards, touchdown",3.360,7.000
2,9:01,,,CAR 15,7,14,Jason Sanders kicks extra point good,0.000,0.000
2,9:01,,,MIA 35,7,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,9:01,1,10,CAR 25,7,14,Chuba Hubbard left tackle for 1 yard (tackle by Jerome Baker and Elandon Roberts),0.610,0.200
2,8:21,2,9,CAR 26,7,14,Christian McCaffrey right guard for -3 yards (tackle by Jerome Baker),0.200,-0.890
2,7:39,3,12,CAR 23,7,14,Cam Newton pass incomplete deep right intended for Robbie Anderson,-0.890,-1.830
2,7:33,4,12,CAR 23,7,14,"Lac Edwards punts 57 yards, returned by Jaylen Waddle for 7 yards (tackle by Sam Franklin and Matt Cole)",-1.830,-0.740
2,7:19,1,10,MIA 27,7,14,Phillip Lindsay right end for 2 yards (tackle by Shaq Thompson),0.740,0.470
2,6:46,2,8,MIA 29,7,14,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 57 yards (tackle by Donte Jackson),0.470,4.650
2,5:59,1,10,CAR 14,7,14,Tua Tagovailoa pass complete short right to Salvon Ahmed for 9 yards (tackle by Juston Burris),4.650,5.670
2,5:22,2,1,CAR 5,7,14,Tua Tagovailoa pass incomplete short middle intended for Mack Hollins (defended by Jeremy Chinn),5.670,4.960
2,5:12,3,1,CAR 5,7,14,Tua Tagovailoa left end for 2 yards (tackle by Donte Jackson),4.960,6.510
2,4:37,1,3,CAR 3,7,20,"Myles Gaskin right end for 3 yards, touchdown",6.510,7.000
2,4:26,,,CAR 15,7,21,Jason Sanders kicks extra point good,0.000,0.000
2,4:26,,,MIA 35,7,21,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,4:26,1,10,CAR 25,7,21,"Penalty on Trenton Scott: False Start, 5 yards (accepted) (no play)",0.610,0.280
2,4:26,1,15,CAR 20,7,21,Christian McCaffrey right tackle for no gain (tackle by Zach Sieler and Andrew Van Ginkel),0.280,-0.610
2,3:47,2,15,CAR 20,7,21,Cam Newton pass incomplete short left intended for Robbie Anderson (defended by Zach Sieler),-0.610,-1.290
2,3:41,3,15,CAR 20,7,21,Cam Newton pass incomplete short middle intended for Ameer Abdullah,-1.290,-2.030
2,3:37,4,15,CAR 20,7,21,"Lac Edwards punts 55 yards, returned by Jevon Holland for 7 yards (tackle by Sam Franklin and Julian Stanford)",-2.030,-1.070
2,3:26,1,10,MIA 32,7,21,Myles Gaskin left guard for 2 yards (tackle by Jeremy Chinn),1.070,0.800
2,2:52,2,8,MIA 34,7,21,Myles Gaskin up the middle for 5 yards (tackle by Derrick Brown and DaQuan Jones),0.800,0.760
2,2:10,3,3,MIA 39,7,21,Tua Tagovailoa pass complete short right to Myles Gaskin for 5 yards (tackle by Shaq Thompson),0.760,1.860
2,2:00,1,10,MIA 44,7,21,Salvon Ahmed left tackle for -3 yards (tackle by Brian Burns and Haason Reddick),1.860,0.910
2,1:50,,,,,,Timeout #1 by Carolina Panthers,,
2,1:50,2,13,MIA 41,7,21,Tua Tagovailoa pass complete short right to Albert Wilson for 5 yards (tackle by Shaq Thompson),0.910,0.890
2,1:42,,,,,,Timeout #2 by Carolina Panthers,,
2,1:42,3,8,MIA 46,7,21,"Penalty on Albert Wilson: False Start, 5 yards (accepted) (no play)",0.890,0.230
2,1:42,3,13,MIA 41,7,21,"Penalty on Jaylen Waddle: False Start, 5 yards (accepted) (no play)",0.230,-0.430
2,1:42,3,18,MIA 36,7,21,Myles Gaskin right guard for 3 yards (tackle by Yetur Gross-Matos),-0.430,-0.780
2,1:39,,,,,,Timeout #3 by Carolina Panthers,,
2,1:39,4,15,MIA 39,7,21,Michael Palardy punts 46 yards out of bounds,-0.780,0.220
2,1:34,1,10,CAR 15,7,21,Cam Newton pass incomplete short middle intended for Ameer Abdullah (defended by Jaelan Phillips),-0.220,-0.710
2,1:29,2,10,CAR 15,7,21,Cam Newton pass complete short middle to Ameer Abdullah for 13 yards (tackle by Nik Needham and Eric Rowe),-0.710,0.870
2,1:06,1,10,CAR 29,7,21,Cam Newton pass incomplete short middle intended for Ameer Abdullah,0.870,0.260
2,1:03,2,10,CAR 28,7,21,Cam Newton pass incomplete short middle intended for Ameer Abdullah,0.260,-0.430
2,1:02,3,10,CAR 28,7,21,Cam Newton pass incomplete short right intended for Ian Thomas,-0.430,-1.500
2,0:57,4,10,CAR 28,7,21,"Lac Edwards punts 40 yards, fair catch by Jevon Holland at MIA-32",-1.500,-1.070
2,0:53,1,10,MIA 32,7,21,Tua Tagovailoa pass complete short middle to Mike Gesicki for 5 yards (tackle by Shaq Thompson),1.070,1.200
2,0:30,2,5,MIA 37,7,21,Tua Tagovailoa pass complete short left to Mike Gesicki for 7 yards (tackle by Donte Jackson),1.200,1.860
2,0:24,1,10,MIA 44,7,21,Tua Tagovailoa pass complete short right to Jaylen Waddle for 11 yards (tackle by Jeremy Chinn),1.860,2.590
2,0:19,,,,,,Timeout #2 by Miami Dolphins,,
2,0:19,1,10,CAR 45,7,21,Tua Tagovailoa pass complete short middle to Isaiah Ford for 11 yards (tackle by Haason Reddick),2.590,3.310
2,0:14,,,,,,Timeout #3 by Miami Dolphins,,
2,0:14,1,10,CAR 34,7,21,Tua Tagovailoa pass complete short left to Jaylen Waddle for 7 yards (tackle by Donte Jackson),3.310,3.720
2,0:09,2,3,CAR 27,7,21,"Austin Reiter aborted snap, recovered by Frankie Luvu at CAR-49 and returned for 28 yards (tackle by Isaiah Ford)",3.720,-4.040
2,0:01,1,10,MIA 23,10,21,Zane Gonzalez 41 yard field goal good,4.040,3.000
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,10,21,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,10,21,Cam Newton pass complete short right to D.J. Moore for 4 yards (tackle by Jerome Baker),0.610,0.600
3,14:26,2,6,CAR 29,10,21,Chuba Hubbard right guard for 5 yards (tackle by Christian Wilkins and Byron Jones),0.600,0.560
3,13:43,3,1,CAR 34,10,21,Ameer Abdullah right end for -1 yards (tackle by Elandon Roberts),0.560,-1.180
3,13:02,4,2,CAR 33,10,21,Sean Chandler right end for 14 yards (tackle by Clayton Fejedelem),-1.180,2.060
3,12:32,1,10,CAR 47,10,21,Cam Newton pass incomplete deep right intended for Tommy Tremble,2.060,1.520
3,12:28,2,10,CAR 47,10,21,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",1.520,0.840
3,12:28,2,15,CAR 42,10,21,Cam Newton pass incomplete short right intended for D.J. Moore,0.840,0.170
3,12:24,3,15,CAR 42,10,21,Cam Newton pass complete short middle to Ameer Abdullah for 7 yards (tackle by Nik Needham and Eric Rowe),0.170,-0.130
3,11:43,4,8,CAR 49,10,21,"Lac Edwards punts 51 yards, touchback.",-0.130,-0.280
3,11:35,1,10,MIA 20,10,21,Tua Tagovailoa pass complete short left to Jaylen Waddle for 7 yards (tackle by Donte Jackson),0.280,0.680
3,11:08,2,3,MIA 27,10,21,Myles Gaskin right guard for 2 yards (tackle by Bravvion Roy and A.J. Bouye),0.680,0.230
3,10:28,3,1,MIA 29,10,21,Salvon Ahmed right end for 16 yards (tackle by Stephon Gilmore),0.230,1.930
3,9:55,1,10,MIA 45,10,21,Salvon Ahmed up the middle for no gain (tackle by Jermaine Carter),1.930,1.380
3,9:27,2,10,MIA 45,10,21,Tua Tagovailoa pass complete short left to Durham Smythe for 4 yards (tackle by Stephon Gilmore),1.380,1.220
3,8:51,3,6,MIA 49,10,21,Tua Tagovailoa pass complete short right to Jaylen Waddle for 11 yards (tackle by Donte Jackson),1.220,2.920
3,8:10,1,10,CAR 40,10,21,Tua Tagovailoa pass complete short left to Durham Smythe for 11 yards (tackle by Jeremy Chinn),2.920,3.640
3,7:23,1,10,CAR 29,10,21,Phillip Lindsay right guard for 2 yards (tackle by Derrick Brown),3.640,3.370
3,6:46,2,8,CAR 27,10,21,"Tua Tagovailoa pass incomplete deep right intended for Isaiah Ford. Penalty on Austin Jackson: Offensive Holding, 10 yards (accepted) (no play)",3.370,2.020
3,6:39,2,18,CAR 37,10,21,"Myles Gaskin right end for 4 yards (tackle by Shaq Thompson). Penalty on Haason Reddick: Taunting / Defense, 15 yards (accepted)",2.020,4.370
3,6:21,1,10,CAR 18,10,21,Tua Tagovailoa pass complete short left to Durham Smythe for 9 yards (tackle by Shaq Thompson),4.370,5.420
3,5:41,2,1,CAR 9,10,21,Myles Gaskin left guard for 4 yards (tackle by Shaq Thompson and Jeremy Chinn),5.420,6.060
3,4:56,1,5,CAR 5,10,21,Tua Tagovailoa pass complete short left to Durham Smythe for 2 yards (tackle by Shaq Thompson),6.060,5.530
3,4:22,2,3,CAR 3,10,27,"Myles Gaskin left end for 3 yards, touchdown",5.530,7.000
3,4:11,,,CAR 15,10,27,Jason Sanders kicks extra point no good,0.000,-1.000
3,4:11,,,MIA 35,10,27,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,4:11,1,10,CAR 25,10,27,"Chuba Hubbard left guard for no gain (tackle by Jevon Holland and Nik Needham). Penalty on Pat Elflein: Offensive Holding, 10 yards (accepted) (no play)",0.610,-0.410
3,3:50,1,20,CAR 15,10,27,Cam Newton pass incomplete short right intended for Ian Thomas (defended by Emmanuel Ogbah),-0.410,-1.430
3,3:44,2,20,CAR 15,10,27,Cam Newton sacked by Jaelan Phillips for -14 yards,-1.430,-4.230
3,2:53,3,34,CAR 1,10,27,Cam Newton pass incomplete short middle intended for Chuba Hubbard (defended by Adam Butler),-4.230,-2.490
3,2:49,4,34,CAR 1,10,27,"Lac Edwards punts 58 yards, recovered by Jevon Holland at MIA-41, returned by Jevon Holland for 12 yards (tackle by Giovanni Ricci)",-2.490,-2.460
3,2:32,1,10,CAR 47,10,27,Phillip Lindsay right tackle for 3 yards (tackle by Yetur Gross-Matos and Shaq Thompson),2.460,2.320
3,1:55,2,7,CAR 44,10,27,Phillip Lindsay right tackle for 8 yards (tackle by C.J. Henderson),2.320,3.180
3,1:16,1,10,CAR 36,10,27,Phillip Lindsay right end for 7 yards (tackle by Bravvion Roy and Jermaine Carter),3.180,3.580
3,0:39,2,3,CAR 29,10,27,Phillip Lindsay up the middle for 2 yards (tackle by Shaq Thompson),3.580,3.140
Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CAR 27,10,27,Phillip Lindsay left guard for no gain (tackle by C.J. Henderson and Shaq Thompson),3.140,1.820
4,14:06,4,1,CAR 27,10,27,Salvon Ahmed left end for 3 yards (tackle by Donte Jackson),1.820,3.970
4,13:24,1,10,CAR 24,10,27,Tua Tagovailoa pass complete short right to Myles Gaskin for -2 yards (tackle by Myles Hartsfield),3.970,3.160
4,12:45,2,12,CAR 26,10,27,"Tua Tagovailoa pass complete short left to Durham Smythe for no gain (tackle by Jeremy Chinn). Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted) (no play)",3.160,1.810
4,12:26,2,22,CAR 36,10,27,"Penalty on Austin Jackson: False Start, 5 yards (accepted) (no play)",1.810,1.130
4,12:16,2,27,CAR 41,10,27,Myles Gaskin left guard for 8 yards (tackle by Jeremy Chinn),1.130,1.550
4,11:49,3,19,CAR 33,10,27,Tua Tagovailoa pass complete short right to Albert Wilson for 5 yards (tackle by Sean Chandler and Morgan Fox),1.550,1.590
4,11:04,4,14,CAR 28,10,30,Jason Sanders 46 yard field goal good,1.590,3.000
4,10:58,,,MIA 35,10,30,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,10:58,1,10,CAR 25,10,30,P.J. Walker sacked by Emmanuel Ogbah for -9 yards,0.610,-1.290
4,10:31,2,19,CAR 16,10,30,P.J. Walker pass complete deep right to D.J. Moore for 18 yards (tackle by Xavien Howard),-1.290,0.560
4,10:12,3,1,CAR 34,10,30,Ameer Abdullah left tackle for 5 yards (tackle by Nik Needham and Jaelan Phillips),0.560,1.530
4,9:49,1,10,CAR 39,10,30,P.J. Walker sacked by Jaelan Phillips for -10 yards,1.530,-0.360
4,9:17,2,20,CAR 29,10,30,P.J. Walker pass short left (defended by Andrew Van Ginkel) intended for Ian Thomas is intercepted by Nik Needham at CAR-37 and returned for no gain (tackle by Ian Thomas),-0.360,-3.120
4,9:03,1,10,CAR 37,10,30,Phillip Lindsay left guard for 2 yards (tackle by Myles Hartsfield and Bravvion Roy),3.120,2.840
4,8:19,2,8,CAR 35,10,30,Phillip Lindsay left end for 1 yard (tackle by DaQuan Jones and Haason Reddick),2.840,2.280
4,7:38,3,7,CAR 34,10,30,Tua Tagovailoa pass complete short middle to Albert Wilson for 6 yards (tackle by A.J. Bouye),2.280,1.720
4,6:51,4,1,CAR 28,10,30,Durham Smythe up the middle for 1 yard (tackle by DaQuan Jones and Morgan Fox),1.720,3.780
4,6:06,1,10,CAR 27,10,30,Phillip Lindsay right guard for 9 yards (tackle by Jermaine Carter),3.780,4.530
4,5:22,2,1,CAR 18,10,30,Durham Smythe up the middle for 2 yards (tackle by Haason Reddick and Jermaine Carter),4.530,4.510
4,4:41,1,10,CAR 16,10,30,Phillip Lindsay left tackle for 1 yard (tackle by Donte Jackson),4.510,4.050
4,3:52,2,9,CAR 15,10,30,Tua Tagovailoa pass incomplete short left intended for Isaiah Ford (defended by Donte Jackson),4.050,3.220
4,3:52,3,9,CAR 15,10,30,Myles Gaskin left guard for 1 yard (tackle by Jeremy Chinn),3.220,2.510
4,3:43,,,,,,Timeout #1 by Carolina Panthers,,
4,3:43,4,8,CAR 14,10,33,Jason Sanders 33 yard field goal good,2.510,3.000
4,3:41,,,MIA 35,10,33,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,3:41,1,10,CAR 25,10,33,P.J. Walker pass complete deep right to Brandon Zylstra for 24 yards (tackle by Sheldrick Redwine),0.610,2.190
4,3:16,1,10,CAR 49,10,33,"Penalty on Dennis Daley: False Start, 5 yards (accepted) (no play)",2.190,1.860
4,3:16,1,15,CAR 44,10,33,P.J. Walker pass incomplete short right intended for Tommy Tremble,1.860,0.970
4,3:11,2,15,CAR 44,10,33,P.J. Walker pass incomplete deep right intended for D.J. Moore,0.970,0.300
4,3:07,3,15,CAR 44,10,33,P.J. Walker pass complete short middle to Alex Erickson for 13 yards (tackle by Nik Needham and Eric Rowe),0.300,0.400
4,2:40,4,2,MIA 43,10,33,P.J. Walker pass complete short right to Robbie Anderson for 15 yards (tackle by Javaris Davis),0.400,3.710
4,2:14,1,10,MIA 28,10,33,P.J. Walker pass complete deep right to D.J. Moore for 17 yards (tackle by Javaris Davis),3.710,4.840
4,2:09,1,10,MIA 11,10,33,P.J. Walker sacked by Jaelan Phillips for -4 yards,4.840,3.560
4,2:00,2,14,MIA 15,10,33,P.J. Walker pass incomplete short right intended for D.J. Moore (defended by Javaris Davis),3.560,2.970
4,1:46,,,,,,Timeout #1 by Miami Dolphins,,
4,1:46,3,14,MIA 15,10,33,P.J. Walker sacked by Christian Wilkins for -8 yards,2.970,1.930
4,1:12,4,22,MIA 23,10,33,P.J. Walker pass incomplete deep middle intended for Brandon Zylstra,1.930,-0.480
4,1:08,1,10,MIA 23,10,33,Tua Tagovailoa kneels for -1 yards,0.480,-0.200
4,0:30,2,11,MIA 22,10,33,Tua Tagovailoa kneels for -1 yards,-0.200,-1.020
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
