Quarter,Time,Down,ToGo,Location,JAX,SEA,Detail,EPB,EPA
1,1:45,3,7,SEA 28,0,7,Geno Smith pass complete short right to D.K. Metcalf for 5 yards (tackle by Shaquill Griffin),-0.230,-1.180
1,1:00,4,3,SEA 33,0,7,"Michael Dickson punts 48 yards, fair catch by Jamal Agnew at JAC-19",-1.180,-0.150
1,0:46,1,10,JAX 19,0,7,Trevor Lawrence pass complete short left to James Robinson for 17 yards (tackle by Bobby Wagner),0.150,1.330
1,0:10,1,10,JAX 36,0,7,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",1.330,1.000
Quarter,Time,Down,ToGo,Location,JAX,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,JAX 31,0,7,Trevor Lawrence pass complete short middle to Carlos Hyde for 9 yards (tackle by Jordyn Brooks and Bobby Wagner),1.000,1.330
2,14:23,2,6,JAX 40,0,7,Trevor Lawrence pass complete short left to Dan Arnold for 10 yards (tackle by Bobby Wagner),1.330,2.260
2,13:41,1,10,SEA 50,0,7,Trevor Lawrence pass deep left intended for Tavon Austin is intercepted by Quandre Diggs at SEA-18 and returned for 9 yards (tackle by Laviska Shenault),2.260,-0.740
2,13:30,1,10,SEA 27,0,7,Geno Smith pass complete short left to Tyler Lockett for 8 yards (tackle by Damien Wilson),0.740,1.280
2,13:00,2,2,SEA 35,0,7,"Alex Collins right guard for 7 yards (tackle by Rayshawn Jenkins and Andrew Wingard). Penalty on Rayshawn Jenkins: Taunting / Defense, 15 yards (accepted)",1.280,2.720
2,12:31,1,10,JAX 43,0,7,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",2.720,2.390
2,12:31,1,15,JAX 48,0,7,Alex Collins up the middle for 5 yards (tackle by Malcom Brown),2.390,2.180
2,12:12,2,10,JAX 43,0,7,Geno Smith pass complete short middle to D.K. Metcalf for 5 yards (tackle by Rudy Ford),2.180,2.150
2,11:24,3,5,JAX 38,0,7,Geno Smith pass complete short left to Tyler Lockett for 9 yards (tackle by Rudy Ford),2.150,3.640
2,10:42,1,10,JAX 29,0,7,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Rudy Ford),3.640,3.780
2,10:11,2,5,JAX 24,0,7,Geno Smith pass complete short left to D.K. Metcalf for 8 yards (tackle by Rayshawn Jenkins),3.780,4.510
2,9:33,1,10,JAX 16,0,13,"Geno Smith pass complete deep right to D.K. Metcalf for 16 yards, touchdown",4.510,7.000
2,9:24,,,JAX 15,0,14,Jason Myers kicks extra point good,0.000,0.000
2,9:24,,,SEA 35,0,14,"Penalty on D.K. Metcalf: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",0.000,0.000
2,9:24,,,SEA 20,0,14,"Jason Myers kicks off 64 yards, returned by Jamal Agnew for 15 yards (tackle by Travis Homer and Tanner Muse)",0.000,1.000
2,9:20,1,10,JAX 31,0,14,Carlos Hyde left tackle for 2 yards (tackle by Bryan Mone and Al Woods),1.000,0.730
2,8:46,2,8,JAX 33,0,14,Trevor Lawrence pass complete short left to Marvin Jones for 13 yards (tackle by Sidney Jones),0.730,1.990
2,8:10,1,10,JAX 46,0,14,Carlos Hyde up the middle for 4 yards (tackle by Jamal Adams and Jordyn Brooks),1.990,1.990
2,7:34,2,6,SEA 50,0,14,Trevor Lawrence pass complete short right to Jamal Agnew for 7 yards (tackle by Bobby Wagner),1.990,2.720
2,7:04,1,10,SEA 43,0,14,Trevor Lawrence pass incomplete short right intended for Jamal Agnew (defended by Al Woods),2.720,2.180
2,7:01,2,10,SEA 43,0,14,Dare Ogunbowale left tackle for 4 yards (tackle by Jamal Adams),2.180,2.010
2,6:21,3,6,SEA 39,0,14,Trevor Lawrence pass incomplete short left intended for Jamal Agnew,2.010,0.660
2,6:16,4,6,SEA 39,0,14,Trevor Lawrence pass incomplete short right intended for Jamal Agnew,0.660,-1.600
2,6:06,1,10,SEA 40,0,14,Gerald Everett right guard for -5 yards (tackle by Josh Allen),1.600,0.380
2,5:30,2,15,SEA 35,0,14,Geno Smith pass complete short right to Gerald Everett for 7 yards (tackle by Tyson Campbell),0.380,0.630
2,4:52,3,8,SEA 42,0,14,Geno Smith pass complete deep left to Tyler Lockett for 28 yards,0.630,3.580
2,4:33,1,10,JAX 30,0,14,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Tyson Campbell),3.580,3.710
2,3:59,2,5,JAX 25,0,14,Travis Homer left tackle for 4 yards (tackle by Damien Wilson and Malcom Brown),3.710,3.530
2,3:34,3,1,JAX 21,0,14,Travis Homer up the middle for 3 yards (tackle by Myles Jack and Malcom Brown),3.530,4.370
2,2:46,1,10,JAX 18,0,14,"Penalty on JAX: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.370,5.410
2,2:18,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,2:18,1,5,JAX 13,0,14,Geno Smith pass complete to D.K. Metcalf for 4 yards,5.410,5.420
2,2:00,2,1,JAX 9,0,14,Travis Homer left tackle for -5 yards (tackle by Myles Jack and K'Lavon Chaisson),5.420,3.630
2,1:54,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,1:54,3,6,JAX 14,0,14,"Geno Smith pass incomplete short middle intended for Freddie Swain. Penalty on Jihad Ward: Roughing the Passer, 7 yards (accepted) (no play)",3.630,5.600
2,1:48,1,7,JAX 7,0,14,Alex Collins up the middle for 2 yards (tackle by Malcom Brown),5.600,5.150
2,1:11,2,5,JAX 5,0,14,Geno Smith sacked by Josh Allen for -13 yards,5.150,2.630
2,0:27,3,18,JAX 18,0,14,"Geno Smith pass short middle is intercepted by Tre Herndon at JAC-7 and returned for no gain (tackle by Tyler Lockett). Penalty on K'Lavon Chaisson: Defensive Offside, 5 yards (accepted) (no play)",2.630,3.060
2,0:18,3,13,JAX 13,0,14,Geno Smith pass incomplete short left,3.060,2.570
2,0:11,4,13,JAX 13,0,17,Jason Myers 31 yard field goal good,2.570,3.000
2,0:06,,,SEA 35,0,17,"Jason Myers kicks off 39 yards, returned by Dan Arnold for 13 yards (tackle by Nick Bellore)",0.000,1.530
2,0:01,1,10,JAX 39,0,17,Trevor Lawrence kneels for -1 yards,1.530,0.850
Quarter,Time,Down,ToGo,Location,JAX,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,0,17,"Matthew Wright kicks off 63 yards, returned by DeeJay Dallas for 21 yards (tackle by Dare Ogunbowale and Lerentee McCray)",0.000,0.480
3,14:54,1,10,SEA 23,0,17,Geno Smith pass incomplete deep left intended for Tyler Lockett (defended by Tyson Campbell),0.480,-0.070
3,14:48,2,10,SEA 23,0,17,Alex Collins right tackle for 2 yards (tackle by Malcom Brown),-0.070,-0.490
3,14:08,3,8,SEA 25,0,17,Geno Smith sacked by Dawuane Smoot for -11 yards,-0.490,-2.470
3,13:32,4,19,SEA 14,0,17,"Michael Dickson punts 44 yards, returned by Jamal Agnew for 13 yards (tackle by Tanner Muse)",-2.470,-2.590
3,13:19,1,10,SEA 45,0,17,Trevor Lawrence pass incomplete short left intended for Marvin Jones,2.590,2.040
3,13:15,2,10,SEA 45,0,17,Carlos Hyde up the middle for 3 yards (tackle by Rasheem Green and Bobby Wagner),2.040,1.750
3,12:36,3,7,SEA 42,0,17,Carlos Hyde left guard for 4 yards (tackle by Ugo Amadi and Jamal Adams),1.750,0.720
3,11:57,4,4,SEA 38,0,17,Trevor Lawrence pass incomplete short middle intended for Laviska Shenault,0.720,-1.470
3,11:51,1,10,SEA 38,0,17,Alex Collins up the middle for 3 yards (tackle by Roy Robertson-Harris and Dawuane Smoot),1.470,1.330
3,11:29,2,7,SEA 41,0,17,Geno Smith pass complete short left to Tyler Lockett for 8 yards,1.330,2.190
3,10:50,1,10,SEA 49,0,17,Geno Smith scrambles right end for 7 yards (tackle by Myles Jack),2.190,2.590
3,10:30,2,3,JAX 44,0,17,Geno Smith pass complete short middle to Tyler Lockett for 5 yards (tackle by Damien Wilson),2.590,2.980
3,9:47,1,10,JAX 39,0,17,DeeJay Dallas left tackle for 6 yards (tackle by Josh Allen and Rudy Ford),2.980,3.250
3,9:13,2,4,JAX 33,0,17,Geno Smith pass complete deep left to Tyler Lockett for 28 yards (tackle by Andrew Wingard and Shaquill Griffin),3.250,6.060
3,8:25,1,5,JAX 5,0,17,Geno Smith pass incomplete short left intended for Gerald Everett,6.060,5.150
3,8:17,2,5,JAX 5,0,23,"Geno Smith pass complete short left to D.K. Metcalf for 5 yards, touchdown",5.150,7.000
3,8:09,,,JAX 15,0,24,Jason Myers kicks extra point good,0.000,0.000
3,8:09,,,SEA 35,0,24,"Jason Myers kicks off 68 yards, returned by Jamal Agnew for 18 yards (tackle by Jon Rhattigan). Penalty on Dakota Allen: Offensive Illegal Block Above the Waist, 7 yards (accepted)",0.000,-0.380
3,8:04,1,10,JAX 8,0,24,Trevor Lawrence pass incomplete short right,-0.380,-0.780
3,8:00,2,10,JAX 8,0,24,Trevor Lawrence pass incomplete short right intended for Carlos Hyde (defended by Carlos Dunlap),-0.780,-1.420
3,7:55,3,10,JAX 8,0,24,Trevor Lawrence scrambles right tackle for 8 yards (tackle by Jamal Adams),-1.420,-2.390
3,6:57,4,2,JAX 16,0,24,"Logan Cooke punts 54 yards, returned by Freddie Swain for 20 yards (tackle by Dakota Allen). Penalty on Chapelle Russell: Illegal Formation, 5 yards (accepted)",-2.390,-2.590
3,6:57,1,10,JAX 45,0,24,Rashaad Penny right tackle for 4 yards (tackle by Damien Wilson and K'Lavon Chaisson),2.590,2.580
3,6:24,2,6,JAX 41,0,24,Rashaad Penny right tackle for 2 yards (tackle by Jihad Ward and Myles Jack),2.580,2.150
3,5:47,3,4,JAX 39,0,24,Rashaad Penny right tackle for -2 yards (tackle by Dawuane Smoot),2.150,0.530
3,4:58,4,6,JAX 41,0,24,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.530,0.200
3,4:58,4,11,JAX 46,0,24,"Michael Dickson punts 34 yards, fair catch by Jamal Agnew at JAC-12",0.200,0.350
3,4:41,1,10,JAX 12,0,24,Trevor Lawrence pass complete short right to Laviska Shenault for 7 yards (tackle by Alton Robinson),-0.350,0.100
3,3:52,2,3,JAX 19,0,24,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",0.100,-0.610
3,3:41,2,8,JAX 14,0,24,Trevor Lawrence pass complete short right to Dan Arnold for 10 yards (tackle by D.J. Reed and Quandre Diggs),-0.610,0.540
3,2:59,1,10,JAX 24,0,24,Laviska Shenault right end for 8 yards (tackle by Ugo Amadi),0.540,1.150
3,2:21,2,1,JAX 32,0,24,Carlos Hyde left tackle for 1 yard (tackle by Jordyn Brooks and Al Woods),1.150,0.500
3,1:43,3,1,JAX 33,0,24,Trevor Lawrence pass complete short left to Luke Farrell for 3 yards (tackle by Benson Mayowa),0.500,1.330
3,0:57,,,,,,Timeout #2 by Seattle Seahawks,,
3,0:57,1,10,JAX 36,0,24,Trevor Lawrence pass complete short right to Carlos Hyde for 9 yards (tackle by Jordyn Brooks and Benson Mayowa),1.330,2.010
3,0:22,2,1,JAX 45,0,24,Trevor Lawrence pass complete short left to Dan Arnold for 7 yards (tackle by D.J. Reed and Jamal Adams),2.010,2.390
Quarter,Time,Down,ToGo,Location,JAX,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 48,0,24,Trevor Lawrence pass incomplete short right,2.390,1.850
4,14:41,2,10,SEA 48,0,24,Trevor Lawrence pass complete short right to Marvin Jones for no gain (tackle by Tre Brown),1.850,1.160
4,14:19,3,10,SEA 48,0,24,Trevor Lawrence pass incomplete short middle intended for Carlos Hyde (defended by Rasheem Green),1.160,0.070
4,14:13,4,10,SEA 48,0,24,Trevor Lawrence pass incomplete short left intended for Dan Arnold,0.070,-2.130
4,14:08,1,10,SEA 48,0,24,Geno Smith pass incomplete short right,2.130,1.580
4,14:04,2,10,SEA 48,0,24,"Geno Smith pass complete short left to Penny Hart for no gain (tackle by Rudy Ford). Penalty on Freddie Swain: Offensive Pass Interference, 10 yards (accepted) (no play)",1.580,0.230
4,13:49,2,20,SEA 38,0,24,Geno Smith pass complete short middle to Tyler Lockett for 9 yards (tackle by Rayshawn Jenkins),0.230,0.760
4,13:08,3,11,SEA 47,0,24,Geno Smith pass complete short right to Travis Homer for 3 yards (tackle by Shaquill Griffin and Myles Jack),0.760,-0.060
4,12:30,4,9,SEA 50,0,24,"Michael Dickson punts 41 yards, fair catch by Jamal Agnew at JAC-9",-0.060,0.380
4,12:15,1,10,JAX 9,0,24,Trevor Lawrence pass complete short middle to Dan Arnold for 7 yards (tackle by Ugo Amadi),-0.380,-0.160
4,11:48,2,3,JAX 16,0,24,Trevor Lawrence pass complete short middle to Marvin Jones for 6 yards (tackle by Jordyn Brooks),-0.160,0.410
4,11:27,1,10,JAX 22,0,24,Trevor Lawrence pass incomplete short right intended for Dan Arnold (defended by Carlos Dunlap),0.410,-0.130
4,11:22,2,10,JAX 22,0,24,Trevor Lawrence pass complete to Jamal Agnew for 3 yards (tackle by Ugo Amadi),-0.130,-0.430
4,10:43,3,7,JAX 25,0,24,Trevor Lawrence scrambles left guard for 4 yards (tackle by Jamal Adams),-0.430,-1.440
4,10:00,4,3,JAX 29,0,24,"Trevor Lawrence sacked by Bobby Wagner for no gain. Penalty on Ugo Amadi: Defensive Holding, 5 yards (accepted) (no play)",-1.440,1.200
4,9:45,1,10,JAX 34,0,24,Trevor Lawrence pass complete short middle to Laviska Shenault for 6 yards (tackle by Bobby Wagner),1.200,1.470
4,9:24,2,4,JAX 40,0,24,Carlos Hyde up the middle for 3 yards (tackle by Robert Nkemdiche and Bobby Wagner),1.470,1.160
4,8:53,3,1,JAX 43,0,24,"Carlos Hyde left guard for no gain (tackle by Bobby Wagner and Jordyn Brooks). Penalty on Tyler Shatley: Offensive Holding, 10 yards (accepted) (no play)",1.160,-0.160
4,8:20,3,11,JAX 33,0,24,"Penalty on Cam Robinson: False Start, 5 yards (accepted) (no play)",-0.160,-0.820
4,8:23,3,16,JAX 28,0,24,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,-0.820,-1.500
4,8:20,4,16,JAX 28,0,24,"Logan Cooke punts 41 yards, fair catch by Freddie Swain at SEA-31",-1.500,-1.000
4,8:13,1,10,SEA 31,0,24,Rashaad Penny right end for -2 yards (tackle by Josh Allen),1.000,0.190
4,7:33,2,12,SEA 29,0,24,Geno Smith sacked by Josh Allen for -11 yards,0.190,-2.190
4,6:53,3,23,SEA 18,0,24,Travis Homer up the middle for 7 yards (tackle by Myles Jack and Rudy Ford),-2.190,-1.700
4,6:46,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,6:46,4,16,SEA 25,0,24,"Michael Dickson punts 59 yards, returned by Jamal Agnew for 4 yards (tackle by Will Dissly)",-1.700,-0.280
4,6:34,1,10,JAX 20,0,24,Carlos Hyde up the middle for 7 yards (tackle by Benson Mayowa and Jordyn Brooks),0.280,0.680
4,6:10,2,3,JAX 27,0,24,Carlos Hyde up the middle for 4 yards (tackle by Bobby Wagner),0.680,1.000
4,5:36,1,10,JAX 31,0,24,Trevor Lawrence pass incomplete deep left intended for Jamal Agnew (defended by Sidney Jones),1.000,0.460
4,5:27,2,10,JAX 31,0,24,Dare Ogunbowale left guard for 5 yards (tackle by Bobby Wagner),0.460,0.430
4,5:03,3,5,JAX 36,0,24,Trevor Lawrence pass complete short middle to Dan Arnold for 11 yards (tackle by Quandre Diggs),0.430,2.060
4,4:39,1,10,JAX 47,0,24,Trevor Lawrence pass complete short middle to Dare Ogunbowale for 9 yards (tackle by Jordyn Brooks and Jamal Adams),2.060,2.730
4,4:04,2,1,SEA 44,0,24,Trevor Lawrence pass complete short left to Jamal Agnew for 8 yards (tackle by Ugo Amadi and Sidney Jones),2.730,3.180
4,3:40,1,10,SEA 36,0,24,Trevor Lawrence pass incomplete short right intended for Luke Farrell,3.180,2.640
4,3:38,2,10,SEA 36,0,24,Trevor Lawrence pass complete short left to Marvin Jones for 11 yards (tackle by Sidney Jones),2.640,3.910
4,3:12,1,10,SEA 25,0,24,Trevor Lawrence pass incomplete deep right intended for Tyron Johnson (defended by Quandre Diggs),3.910,3.360
4,3:05,2,10,SEA 25,0,24,Trevor Lawrence pass complete short middle to Dan Arnold for 7 yards (tackle by Bobby Wagner),3.360,3.660
4,2:38,3,3,SEA 18,0,24,Trevor Lawrence pass complete short middle to Carlos Hyde for 4 yards (tackle by Ugo Amadi and Bobby Wagner),3.660,4.650
4,2:15,1,10,SEA 14,0,24,Trevor Lawrence pass complete short middle to Tavon Austin for 5 yards (tackle by Sidney Jones),4.650,4.900
4,2:06,2,5,SEA 9,0,24,Trevor Lawrence pass incomplete short left intended for Marvin Jones,4.900,4.050
4,1:58,3,5,SEA 9,0,24,Trevor Lawrence pass incomplete short right intended for Jamal Agnew (defended by Ugo Amadi),4.050,2.880
4,1:53,4,5,SEA 9,6,24,"Trevor Lawrence pass complete short left to Jamal Agnew for 9 yards, touchdown",2.880,7.000
4,1:49,,,SEA 15,7,24,Matthew Wright kicks extra point good,0.000,0.000
4,1:49,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:49,,,JAX 35,7,30,"Matthew Wright kicks onside 9 yards, returned by Travis Homer for 44 yards, touchdown",0.000,7.000
4,1:43,,,JAX 15,7,31,Jason Myers kicks extra point good,0.000,0.000
4,1:43,,,SEA 35,7,31,"Jason Myers kicks off 62 yards, returned by Jamal Agnew for 15 yards (tackle by Jon Rhattigan). Penalty on Nevin Lawson: Offensive Holding, 9 yards (accepted)",0.000,-0.380
4,1:38,1,10,JAX 9,7,31,Trevor Lawrence pass complete short right to Dan Arnold for 9 yards (tackle by Jamal Adams and Tre Brown),-0.380,0.140
4,1:21,2,1,JAX 18,7,31,Trevor Lawrence pass complete short right to Tyron Johnson for 10 yards (tackle by Ryan Neal),0.140,0.810
4,1:03,1,10,JAX 28,7,31,Trevor Lawrence pass complete short right to Carlos Hyde for 9 yards (tackle by Ryan Neal),0.810,1.480
4,0:50,2,1,JAX 37,7,31,Trevor Lawrence pass incomplete short middle intended for Tavon Austin (defended by Sidney Jones),1.480,0.760
4,0:45,3,1,JAX 37,7,31,Trevor Lawrence pass complete short left to Jamal Agnew for 5 yards (tackle by Ugo Amadi),0.760,1.730
4,0:20,1,10,JAX 42,7,31,Trevor Lawrence pass incomplete short left intended for Jamal Agnew,1.730,1.190
4,0:19,2,10,JAX 42,7,31,Trevor Lawrence pass complete short left to Carlos Hyde for 8 yards (tackle by Ryan Neal),1.190,1.550
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
