Quarter,Time,Down,ToGo,Location,MIN,BAL,Detail,EPB,EPA
2,13:15,1,10,BAL 25,14,3,Lamar Jackson scrambles left end for 3 yards (tackle by Kenny Willekes),0.610,0.470
2,12:33,2,7,BAL 28,14,3,Lamar Jackson pass complete short middle to Rashod Bateman for 7 yards (tackle by Bashaud Breeland),0.470,1.270
2,11:53,1,10,BAL 35,14,3,"Le'Veon Bell left guard for no gain (tackle by D.J. Wonnum). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (accepted) (no play)",1.270,0.610
2,11:08,1,20,BAL 25,14,3,Lamar Jackson scrambles left end for 4 yards (tackle by Cameron Dantzler),0.610,-0.090
2,10:24,2,16,BAL 29,14,3,Lamar Jackson pass complete short left to Devonta Freeman for -1 yards (tackle by Sheldon Richardson),-0.090,-0.890
2,9:56,3,17,BAL 28,14,3,Lamar Jackson pass complete short left to Marquise Brown for 9 yards (tackle by D.J. Wonnum),-0.890,-0.910
2,9:15,4,8,BAL 37,14,3,Sam Koch punts 35 yards out of bounds,-0.910,-0.810
2,9:07,1,10,MIN 28,14,3,Kirk Cousins pass complete short middle to Tyler Conklin for 7 yards (tackle by Justin Madubuike),0.810,1.210
2,8:31,2,3,MIN 35,14,3,Alexander Mattison left guard for 2 yards (tackle by Josh Bynes),1.210,0.760
2,7:57,3,1,MIN 37,14,3,Dalvin Cook up the middle for -1 yards (tackle by DeShon Elliott and Broderick Washington),0.760,-0.980
2,7:09,4,2,MIN 36,14,3,Jordan Berry punts 53 yards downed by Dan Chisena,-0.980,0.370
2,6:59,1,10,BAL 11,14,3,Devonta Freeman left guard for 9 yards (tackle by Eric Kendricks),-0.370,0.360
2,6:22,2,1,BAL 20,14,3,Devonta Freeman right guard for 3 yards (tackle by Camryn Bynum and Everson Griffen),0.360,0.480
2,5:40,1,10,BAL 23,14,3,Lamar Jackson pass incomplete short right intended for Devonta Freeman,0.480,-0.070
2,5:32,2,10,BAL 23,14,3,Lamar Jackson scrambles right end for 5 yards (tackle by Everson Griffen),-0.070,-0.100
2,4:54,3,5,BAL 28,14,3,Lamar Jackson pass incomplete short middle intended for Mark Andrews,-0.100,-1.500
2,4:46,4,5,BAL 28,14,3,Sam Koch punts 51 yards out of bounds,-1.500,-0.340
2,4:37,1,10,MIN 21,14,3,Kirk Cousins pass incomplete short left intended for Adam Thielen,0.340,-0.200
2,4:34,2,10,MIN 21,14,3,Dalvin Cook right guard for 1 yard (tackle by Pernell McPhee and Calais Campbell),-0.200,-0.760
2,3:54,3,9,MIN 22,14,3,Kirk Cousins pass complete short middle to K.J. Osborn for 20 yards (tackle by Anthony Averett and Brandon Stephens),-0.760,1.730
2,3:17,1,10,MIN 42,14,3,Alexander Mattison left guard for no gain (tackle by Justin Madubuike),1.730,1.190
2,2:43,2,10,MIN 42,14,3,Kirk Cousins pass complete to Dalvin Cook for 4 yards (tackle by Josh Bynes),1.190,1.030
2,2:03,3,6,MIN 46,14,3,Kirk Cousins pass incomplete short left intended for Dede Westbrook (defended by Marlon Humphrey),1.030,-0.320
2,1:58,4,6,MIN 46,14,3,"Jordan Berry punts 54 yards, touchback.",-0.320,-0.280
2,1:52,1,10,BAL 20,14,3,Lamar Jackson pass deep middle intended for Mark Andrews is intercepted by Camryn Bynum at BAL-43 and returned for 27 yards (tackle by Bradley Bozeman),0.280,-4.510
2,1:41,1,10,BAL 16,14,3,Dalvin Cook right guard for -1 yards (tackle by Josh Bynes and Tyus Bowser),4.510,3.770
2,1:37,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:37,2,11,BAL 17,14,3,Kirk Cousins pass incomplete short right intended for Adam Thielen,3.770,3.020
2,1:33,3,11,BAL 17,14,3,Kirk Cousins pass incomplete short left intended for Justin Jefferson,3.020,2.310
2,1:29,4,11,BAL 17,17,3,Greg Joseph 36 yard field goal good,2.310,3.000
2,1:25,,,MIN 35,17,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,1:25,1,10,BAL 25,17,3,Lamar Jackson pass complete short left to Marquise Brown for 4 yards (tackle by Kris Boyd),0.610,0.600
2,1:07,2,6,BAL 29,17,3,Lamar Jackson scrambles up the middle for 6 yards (tackle by Mackensie Alexander),0.600,1.270
2,0:48,1,10,BAL 35,17,3,Lamar Jackson scrambles up the middle for 7 yards (tackle by Eric Kendricks),1.270,1.670
2,0:42,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:42,2,3,BAL 42,17,3,Lamar Jackson pass incomplete deep right intended for Marquise Brown,1.670,0.960
2,0:36,3,3,BAL 42,17,3,Lamar Jackson right guard for 11 yards (tackle by Everson Griffen),0.960,2.460
2,0:31,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:31,1,10,MIN 47,17,3,"Lamar Jackson pass incomplete intended for Rashod Bateman. Penalty on Xavier Woods: Defensive Pass Interference, 42 yards (accepted) (no play)",2.460,6.060
2,0:23,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:23,1,5,MIN 5,17,9,"Lamar Jackson pass complete short right to Devonta Freeman for 5 yards, touchdown",6.060,7.000
2,0:19,,,MIN 15,17,10,Justin Tucker kicks extra point good,0.000,0.000
2,0:19,,,BAL 35,17,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,0:19,1,10,MIN 25,17,10,Dalvin Cook left end for no gain (tackle by Tyus Bowser and Broderick Washington),0.610,0.060
Quarter,Time,Down,ToGo,Location,MIN,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,23,10,"Justin Tucker kicks off 63 yards, returned by Kene Nwangwu for 98 yards, touchdown",0.000,7.000
3,14:47,,,BAL 15,24,10,Greg Joseph kicks extra point good,0.000,0.000
3,14:47,,,MIN 35,24,10,"Greg Joseph kicks off 61 yards, returned by Devin Duvernay for 24 yards (tackle by Harrison Hand)",0.000,0.810
3,14:42,1,10,BAL 28,24,10,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,0.810,0.260
3,14:34,2,10,BAL 28,24,10,"Ty'Son Williams for no gain. Penalty on Kevin Zeitler: Offensive Holding, 10 yards (accepted) (no play)",0.260,-1.190
3,14:07,2,20,BAL 18,24,10,Lamar Jackson scrambles right end for 6 yards (tackle by Xavier Woods),-1.190,-0.960
3,13:26,3,14,BAL 24,24,10,Lamar Jackson pass complete short right to Patrick Ricard for 12 yards (tackle by Mackensie Alexander and Kris Boyd),-0.960,-0.980
3,12:41,4,2,BAL 36,24,10,"Devonta Freeman left end for 8 yards (tackle by Cameron Dantzler). Penalty on Josh Metellus: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",-0.980,2.850
3,12:09,1,10,MIN 41,24,10,Lamar Jackson pass complete short right to Patrick Ricard for 22 yards (tackle by Eric Kendricks and Kris Boyd),2.850,4.310
3,11:33,1,10,MIN 19,24,10,Lamar Jackson right end for 12 yards (tackle by Xavier Woods),4.310,5.600
3,10:49,1,7,MIN 7,24,10,Lamar Jackson pass complete short middle to Devin Duvernay for 3 yards (tackle by Cameron Dantzler and Camryn Bynum),5.600,5.340
3,10:09,2,4,MIN 4,24,10,Lamar Jackson left guard for no gain (tackle by Camryn Bynum),5.340,4.490
3,9:28,3,4,MIN 4,24,10,Lamar Jackson pass complete short middle to Marquise Brown for 3 yards (tackle by Xavier Woods),4.490,3.550
3,8:43,4,1,MIN 1,24,16,"Lamar Jackson pass complete short right to Patrick Ricard for 1 yard, touchdown",3.550,7.000
3,8:39,,,MIN 15,24,17,Justin Tucker kicks extra point good,0.000,0.000
3,8:39,,,BAL 35,24,17,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,8:39,1,10,MIN 25,24,17,Kirk Cousins pass incomplete short right intended for Tyler Conklin (defended by Tyus Bowser),0.610,0.060
3,8:34,2,10,MIN 25,24,17,"Kirk Cousins pass complete short right to Adam Thielen for no gain (tackle by Marlon Humphrey). Penalty on Justin Jefferson: Offensive Pass Interference, 10 yards (accepted) (no play)",0.060,-1.430
3,8:08,2,20,MIN 15,24,17,Kirk Cousins pass complete short middle to Tyler Conklin for 18 yards (tackle by Josh Bynes),-1.430,0.430
3,7:33,3,2,MIN 33,24,17,Kirk Cousins pass incomplete deep right intended for Adam Thielen,0.430,-1.180
3,7:25,4,2,MIN 33,24,17,Kene Nwangwu right end for 9 yards (tackle by Chris Board),-1.180,1.730
3,6:50,1,10,MIN 42,24,17,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",1.730,1.400
3,6:25,,,,,,Timeout #1 by Minnesota Vikings,,
3,6:25,1,15,MIN 37,24,17,Kirk Cousins pass complete short middle to Adam Thielen for 5 yards (tackle by Josh Bynes),1.400,1.190
3,5:52,2,10,MIN 42,24,17,"Dalvin Cook for no gain (tackle by DeShon Elliott). Penalty on Ezra Cleveland: Offensive Holding, 10 yards (accepted) (no play)",1.190,-0.160
3,5:24,2,20,MIN 32,24,17,Kirk Cousins pass complete short middle to Tyler Conklin for 9 yards (tackle by DeShon Elliott),-0.160,0.370
3,4:48,3,11,MIN 41,24,17,Kirk Cousins pass incomplete short right intended for K.J. Osborn,0.370,-0.650
3,4:43,4,11,MIN 41,24,17,"Jordan Berry punts 41 yards, fair catch by Devin Duvernay at BAL-18",-0.650,-0.040
3,4:36,1,10,BAL 18,24,17,Le'Veon Bell right end for 1 yard (tackle by James Lynch),0.040,-0.320
3,3:53,2,9,BAL 19,24,17,Lamar Jackson scrambles up the middle for 7 yards (tackle by Eric Kendricks and Kenny Willekes),-0.320,-0.140
3,3:04,3,2,BAL 26,24,17,Lamar Jackson right guard for 1 yard (tackle by Eric Kendricks),-0.140,-1.570
3,2:20,4,1,BAL 27,24,17,Lamar Jackson up the middle for 1 yard (tackle by Kenny Willekes),-1.570,0.810
3,1:52,1,10,BAL 28,24,17,Devonta Freeman left end for 4 yards (tackle by Nick Vigil and Eric Kendricks),0.810,0.800
3,1:16,2,6,BAL 32,24,17,Lamar Jackson pass complete short left to Mark Andrews for 8 yards (tackle by Cameron Dantzler),0.800,1.600
3,0:29,1,10,BAL 40,24,17,Lamar Jackson scrambles left guard for 9 yards (tackle by Kenny Willekes),1.600,2.270
Quarter,Time,Down,ToGo,Location,MIN,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,BAL 49,24,17,Le'Veon Bell right guard for 4 yards (tackle by Kenny Willekes),2.270,2.460
4,14:20,1,10,MIN 47,24,17,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,2.460,1.910
4,14:15,2,10,MIN 47,24,17,Lamar Jackson pass complete short middle to Mark Andrews for 8 yards (tackle by Kris Boyd),1.910,2.280
4,13:39,3,2,MIN 39,24,17,Lamar Jackson right end for 6 yards (tackle by Eric Kendricks),2.280,3.380
4,12:57,1,10,MIN 33,24,17,Lamar Jackson sacked by Armon Watts for -5 yards,3.380,2.160
4,12:12,2,15,MIN 38,24,17,Lamar Jackson pass incomplete short middle intended for Patrick Ricard,2.160,1.490
4,12:07,3,15,MIN 38,24,17,Lamar Jackson pass complete short left to Marquise Brown for 18 yards (tackle by Xavier Woods),1.490,4.240
4,11:27,1,10,MIN 20,24,17,Devonta Freeman left guard for 1 yard (tackle by Eric Kendricks and James Lynch),4.240,3.820
4,10:49,2,9,MIN 19,24,17,Lamar Jackson pass complete short middle to Rashod Bateman for 11 yards (tackle by Eric Kendricks),3.820,5.370
4,10:09,1,8,MIN 8,24,17,Devonta Freeman left tackle for 3 yards (tackle by Cameron Dantzler),5.370,5.150
4,9:26,2,5,MIN 5,24,23,"Lamar Jackson pass complete short middle to Devin Duvernay for 5 yards, touchdown",5.150,7.000
4,9:19,,,MIN 15,24,24,Justin Tucker kicks extra point good,0.000,0.000
4,9:19,,,BAL 35,24,24,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,9:19,1,10,MIN 25,24,24,Dalvin Cook right end for -8 yards (tackle by Patrick Queen),0.610,-1.150
4,8:37,2,18,MIN 17,24,24,Kirk Cousins pass incomplete short middle intended for Justin Jefferson (defended by Josh Bynes),-1.150,-1.930
4,8:30,3,18,MIN 17,24,24,Kirk Cousins pass complete short left to Tyler Conklin for 5 yards (tackle by Tavon Young),-1.930,-1.900
4,7:56,4,13,MIN 22,24,24,"Jordan Berry punts 53 yards, returned by Devin Duvernay for 14 yards (tackle by Ryan Connelly)",-1.900,-1.530
4,7:45,1,10,BAL 39,24,24,Lamar Jackson pass complete short right to Marquise Brown for 22 yards (tackle by Xavier Woods),1.530,2.980
4,7:01,1,10,MIN 39,24,24,Devonta Freeman left guard for 8 yards (tackle by Cameron Dantzler),2.980,3.520
4,6:20,2,2,MIN 31,24,24,Le'Veon Bell right guard for 7 yards (tackle by D.J. Wonnum),3.520,3.970
4,5:38,1,10,MIN 24,24,24,Le'Veon Bell right guard for 8 yards (tackle by D.J. Wonnum),3.970,4.650
4,4:57,2,2,MIN 16,24,24,Le'Veon Bell left end for 5 yards (tackle by Camryn Bynum),4.650,4.840
4,4:14,1,10,MIN 11,24,24,Lamar Jackson scrambles up the middle for 10 yards (tackle by Camryn Bynum),4.840,6.970
4,3:35,1,1,MIN 1,24,30,"Le'Veon Bell right guard for 1 yard, touchdown",6.970,7.000
4,3:29,,,MIN 15,24,31,Justin Tucker kicks extra point good,0.000,0.000
4,3:29,,,BAL 35,24,31,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,3:29,1,10,MIN 25,24,31,Kirk Cousins pass complete short middle to Tyler Conklin for 6 yards (tackle by Tyus Bowser),0.610,0.740
4,2:57,2,4,MIN 29,24,31,Dalvin Cook left guard for 1 yard (tackle by Josh Bynes and Calais Campbell),0.740,0.300
4,2:32,3,3,MIN 32,24,31,Kirk Cousins pass complete deep left to C.J. Ham for 27 yards (tackle by DeShon Elliott),0.300,2.850
4,2:23,1,10,BAL 41,24,31,Dalvin Cook right tackle for 24 yards (tackle by Chuck Clark and Marlon Humphrey),2.850,4.440
4,2:00,1,10,BAL 17,24,31,Kirk Cousins pass incomplete deep middle intended for Adam Thielen (defended by Brandon Stephens),4.440,3.850
4,1:55,2,10,BAL 17,24,31,Dalvin Cook left tackle for 1 yard (tackle by Justin Houston),3.850,3.190
4,1:19,3,9,BAL 16,24,31,Kirk Cousins pass incomplete short middle intended for Tyler Conklin (defended by Marlon Humphrey),3.190,2.380
4,1:15,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:15,4,9,BAL 16,24,31,Kirk Cousins pass complete short right to Justin Jefferson for 12 yards (tackle by Tavon Young),2.380,6.280
4,1:10,1,4,BAL 4,24,31,Dalvin Cook left tackle for 3 yards (tackle by Justin Ellis),6.280,5.910
4,1:06,,,,,,Timeout #1 by Baltimore Ravens,,
4,1:06,2,1,BAL 1,30,31,"Kirk Cousins pass complete short right to Adam Thielen for 1 yard, touchdown",5.910,7.000
4,1:03,,,BAL 15,31,31,Greg Joseph kicks extra point good,0.000,0.000
4,1:03,,,MIN 35,31,31,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,0:50,1,10,BAL 25,31,31,"Lamar Jackson sacked by Kenny Willekes for no gain. Penalty on Camryn Bynum: Defensive Holding, 5 yards (accepted) (no play)",0.610,0.940
4,0:59,1,10,BAL 30,31,31,Lamar Jackson pass complete short middle to Rashod Bateman for 6 yards (tackle by Cameron Dantzler),0.940,1.200
4,0:36,2,4,BAL 36,31,31,Lamar Jackson pass complete short middle to Mark Andrews for 8 yards (tackle by Eric Kendricks and Camryn Bynum),1.200,1.860
4,0:30,,,,,,Timeout #2 by Baltimore Ravens,,
4,0:30,1,10,BAL 44,31,31,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,1.860,1.320
4,0:26,2,10,BAL 44,31,31,Lamar Jackson pass complete short middle to Mark Andrews for 7 yards (tackle by Xavier Woods),1.320,1.550
4,0:22,,,,,,Timeout #3 by Baltimore Ravens,,
4,0:22,3,3,MIN 49,31,31,"Lamar Jackson pass complete to Marquise Brown for no gain. Penalty on Mark Andrews: Offensive Holding, 10 yards (accepted) (no play)",1.550,0.230
4,0:17,3,13,BAL 41,31,31,Lamar Jackson sacked by and Kenny Willekes for -3 yards and Sheldon Richardson for -3 yards,0.230,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,MIN,BAL,Detail,EPB,EPA
,,,,,,,"Ravens won the coin toss, Ravens to receive the overtime kickoff.",,
OT,10:00,,,MIN 35,31,31,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,BAL 25,31,31,Lamar Jackson pass complete short right to Marquise Brown for 7 yards (tackle by Camryn Bynum),0.610,1.010
OT,9:25,2,3,BAL 32,31,31,Devonta Freeman right guard for 6 yards (tackle by Xavier Woods and D.J. Wonnum),1.010,1.470
OT,8:46,1,10,BAL 38,31,31,Devonta Freeman right guard for 5 yards (tackle by Eric Kendricks and Dalvin Tomlinson),1.470,1.600
OT,8:05,2,5,BAL 43,31,31,Lamar Jackson pass complete short middle to Marquise Brown for 20 yards (tackle by Kris Boyd),1.600,3.120
OT,7:26,1,10,MIN 37,31,31,Devonta Freeman left tackle for 4 yards (tackle by Camryn Bynum),3.120,3.110
OT,6:47,2,6,MIN 33,31,31,Lamar Jackson pass intended for Patrick Ricard is intercepted by Anthony Barr at MIN-38 and returned for no gain (tackle by Devonta Freeman),3.110,-1.470
OT,6:42,,,,,,Timeout #1 by Minnesota Vikings,,
OT,6:42,1,10,MIN 38,31,31,Kirk Cousins pass complete short left to Dalvin Cook for 2 yards (tackle by Brandon Stephens),1.470,1.190
OT,6:11,2,8,MIN 40,31,31,Dalvin Cook left end for -1 yards (tackle by Tyus Bowser),1.190,0.370
OT,5:29,3,9,MIN 39,31,31,Kirk Cousins pass incomplete deep left intended for Adam Thielen,0.370,-0.780
OT,5:23,4,9,MIN 39,31,31,"Jordan Berry punts 41 yards out of bounds. Penalty on Marlon Humphrey: Offensive Holding, 10 yards (accepted)",-0.780,0.380
OT,5:17,1,10,BAL 10,31,31,Lamar Jackson pass complete deep right to Marquise Brown for 20 yards (tackle by Kris Boyd),-0.380,0.940
OT,4:53,1,10,BAL 30,31,31,Le'Veon Bell right tackle for 2 yards (tackle by Camryn Bynum and Eric Kendricks),0.940,0.660
OT,4:14,2,8,BAL 32,31,31,Lamar Jackson pass complete short right to Eric Tomlinson for 7 yards (tackle by Camryn Bynum),0.660,0.890
OT,3:40,3,1,BAL 39,31,31,Le'Veon Bell right tackle for 3 yards (tackle by Eric Kendricks and Kenny Willekes),0.890,1.730
OT,3:05,1,10,BAL 42,31,31,Devonta Freeman right end for 19 yards (tackle by Sheldon Richardson),1.730,2.980
OT,2:27,1,10,MIN 39,31,31,Devonta Freeman for no gain (no play),2.980,3.710
OT,2:16,1,5,MIN 34,31,31,"Devonta Freeman for no gain. Penalty on Eric Tomlinson: Offensive Holding, 10 yards (accepted) (no play)",3.710,2.650
OT,2:11,1,15,MIN 44,31,31,Lamar Jackson pass complete to Marquise Brown for no gain (no play),2.650,2.320
OT,2:06,1,20,MIN 49,31,31,Lamar Jackson pass complete short right to Marquise Brown for 13 yards (tackle by Camryn Bynum),2.320,2.850
OT,1:58,2,7,MIN 36,31,31,Lamar Jackson left tackle for 5 yards (tackle by James Lynch and Dalvin Tomlinson),2.850,2.810
OT,1:50,,,,,,Timeout #2 by Minnesota Vikings,,
OT,1:50,3,2,MIN 31,31,31,Le'Veon Bell up the middle for 12 yards (tackle by Cameron Dantzler),2.810,4.310
OT,1:00,,,,,,Timeout #1 by Baltimore Ravens,,
OT,1:00,1,10,MIN 19,31,31,Le'Veon Bell left tackle for 1 yard (tackle by Camryn Bynum),4.310,3.880
OT,0:04,,,,,,Timeout #2 by Baltimore Ravens,,
OT,0:04,2,9,MIN 18,31,34,Justin Tucker 36 yard field goal good,3.880,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
