Quarter,Time,Down,ToGo,Location,SEA,HOU,Detail,EPB,EPA
1,6:24,4,5,HOU 19,3,7,Jason Myers 38 yard field goal good,2.240,3.000
1,6:20,,,SEA 35,3,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,6:20,1,10,HOU 25,3,7,Royce Freeman right guard for no gain (tackle by Benson Mayowa and Al Woods),0.610,0.060
1,5:41,2,10,HOU 25,3,7,Davis Mills pass complete short left to Brevin Jordan for 10 yards (tackle by D.J. Reed),0.060,1.270
1,5:08,1,10,HOU 35,3,7,Royce Freeman left guard for 1 yard (tackle by Bobby Wagner),1.270,0.860
1,4:27,2,9,HOU 36,3,7,Davis Mills pass complete short right to Nico Collins for 7 yards (tackle by Sidney Jones),0.860,1.090
1,3:56,3,2,HOU 43,3,7,Davis Mills pass complete short right to Brevin Jordan for no gain (tackle by Benson Mayowa and Sidney Jones),1.090,-0.520
1,3:14,4,2,HOU 43,3,7,Cameron Johnston punts 54 yards downed by A.J. Moore,-0.520,0.380
1,3:03,1,10,SEA 3,3,7,Rashaad Penny right guard for 5 yards (tackle by Jonathan Greenard),-0.380,-0.420
1,2:38,2,5,SEA 8,3,7,Russell Wilson pass incomplete short middle intended for Will Dissly (defended by Kamu Grugier-Hill),-0.420,-0.840
1,2:34,3,5,SEA 8,3,7,Russell Wilson pass complete short left to D.K. Metcalf for 8 yards (tackle by Desmond King),-0.840,-0.140
1,1:52,1,10,SEA 16,3,7,Russell Wilson pass complete deep left to Tyler Lockett for 24 yards,-0.140,1.600
1,1:22,1,10,SEA 40,3,7,Rashaad Penny up the middle for 3 yards (tackle by Ross Blacklock and Jaleel Johnson),1.600,1.460
1,0:50,2,7,SEA 43,3,7,Russell Wilson pass complete short left to Will Dissly for 25 yards (tackle by Kamu Grugier-Hill and Justin Reid),1.460,3.450
1,0:02,,,,,,Timeout #1 by Seattle Seahawks,,
1,0:02,1,10,HOU 32,9,7,"Rashaad Penny right tackle for 32 yards, touchdown",3.450,7.000
1,0:00,,,HOU 15,10,7,Jason Myers kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,SEA,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,SEA 35,10,7,"Jason Myers kicks off 55 yards, returned by Tremon Smith for 15 yards (tackle by Jon Rhattigan)",0.000,0.610
2,14:55,1,10,HOU 25,10,7,Rex Burkhead right end for 6 yards (tackle by Jordyn Brooks),0.610,0.870
2,14:25,2,4,HOU 31,10,7,Rex Burkhead up the middle for 5 yards (tackle by Jordyn Brooks and Rasheem Green),0.870,1.330
2,13:44,1,10,HOU 36,10,7,Royce Freeman up the middle for -6 yards (tackle by Ugo Amadi),1.330,-0.020
2,13:06,2,16,HOU 30,10,7,Davis Mills pass complete short middle to Brandin Cooks for 15 yards (tackle by Bobby Wagner),-0.020,1.290
2,12:26,3,1,HOU 45,10,7,Rex Burkhead left tackle for 2 yards (tackle by D.J. Reed),1.290,2.060
2,11:51,1,10,HOU 47,10,7,Davis Mills pass complete short right to Brandin Cooks for 8 yards (tackle by Sidney Jones),2.060,2.600
2,11:06,2,2,SEA 45,10,7,Rex Burkhead up the middle for 10 yards (tackle by Quandre Diggs),2.600,3.250
2,10:28,1,10,SEA 35,10,7,Davis Mills sacked by and Rasheem Green for -9 yards and Al Woods for -9 yards,3.250,1.490
2,9:44,2,19,SEA 44,10,7,Davis Mills pass complete short right to Rex Burkhead for 11 yards (tackle by Jordyn Brooks and Ryan Neal),1.490,2.280
2,9:01,3,8,SEA 33,10,7,"Davis Mills pass complete short left to Brandin Cooks for no gain. Penalty on Brandin Cooks: Offensive Pass Interference, 10 yards (accepted) . Penalty on Pharaoh Brown: Unnecessary Roughness / Offense, 15 yards (declined) (no play)",2.280,0.960
2,8:35,3,18,SEA 43,10,7,Davis Mills pass complete short left to Nico Collins for 12 yards (tackle by D.J. Reed),0.960,1.340
2,7:56,4,6,SEA 31,10,7,"Ka'imi Fairbairn yard field goal good. Penalty on Al Woods: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.340,4.510
2,7:52,1,10,SEA 16,10,7,Davis Mills pass complete short middle to Antony Auclair for 6 yards (tackle by Bobby Wagner and Sidney Jones),4.510,4.970
2,7:16,2,4,SEA 10,10,7,Davis Mills pass complete short middle to Brandin Cooks for 9 yards (tackle by D.J. Reed),4.970,6.970
2,7:14,1,1,SEA 1,10,7,Rex Burkhead left tackle for no gain (tackle by Al Woods) (no play),6.970,6.060
2,6:56,1,5,SEA 5,10,7,Davis Mills pass incomplete short left intended for Nico Collins,6.060,5.150
2,6:51,2,5,SEA 5,10,7,Rex Burkhead up the middle for 2 yards (tackle by Jordyn Brooks and Al Woods),5.150,4.720
2,6:12,3,3,SEA 3,10,7,Davis Mills pass incomplete short left intended for Nico Collins,4.720,3.040
2,6:08,,,,,,Timeout #2 by Houston Texans,,
2,6:08,4,3,SEA 3,10,10,Ka'imi Fairbairn 21 yard field goal good,3.040,3.000
2,6:05,,,HOU 35,10,10,"Ka'imi Fairbairn kicks off 57 yards, returned by DeeJay Dallas for 18 yards (tackle by Jonathan Owens). Penalty on Alton Robinson: Unnecessary Roughness / Offense, 13 yards (accepted)",0.000,-0.320
2,6:01,1,10,SEA 13,10,10,"Russell Wilson pass incomplete deep left intended for D.K. Metcalf. Penalty on Desmond King: Defensive Pass Interference, 16 yards (accepted) (no play)",-0.320,0.870
2,5:55,1,10,SEA 29,10,10,Alex Collins up the middle for 7 yards (tackle by Christian Kirksey and Jaleel Johnson),0.870,1.270
2,5:18,2,3,SEA 36,10,10,Alex Collins left tackle for -3 yards (tackle by Kamu Grugier-Hill),1.270,0.170
2,4:37,3,6,SEA 33,10,10,Russell Wilson scrambles right end for 8 yards (tackle by Terrance Mitchell),0.170,1.660
2,3:51,1,10,SEA 41,10,10,"Penalty on Tyler Lockett: False Start, 5 yards (accepted) (no play)",1.660,1.330
2,3:23,1,15,SEA 36,10,10,Russell Wilson pass complete short right to Penny Hart for 16 yards (tackle by Eric Murray),1.330,2.390
2,2:55,1,10,HOU 48,10,10,Rashaad Penny right guard for 5 yards (tackle by Ross Blacklock),2.390,2.520
2,2:17,2,5,HOU 43,10,10,Russell Wilson pass incomplete deep right intended for Tyler Lockett,2.520,1.820
2,2:11,3,5,HOU 43,10,10,Russell Wilson pass incomplete deep left intended for Tyler Lockett,1.820,0.400
2,2:05,4,5,HOU 43,10,10,Michael Dickson punts 41 yards downed by Penny Hart,0.400,0.380
2,1:56,1,10,HOU 2,10,10,Rex Burkhead left guard for 2 yards (tackle by Benson Mayowa and Jordyn Brooks),-0.380,-0.630
2,1:19,2,8,HOU 4,10,10,Rex Burkhead right guard for -1 yards (tackle by Poona Ford),-0.630,-1.300
2,1:13,,,,,,Timeout #2 by Seattle Seahawks,,
2,1:13,3,9,HOU 3,10,10,Davis Mills scrambles right end for 5 yards (tackle by Carlos Dunlap),-1.300,-2.490
2,1:07,4,4,HOU 8,10,10,"Cameron Johnston punts 47 yards, fair catch by Freddie Swain at SEA-45",-2.490,-1.930
2,1:00,1,10,SEA 45,16,10,"Russell Wilson pass complete deep right to Tyler Lockett for 55 yards, touchdown",1.930,7.000
2,0:52,,,HOU 15,16,10,Jason Myers kicks extra point no good,0.000,-1.000
2,0:52,,,SEA 35,16,10,"Jason Myers kicks off 66 yards, returned by Tremon Smith for 13 yards, lateral to Tavierre Thomas for no gain (tackle by Jason Myers)",0.000,1.730
2,0:41,1,10,HOU 42,16,10,Davis Mills pass incomplete short right intended for Brevin Jordan,1.730,1.190
2,0:37,2,10,HOU 42,16,10,Davis Mills pass complete short right to Brandin Cooks for 18 yards (tackle by Blessuan Austin),1.190,2.920
2,0:21,1,10,SEA 40,16,10,Davis Mills spiked the ball,2.920,2.370
2,0:20,2,10,SEA 40,16,10,Davis Mills pass incomplete short left intended for Brevin Jordan (defended by Ugo Amadi),2.370,1.680
2,0:16,3,10,SEA 40,16,10,"Davis Mills pass incomplete short right intended for Brevin Jordan. Penalty on Tytus Howard: Offensive Holding, 10 yards (accepted) (no play)",1.680,0.370
2,0:10,3,20,SEA 50,16,10,Davis Mills pass complete short left to Rex Burkhead for 7 yards (tackle by D.J. Reed),0.370,0.400
2,0:04,,,,,,Timeout #3 by Houston Texans,,
2,0:04,4,13,SEA 43,16,13,Ka'imi Fairbairn 61 yard field goal good,0.400,3.000
Quarter,Time,Down,ToGo,Location,SEA,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,16,13,"Ka'imi Fairbairn kicks off 61 yards, returned by DeeJay Dallas for 23 yards (tackle by Lonnie Johnson). Penalty on Cody Barton: Offensive Holding, 10 yards (accepted)",0.000,-0.060
3,14:56,1,10,SEA 17,16,13,Rashaad Penny right end for 9 yards (tackle by Desmond King and Kamu Grugier-Hill),-0.060,0.750
3,14:25,2,1,SEA 26,16,13,Rashaad Penny right tackle for 3 yards (tackle by Roy Lopez and Desmond King),0.750,0.870
3,13:51,1,10,SEA 29,16,13,Russell Wilson pass incomplete deep left intended for Tyler Lockett,0.870,0.330
3,13:44,2,10,SEA 29,16,13,Russell Wilson pass incomplete short right intended for Freddie Swain,0.330,-0.360
3,13:41,3,10,SEA 29,16,13,Russell Wilson pass incomplete short right intended for D.K. Metcalf,-0.360,-1.440
3,13:36,4,10,SEA 29,16,13,"Michael Dickson punts 48 yards, returned by Desmond King for 2 yards (tackle by Penny Hart)",-1.440,-0.610
3,13:27,1,10,HOU 25,16,13,Rex Burkhead left tackle for 2 yards (tackle by D.J. Reed),0.610,0.330
3,12:57,2,8,HOU 27,16,13,Rex Burkhead up the middle for 9 yards (tackle by Ryan Neal and Bobby Wagner),0.330,1.330
3,12:20,1,10,HOU 36,16,13,Davis Mills pass complete short left to Royce Freeman for 11 yards (tackle by Bobby Wagner and Poona Ford),1.330,2.060
3,11:35,1,10,HOU 47,16,13,Phillip Dorsett left end for no gain (tackle by Ugo Amadi),2.060,1.520
3,10:56,2,10,HOU 47,16,13,Royce Freeman left tackle for -3 yards (tackle by Al Woods),1.520,0.430
3,10:19,3,13,HOU 44,16,13,Davis Mills pass complete short left to Rex Burkhead for -2 yards (tackle by L.J. Collier and Bobby Wagner),0.430,-0.590
3,9:39,4,15,HOU 42,16,13,"Cameron Johnston punts 58 yards, touchback.",-0.590,-0.280
3,9:31,1,10,SEA 20,16,13,Russell Wilson pass complete short left to D.K. Metcalf for 7 yards (tackle by Derek Rivers),0.280,0.680
3,8:54,2,3,SEA 27,16,13,Gerald Everett right end for 13 yards (tackle by Justin Reid),0.680,1.600
3,8:13,1,10,SEA 40,16,13,Russell Wilson pass complete short right to Will Dissly for 13 yards (tackle by Christian Kirksey and Ross Blacklock),1.600,2.460
3,7:31,1,10,HOU 47,16,13,Rashaad Penny right guard for -1 yards (tackle by Maliek Collins),2.460,1.780
3,6:50,2,11,HOU 48,16,13,Russell Wilson pass complete short right to D.K. Metcalf for 22 yards (tackle by Justin Reid),1.780,3.840
3,6:14,1,10,HOU 26,16,13,Freddie Swain right end for 3 yards (tackle by Desmond King and Tavierre Thomas),3.840,3.700
3,5:26,,,,,,Timeout #1 by Seattle Seahawks,,
3,5:26,2,7,HOU 23,16,13,"Russell Wilson pass complete deep right to D.K. Metcalf for no gain, touchdown. Penalty on Gabe Jackson: Offensive Holding, 10 yards (accepted) (no play)",3.700,2.350
3,5:20,2,17,HOU 33,16,13,Russell Wilson pass incomplete deep right intended for D.K. Metcalf (defended by Lonnie Johnson),2.350,1.690
3,5:13,3,17,HOU 33,16,13,DeeJay Dallas up the middle for 13 yards (tackle by Christian Kirksey and Justin Reid),1.690,2.200
3,4:35,4,4,HOU 20,19,13,Jason Myers 38 yard field goal good,2.200,3.000
3,4:32,,,SEA 35,19,13,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,4:32,1,10,HOU 25,19,13,Davis Mills pass incomplete deep left intended for Nico Collins,0.610,0.060
3,4:27,2,10,HOU 25,19,13,Davis Mills pass complete short right to Brandin Cooks for 19 yards (tackle by Carlos Dunlap),0.060,1.860
3,3:56,1,10,HOU 44,19,13,Davis Mills pass complete short right to Rex Burkhead for 10 yards (tackle by Ugo Amadi),1.860,2.520
3,3:09,1,10,SEA 46,19,13,Davis Mills pass incomplete short left intended for Nico Collins,2.520,1.980
3,3:05,2,10,SEA 46,19,13,Davis Mills pass incomplete short middle intended for Royce Freeman (defended by L.J. Collier),1.980,1.290
3,3:01,3,10,SEA 46,19,13,"Davis Mills sacked by Darrell Taylor for no gain. Penalty on Sidney Jones: Defensive Holding, 5 yards (accepted) (no play)",1.290,2.850
3,2:38,1,10,SEA 41,19,13,Royce Freeman right end for no gain (tackle by Jordyn Brooks),2.850,2.310
3,1:58,2,10,SEA 41,19,13,Davis Mills pass incomplete short left intended for Phillip Dorsett,2.310,1.620
3,1:54,3,10,SEA 41,19,13,Davis Mills pass incomplete short right intended for Brandin Cooks,1.620,0.530
3,1:50,4,10,SEA 41,19,13,"Penalty on Jon Weeks: False Start, 5 yards (accepted) (no play)",0.530,0.200
3,1:50,4,15,SEA 46,19,13,"Cameron Johnston punts 35 yards, returned by Freddie Swain for 9 yards (tackle by Antony Auclair)",0.200,-0.280
3,1:40,1,10,SEA 20,19,13,Rashaad Penny right tackle for 3 yards (tackle by Ross Blacklock and Eric Murray),0.280,0.140
3,1:03,2,7,SEA 23,19,13,Russell Wilson pass incomplete short right intended for D'Wayne Eskridge (defended by Jonathan Greenard),0.140,-0.560
3,0:57,3,7,SEA 23,19,13,Russell Wilson pass incomplete deep left intended for D.K. Metcalf,-0.560,-1.830
3,0:50,4,7,SEA 23,19,13,"Michael Dickson punts 48 yards, fair catch by Desmond King at HOU-29",-1.830,-0.870
3,0:43,1,10,HOU 29,19,13,Royce Freeman left guard for 8 yards (tackle by Poona Ford and Bobby Wagner),0.870,1.410
3,0:12,2,2,HOU 37,19,13,Royce Freeman right guard for 3 yards (tackle by Bobby Wagner and Poona Ford),1.410,1.600
Quarter,Time,Down,ToGo,Location,SEA,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 40,19,13,Royce Freeman right guard for 5 yards (tackle by Jordyn Brooks),1.600,1.730
4,14:25,2,5,HOU 45,19,13,Davis Mills pass complete short right to Chris Conley for 7 yards (tackle by Sidney Jones),1.730,2.390
4,13:51,1,10,SEA 48,19,13,Royce Freeman up the middle for -4 yards (tackle by Bobby Wagner and Poona Ford),2.390,1.310
4,13:15,2,14,HOU 48,19,13,Davis Mills sacked by Darrell Taylor for -5 yards,1.310,-0.030
4,12:30,3,19,HOU 43,19,13,Davis Mills pass complete short left to Brevin Jordan for 11 yards (tackle by D.J. Reed),-0.030,0.200
4,11:51,4,8,SEA 46,19,13,"Cameron Johnston punts 35 yards, returned by Freddie Swain for 22 yards (tackle by Eric Murray and Neville Hewitt)",0.200,-1.140
4,11:38,1,10,SEA 33,19,13,Rashaad Penny left guard for no gain (tackle by Christian Kirksey and Jonathan Greenard),1.140,0.590
4,11:09,2,10,SEA 33,19,13,Rashaad Penny left tackle for 3 yards (tackle by Neville Hewitt),0.590,0.300
4,10:26,3,7,SEA 36,19,13,Russell Wilson pass complete short left to Gerald Everett for 14 yards (tackle by Christian Kirksey),0.300,2.260
4,9:49,1,10,SEA 50,19,13,Russell Wilson pass incomplete short right intended for Tyler Lockett,2.260,1.710
4,9:44,2,10,SEA 50,19,13,Russell Wilson pass complete short left to Rashaad Penny for 1 yard (tackle by Lonnie Johnson),1.710,1.160
4,8:59,3,9,HOU 49,19,13,Russell Wilson pass complete deep left to Tyler Lockett for 29 yards,1.160,4.240
4,8:50,1,10,HOU 20,19,13,Russell Wilson pass complete short left to D.K. Metcalf for 6 yards (tackle by Lonnie Johnson and Christian Kirksey),4.240,4.640
4,8:21,2,4,HOU 14,19,13,"Russell Wilson pass incomplete short left intended for D.K. Metcalf. Penalty on Lonnie Johnson: Defensive Pass Interference, 7 yards (accepted) (no play)",4.640,5.600
4,8:15,1,7,HOU 7,19,13,Russell Wilson pass incomplete short left intended for D.K. Metcalf,5.600,4.760
4,8:13,2,7,HOU 7,19,13,Rashaad Penny left guard for 6 yards (tackle by Jonathan Owens and Tavierre Thomas),4.760,5.170
4,7:34,3,1,HOU 1,25,13,"Russell Wilson pass complete short left to Gerald Everett for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",5.170,7.000
4,7:28,,,HOU 2,27,13,Two Point Attempt: Russell Wilson pass complete to to Tyler Lockett for no gain,1.000,1.000
4,7:28,,,SEA 35,27,13,"Jason Myers kicks off 61 yards, returned by Tremon Smith for 24 yards (tackle by Penny Hart and Edmond Robinson)",0.000,0.810
4,7:23,1,10,HOU 28,27,13,Davis Mills pass complete short middle to Phillip Dorsett for 9 yards (tackle by D.J. Reed and Bobby Wagner),0.810,1.480
4,6:59,2,1,HOU 37,27,13,"Davis Mills pass incomplete short left intended for Brandin Cooks (defended by D.J. Reed). Penalty on D.J. Reed: Defensive Pass Interference, 6 yards (accepted) (no play)",1.480,1.800
4,6:54,1,10,HOU 43,27,13,Royce Freeman left tackle for 7 yards (tackle by Bobby Wagner),1.800,2.200
4,6:30,2,3,HOU 50,27,13,Davis Mills pass incomplete short left intended for Royce Freeman,2.200,1.490
4,6:26,3,3,HOU 50,27,13,Davis Mills pass incomplete short right intended for Brandin Cooks (defended by Ugo Amadi),1.490,-0.060
4,6:22,4,3,HOU 50,27,13,Davis Mills pass incomplete deep middle intended for Brevin Jordan,-0.060,-2.260
4,6:16,1,10,HOU 50,27,13,Rashaad Penny right guard for 3 yards (tackle by Jonathan Greenard and Neville Hewitt),2.260,2.120
4,5:35,2,7,HOU 47,33,13,"Rashaad Penny for 47 yards, touchdown",2.120,7.000
4,5:26,,,HOU 15,33,13,Jason Myers kicks extra point no good,0.000,-1.000
4,5:26,,,SEA 35,33,13,"Jason Myers kicks off 50 yards, returned by Antony Auclair for 11 yards (tackle by Gavin Heslop)",0.000,0.670
4,5:21,1,10,HOU 26,33,13,Davis Mills pass complete short middle to Royce Freeman for 11 yards (tackle by Ugo Amadi and Bobby Wagner),0.670,1.400
4,4:58,1,10,HOU 37,33,13,Davis Mills pass complete short left to Royce Freeman for 12 yards (tackle by Jordyn Brooks),1.400,2.190
4,4:53,1,10,HOU 49,33,13,Davis Mills pass incomplete short right intended for Nico Collins (defended by Alton Robinson),2.190,1.650
4,4:48,2,10,HOU 49,33,13,Royce Freeman up the middle for 4 yards (tackle by Bobby Wagner),1.650,1.490
4,4:25,3,6,SEA 47,33,13,Davis Mills pass incomplete deep right intended for Phillip Dorsett,1.490,0.130
4,4:19,4,6,SEA 47,33,13,"Davis Mills pass incomplete deep left intended for Brandin Cooks. Penalty on Lane Taylor: Offensive Holding, 10 yards (declined)",0.130,-2.060
4,4:09,,,,,,Timeout #2 by Seattle Seahawks,,
4,4:09,1,10,SEA 47,33,13,Russell Wilson pass complete short right to Nick Bellore for 4 yards (tackle by Garret Wallow),2.060,2.060
4,3:59,,,,,,Timeout #1 by Houston Texans,,
4,3:59,2,6,HOU 49,33,13,Alex Collins up the middle for 4 yards (tackle by Chris Smith and Christian Kirksey),2.060,1.880
4,3:47,,,,,,Timeout #2 by Houston Texans,,
4,3:47,3,2,HOU 45,33,13,Alex Collins right end for 3 yards (tackle by Desmond King),1.880,2.790
4,3:42,1,10,HOU 42,33,13,"Russell Wilson aborted snap, recovered by D'Wayne Eskridge at SEA-49 (tackle by Lonnie Johnson)",2.790,1.030
4,2:57,2,19,SEA 49,33,13,Alex Collins up the middle for 4 yards (tackle by Christian Kirksey),1.030,0.890
4,2:53,,,,,,Timeout #3 by Houston Texans,,
4,2:53,3,15,HOU 47,33,13,Alex Collins up the middle for 2 yards (tackle by Jonathan Greenard and Christian Kirksey),0.890,0.270
4,2:05,4,13,HOU 45,33,13,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.270,-0.060
4,2:05,4,18,HOU 50,33,13,Michael Dickson punts 32 yards out of bounds,-0.060,-0.040
4,1:59,1,10,HOU 18,33,13,Davis Mills pass complete short left to Royce Freeman for 4 yards (tackle by Blessuan Austin),0.040,0.140
4,1:52,2,6,HOU 22,33,13,Davis Mills pass complete short right to Brandin Cooks for 17 yards (tackle by Ryan Neal),0.140,1.530
4,1:31,1,10,HOU 39,33,13,Davis Mills pass complete short middle to Royce Freeman for 6 yards (tackle by Ugo Amadi),1.530,1.800
4,1:12,2,4,HOU 45,33,13,Davis Mills pass complete deep left to Nico Collins for 18 yards (tackle by Blessuan Austin),1.800,3.120
4,0:59,,,,,,Timeout #3 by Seattle Seahawks,,
4,0:59,1,10,SEA 37,33,13,Davis Mills pass complete short left to Royce Freeman for 7 yards (tackle by Blessuan Austin and Jordyn Brooks),3.120,3.520
4,0:36,2,3,SEA 30,33,13,Davis Mills pass complete short middle to Nico Collins for 2 yards (tackle by Bobby Wagner),3.520,3.070
4,0:17,3,1,SEA 28,33,13,Davis Mills pass complete short right to Jordan Akins for 6 yards (tackle by Sidney Jones),3.070,4.110
4,0:11,1,10,SEA 22,33,13,Davis Mills pass complete short middle to Brandin Cooks for 8 yards (tackle by Blessuan Austin),4.110,4.850
4,0:05,2,2,SEA 14,33,13,Davis Mills scrambles up the middle for 3 yards (tackle by Kerry Hyder),4.850,4.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
