Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
2,0:10,3,10,MIN 30,8,7,Baker Mayfield pass incomplete short left intended for Austin Hooper,2.340,1.410
2,0:06,4,10,MIN 30,11,7,Chase McLaughlin 48 yard field goal good,1.410,3.000
2,0:02,,,CLE 35,11,7,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
2,0:02,1,10,MIN 25,11,7,Kirk Cousins kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,11,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CLE 25,11,7,Nick Chubb up the middle for 3 yards (tackle by Armon Watts and Dalvin Tomlinson),0.610,0.470
3,14:20,2,7,CLE 28,11,7,Baker Mayfield pass complete short middle to Nick Chubb for 5 yards (tackle by Eric Kendricks),0.470,0.430
3,13:37,3,2,CLE 33,11,7,Baker Mayfield sacked by Danielle Hunter for -1 yards,0.430,-1.240
3,12:53,4,3,CLE 32,11,7,"Jamie Gillan punts 49 yards, returned by Dede Westbrook for 11 yards (tackle by M.J. Stewart)",-1.240,-0.940
3,12:48,1,10,MIN 30,11,7,Kirk Cousins pass complete short right to Justin Jefferson for 1 yard (tackle by Malcolm Smith),0.940,0.530
3,12:13,2,9,MIN 31,11,7,Kirk Cousins pass complete short right to Dalvin Cook for 6 yards (tackle by Jeremiah Owusu-Koramoah),0.530,0.630
3,11:31,3,3,MIN 37,11,7,Kirk Cousins sacked by Takkarist McKinley for -9 yards,0.630,-1.500
3,10:52,4,12,MIN 28,11,7,"Jordan Berry punts 58 yards, returned by Demetric Felton for 9 yards (tackle by Blake Lynch)",-1.500,-0.480
3,10:41,1,10,CLE 23,11,7,"Baker Mayfield scrambles right tackle for no gain (tackle by Eric Kendricks). Penalty on Jedrick Wills: Offensive Holding, 10 yards (accepted) (no play)",0.480,-0.590
3,10:12,1,20,CLE 13,11,7,Nick Chubb left end for 12 yards (tackle by Harrison Smith),-0.590,0.200
3,9:42,2,8,CLE 25,11,7,Baker Mayfield pass complete short middle to David Njoku for 9 yards (tackle by Blake Lynch),0.200,1.200
3,9:04,1,10,CLE 34,11,7,Nick Chubb left end for 13 yards (tackle by Danielle Hunter),1.200,2.060
3,8:23,1,10,CLE 47,11,7,Kareem Hunt right end for 2 yards (tackle by Cameron Dantzler),2.060,1.790
3,7:37,2,8,CLE 49,11,7,Kareem Hunt right end for 1 yard (tackle by Blake Lynch),1.790,1.220
3,6:52,3,7,CLE 50,11,7,Baker Mayfield pass incomplete deep right intended for Odell Beckham (defended by Cameron Dantzler),1.220,-0.060
3,6:48,4,7,CLE 50,11,7,"Jamie Gillan punts 36 yards, fair catch by Dede Westbrook at MIN-14",-0.060,0.280
3,6:42,1,10,MIN 14,11,7,"Kirk Cousins pass incomplete deep right intended for Adam Thielen. Penalty on Malik McDowell: Roughing the Passer, 15 yards (accepted) (no play)",-0.280,0.870
3,6:35,1,10,MIN 29,11,7,Alexander Mattison left guard for -2 yards (tackle by Jadeveon Clowney and Troy Hill),0.870,0.060
3,6:06,2,12,MIN 27,11,7,Kirk Cousins pass incomplete short right intended for Tyler Conklin (defended by Troy Hill),0.060,-0.630
3,6:00,3,12,MIN 27,11,7,"Kirk Cousins pass complete deep left to Justin Jefferson for no gain (tackle by Grant Delpit). Penalty on Tyler Conklin: Offensive Holding, 10 yards (accepted) (no play)",-0.630,-2.270
3,5:30,3,22,MIN 17,11,7,Alexander Mattison left end for 2 yards (tackle by Jeremiah Owusu-Koramoah),-2.270,-2.140
3,4:50,4,20,MIN 19,11,7,Jordan Berry punts 46 yards out of bounds,-2.140,-1.270
3,4:42,1,10,CLE 35,11,7,Nick Chubb left tackle for 6 yards (tackle by Sheldon Richardson and Armon Watts),1.270,1.530
3,4:15,2,4,CLE 41,11,7,Nick Chubb right guard for 8 yards (tackle by Eric Kendricks and Xavier Woods),1.530,2.190
3,3:30,1,10,CLE 49,11,7,Nick Chubb right end for 1 yard (tackle by Sheldon Richardson),2.190,1.780
3,2:52,2,9,CLE 50,11,7,Nick Chubb right tackle for 2 yards (tackle by Sheldon Richardson),1.780,1.360
3,2:10,3,7,MIN 48,11,7,Baker Mayfield scrambles right tackle for 6 yards (tackle by Xavier Woods),1.360,0.460
3,1:29,4,1,MIN 42,11,7,"Penalty on James Hudson: False Start, 5 yards (accepted) (no play)",0.460,0.130
3,1:19,4,6,MIN 47,11,7,"Jamie Gillan punts 38 yards, fair catch by Dede Westbrook at MIN-9",0.130,0.380
3,1:12,1,10,MIN 9,11,7,Kirk Cousins pass complete deep left to Justin Jefferson for 20 yards (tackle by Greedy Williams),-0.380,0.870
3,0:48,1,10,MIN 29,11,7,Alexander Mattison up the middle for 1 yard (tackle by Myles Garrett and Troy Hill),0.870,0.460
3,0:15,2,9,MIN 30,11,7,Kirk Cousins sacked by and Myles Garrett for -4 yards and Denzel Ward for -4 yards,0.460,-0.760
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,13,MIN 26,11,7,Kirk Cousins pass complete deep middle to Dede Westbrook for 17 yards (tackle by Elijah Lee and Grant Delpit),-0.760,1.800
4,14:16,1,10,MIN 43,11,7,Kirk Cousins pass complete to Tyler Conklin for 14 yards (tackle by Greedy Williams),1.800,2.720
4,13:47,1,10,CLE 43,11,7,Alexander Mattison right end for 6 yards (tackle by Elijah Lee),2.720,2.990
4,13:13,2,4,CLE 37,11,7,Kirk Cousins pass incomplete short left intended for Tyler Conklin,2.990,2.280
4,13:08,3,4,CLE 37,11,7,"Kirk Cousins pass incomplete deep left intended for K.J. Osborn. Penalty on K.J. Osborn: Offensive Pass Interference, 10 yards (accepted) (no play)",2.280,0.960
4,13:03,3,14,CLE 47,11,7,Kirk Cousins pass complete short left to Tyler Conklin for -3 yards (tackle by Malcolm Smith),0.960,-0.060
4,12:20,4,17,CLE 50,11,7,"Jordan Berry punts 36 yards, returned by Demetric Felton for 2 yards (tackle by Troy Dye)",-0.060,0.140
4,12:11,1,10,CLE 16,11,7,Kareem Hunt right end for 2 yards (tackle by Cameron Dantzler),-0.140,-0.350
4,11:28,2,8,CLE 18,11,7,Baker Mayfield pass incomplete deep left intended for Harrison Bryant,-0.350,-1.070
4,11:22,3,8,CLE 18,11,7,Baker Mayfield pass incomplete short left intended for Kareem Hunt,-1.070,-2.240
4,11:17,4,8,CLE 18,11,7,"Jamie Gillan punts 54 yards, returned by Dede Westbrook for no gain (tackle by A.J. Green). Penalty on Harrison Hand: Offensive Holding, 10 yards (accepted)",-2.240,-0.040
4,11:07,1,10,MIN 18,11,7,Alexander Mattison right tackle for 6 yards (tackle by Jeremiah Owusu-Koramoah and Malcolm Smith),0.040,0.410
4,10:37,2,4,MIN 24,11,7,Alexander Mattison left tackle for -2 yards (tackle by Myles Garrett),0.410,-0.660
4,10:00,3,6,MIN 22,11,7,Kirk Cousins pass incomplete short left intended for K.J. Osborn,-0.660,-1.900
4,9:56,4,6,MIN 22,11,7,"Jordan Berry punts 46 yards, returned by Demetric Felton for -2 yards (tackle by Harrison Hand)",-1.900,-0.940
4,9:45,1,10,CLE 30,11,7,Baker Mayfield pass complete deep middle to Odell Beckham for 24 yards (tackle by Xavier Woods and Eric Kendricks),0.940,2.520
4,9:06,1,10,MIN 46,11,7,Nick Chubb left end for 2 yards (tackle by Blake Lynch and Eric Kendricks),2.520,2.250
4,8:31,2,8,MIN 44,11,7,Nick Chubb right guard for 9 yards (tackle by Harrison Smith and Xavier Woods),2.250,3.250
4,7:53,1,10,MIN 35,11,7,Kareem Hunt right end for 1 yard (tackle by Nick Vigil and Danielle Hunter),3.250,2.840
4,7:07,2,9,MIN 34,11,7,Baker Mayfield sacked by Dalvin Tomlinson for no gain,2.840,2.150
4,6:23,3,9,MIN 34,11,7,Baker Mayfield pass incomplete short middle intended for Rashard Higgins (defended by Sheldon Richardson),2.150,1.060
4,6:21,4,9,MIN 34,14,7,Chase McLaughlin 53 yard field goal good,1.060,3.000
4,6:16,,,CLE 35,14,7,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
4,6:16,1,10,MIN 25,14,7,Kirk Cousins pass deep left intended for Adam Thielen is intercepted by Greedy Williams at CLE-21 and returned for no gain,0.610,-0.340
4,6:08,1,10,CLE 21,14,7,Kareem Hunt right tackle for 13 yards (tackle by Xavier Woods),0.340,1.200
4,5:28,1,10,CLE 34,14,7,Baker Mayfield pass complete deep middle to Rashard Higgins for 19 yards (tackle by Harrison Smith),1.200,2.460
4,4:49,1,10,MIN 47,14,7,Kareem Hunt right end for no gain (tackle by Eric Kendricks),2.460,1.910
4,4:02,2,10,MIN 47,14,7,Baker Mayfield pass incomplete deep right intended for Odell Beckham,1.910,1.220
4,3:56,3,10,MIN 47,14,7,Baker Mayfield pass incomplete deep middle intended for Anthony Schwartz,1.220,0.130
4,3:51,4,10,MIN 47,14,7,"Jamie Gillan punts 35 yards, fair catch by Dede Westbrook at MIN-12",0.130,0.350
4,3:45,1,10,MIN 12,14,7,Dalvin Cook left guard for 13 yards (tackle by Greedy Williams),-0.350,0.610
4,3:22,1,10,MIN 25,14,7,Dalvin Cook right guard for 2 yards (tackle by Malik McDowell and Malik Jackson),0.610,0.330
4,2:50,2,8,MIN 27,14,7,Dalvin Cook right guard for 2 yards (tackle by Jeremiah Owusu-Koramoah),0.330,-0.100
4,2:16,3,6,MIN 29,14,7,Kirk Cousins pass complete deep right to Justin Jefferson for 31 yards (tackle by Denzel Ward),-0.100,2.920
4,2:09,1,10,CLE 40,14,7,Alexander Mattison up the middle for 2 yards (tackle by Troy Hill and Malik Jackson),2.920,2.640
4,2:00,2,8,CLE 38,14,7,Kirk Cousins pass complete short left to Adam Thielen for 5 yards (tackle by Greedy Williams),2.640,2.610
4,1:29,3,3,CLE 33,14,7,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Malik Jackson),2.610,1.190
4,1:24,,,,,,Timeout #1 by Cleveland Browns,,
4,1:24,4,3,CLE 33,14,7,Kirk Cousins pass incomplete short middle,1.190,-1.140
4,1:21,1,10,CLE 33,14,7,Nick Chubb right guard for 2 yards (tackle by D.J. Wonnum),1.140,0.860
4,1:17,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:17,2,8,CLE 35,14,7,Nick Chubb left end for 3 yards (tackle by Armon Watts),0.860,0.560
4,1:13,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:13,3,5,CLE 38,14,7,Baker Mayfield pass incomplete deep right intended for Odell Beckham,0.560,-0.850
4,1:08,4,5,CLE 38,14,7,Jamie Gillan punts 34 yards out of bounds,-0.850,-0.810
4,1:01,1,10,MIN 28,14,7,Kirk Cousins pass incomplete short left intended for Dalvin Cook,0.810,0.810
4,0:57,1,10,MIN 28,14,7,Kirk Cousins pass incomplete short middle intended for K.J. Osborn (defended by Malik Jackson),0.810,0.260
4,0:54,2,10,MIN 28,14,7,Kirk Cousins pass complete short left to K.J. Osborn for 3 yards (tackle by Troy Hill),0.260,-0.030
4,0:30,3,7,MIN 31,14,7,"Kirk Cousins pass deep middle is intercepted by Grant Delpit at CLE-40 and returned for no gain. Penalty on Troy Hill: Defensive Pass Interference, 18 yards (accepted) (no play)",-0.030,2.190
4,0:27,1,10,MIN 49,14,7,Kirk Cousins pass incomplete deep right intended for Justin Jefferson (defended by Denzel Ward),2.190,1.650
4,0:22,2,10,MIN 49,14,7,Kirk Cousins pass incomplete deep middle intended for K.J. Osborn,1.650,0.960
4,0:17,,,,,,Timeout #2 by Cleveland Browns,,
4,0:17,3,10,MIN 49,14,7,Kirk Cousins pass complete deep right to Adam Thielen for 19 yards (tackle by Malcolm Smith),0.960,3.510
4,0:12,,,,,,Timeout #3 by Minnesota Vikings,,
4,0:12,1,10,CLE 31,14,7,Kirk Cousins pass incomplete deep right intended for Adam Thielen,3.510,2.900
4,0:08,2,10,CLE 32,14,7,Kirk Cousins pass complete short right to Tyler Conklin for 6 yards (tackle by M.J. Stewart),2.900,3.010
4,0:03,,,,,,Timeout #3 by Cleveland Browns,,
4,0:03,3,4,CLE 26,14,7,Kirk Cousins pass incomplete deep left,3.010,1.810
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
