Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
1,4:54,2,6,SEA 23,0,3,Russell Wilson scrambles right end for 2 yards (tackle by Al-Quadin Muhammad),0.210,-0.290
1,4:22,3,4,SEA 25,0,3,"Penalty on D.K. Metcalf: False Start, 5 yards (accepted) (no play)",-0.290,-0.940
1,4:13,3,9,SEA 20,0,3,Russell Wilson scrambles right end for 11 yards (tackle by Rock Ya-Sin),-0.940,1.000
1,3:46,1,10,SEA 31,0,3,Chris Carson left end for 5 yards (tackle by Khari Willis and Isaiah Rodgers),1.000,1.140
1,3:07,2,5,SEA 36,0,3,Chris Carson left end for 4 yards (tackle by Grover Stewart and DeForest Buckner),1.140,0.960
1,2:42,3,1,SEA 40,0,3,Chris Carson right tackle for 33 yards (tackle by Julian Blackmon),0.960,3.780
1,2:05,1,10,IND 27,0,3,Rashaad Penny left end for 4 yards (tackle by Bobby Okereke),3.780,3.770
1,1:37,2,6,IND 23,0,3,Russell Wilson pass incomplete deep right,3.770,3.070
1,1:31,3,6,IND 23,6,3,"Russell Wilson pass complete deep middle to Tyler Lockett for 23 yards, touchdown",3.070,7.000
1,1:26,,,IND 15,7,3,Jason Myers kicks extra point good,0.000,0.000
1,1:26,,,SEA 35,7,3,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,1:26,1,10,IND 25,7,3,Jonathan Taylor left guard for 3 yards (tackle by Tre Flowers),0.610,0.470
1,0:47,2,7,IND 28,7,3,Jonathan Taylor left guard for 2 yards (tackle by Jordyn Brooks and Bryan Mone),0.470,0.040
1,0:01,3,5,IND 30,7,3,Carson Wentz sacked by Rasheem Green for -9 yards,0.040,-1.960
Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,14,IND 21,7,3,"Rigoberto Sanchez punts 46 yards, returned by Freddie Swain for 6 yards (tackle by Ashton Dulin)",-1.960,-1.530
2,14:50,1,10,SEA 39,7,3,Russell Wilson pass complete short right to Gerald Everett for 11 yards (tackle by Grover Stewart),1.530,2.260
2,14:24,1,10,SEA 50,7,3,Chris Carson right guard for 5 yards (tackle by DeForest Buckner and Julian Blackmon),2.260,2.390
2,13:48,2,5,IND 45,7,3,Russell Wilson pass complete short left to Will Dissly for 6 yards (tackle by T.J. Carrie),2.390,2.980
2,13:21,1,10,IND 39,7,3,Chris Carson right end for 4 yards (tackle by Bobby Okereke),2.980,2.980
2,12:51,2,6,IND 35,7,3,Russell Wilson pass complete deep right to Will Dissly for 22 yards (tackle by Kenny Moore),2.980,4.710
2,12:08,1,10,IND 13,7,3,Rashaad Penny left guard for 4 yards (tackle by Tyquan Lewis),4.710,4.770
2,11:27,2,6,IND 9,13,3,"Russell Wilson pass complete short middle to Gerald Everett for 9 yards, touchdown",4.770,7.000
2,11:22,,,IND 15,14,3,Jason Myers kicks extra point good,0.000,0.000
2,11:22,,,SEA 35,14,3,"Penalty on D.K. Metcalf: Taunting / Offense, 15 yards (accepted) (no play)",0.000,0.000
2,11:22,,,SEA 20,14,3,"Jason Myers kicks off 70 yards, returned by Isaiah Rodgers for 22 yards (tackle by Penny Hart)",0.000,1.070
2,11:16,1,10,IND 32,14,3,Carson Wentz pass complete deep right to Parris Campbell for 24 yards (tackle by Quandre Diggs),1.070,2.650
2,10:30,1,10,SEA 44,14,3,Carson Wentz pass complete short right to Nyheim Hines for 6 yards (tackle by D.J. Reed),2.650,2.920
2,10:05,2,4,SEA 38,14,3,Nyheim Hines left end for 3 yards (tackle by Quandre Diggs and Marquise Blair),2.920,2.610
2,9:24,3,1,SEA 35,14,3,Jonathan Taylor up the middle for 1 yard (tackle by Bobby Wagner),2.610,3.310
2,8:41,1,10,SEA 34,14,3,Carson Wentz pass complete short middle to Jonathan Taylor for 10 yards (tackle by Cody Barton and Al Woods),3.310,3.970
2,7:54,,,,,,Timeout #1 by Indianapolis Colts,,
2,7:54,1,10,SEA 24,14,3,Carson Wentz pass complete short middle to Michael Pittman for 14 yards (tackle by Bobby Wagner),3.970,4.910
2,7:10,1,10,SEA 10,14,9,"Carson Wentz pass complete short middle to Zach Pascal for 10 yards, touchdown",4.910,7.000
2,7:04,,,SEA 15,14,10,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,7:04,,,IND 35,14,10,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
2,7:04,1,10,SEA 25,14,10,Russell Wilson pass complete short right to Chris Carson for 16 yards (tackle by Bobby Okereke),0.610,1.660
2,6:30,1,10,SEA 41,14,10,Chris Carson left end for 2 yards (tackle by Kenny Moore),1.660,1.390
2,6:04,2,8,SEA 43,14,10,Russell Wilson pass complete short right to Tyler Lockett for 4 yards (tackle by Rock Ya-Sin),1.390,1.220
2,5:22,3,4,SEA 47,14,10,Russell Wilson pass incomplete short left intended for Freddie Swain,1.220,-0.260
2,5:18,4,4,SEA 47,14,10,"Michael Dickson punts 25 yards out of bounds. Penalty on Darrell Taylor: Ineligible Downfield Kick, 5 yards (accepted)",-0.260,-1.140
2,5:11,1,10,IND 33,14,10,Carson Wentz pass complete short right to Jonathan Taylor for 8 yards (tackle by Rasheem Green and Jamal Adams),1.140,1.670
2,4:25,2,2,IND 41,14,10,Jonathan Taylor up the middle for 1 yard (tackle by Rasheem Green),1.670,1.090
2,3:41,3,1,IND 42,14,10,"Carson Wentz pass complete short left to Michael Pittman for no gain (tackle by Jamal Adams). Penalty on Ryan Kelly: Ineligible Downfield Pass, 6 yards (accepted) (no play)",1.090,0.300
2,3:12,3,7,IND 36,14,10,Carson Wentz pass incomplete deep right intended for Mo Alie-Cox,0.300,-0.980
2,3:07,4,7,IND 36,14,10,"Rigoberto Sanchez punts 47 yards, fair catch by Freddie Swain at SEA-17",-0.980,0.060
2,3:00,1,10,SEA 17,14,10,D'Wayne Eskridge right end for 13 yards (tackle by Shaquille Leonard),-0.060,0.940
2,2:27,1,10,SEA 30,14,10,Chris Carson right tackle for 3 yards (tackle by DeForest Buckner and Kwity Paye),0.940,0.800
2,2:00,2,7,SEA 33,14,10,Russell Wilson pass complete short left to D'Wayne Eskridge for 6 yards (tackle by T.J. Carrie),0.800,0.890
2,1:54,3,1,SEA 39,14,10,Russell Wilson up the middle for 2 yards (tackle by Al-Quadin Muhammad),0.890,1.660
2,1:31,1,10,SEA 41,14,10,Russell Wilson pass complete short left to Gerald Everett for no gain (tackle by Khari Willis) (no play),1.660,1.330
2,1:23,1,15,SEA 36,14,10,Russell Wilson sacked by and Khari Willis for -5 yards and Al-Quadin Muhammad for -5 yards,1.330,-0.230
2,0:51,2,20,SEA 31,20,10,"Russell Wilson pass complete deep middle to Tyler Lockett for 69 yards, touchdown",-0.230,7.000
2,0:41,,,IND 15,21,10,Jason Myers kicks extra point good,0.000,0.000
2,0:41,,,SEA 35,21,10,"Jason Myers kicks off 65 yards, returned by Isaiah Rodgers for 19 yards (tackle by Cody Barton and Nick Bellore)",0.000,0.150
2,0:37,1,10,IND 19,21,10,Carson Wentz pass incomplete short left intended for Nyheim Hines (defended by Rasheem Green),0.150,-0.390
2,0:34,2,10,IND 19,21,10,Carson Wentz pass complete short right to Nyheim Hines for 4 yards (tackle by Ugo Amadi),-0.390,-0.550
2,0:08,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:08,3,6,IND 23,21,10,Carson Wentz pass complete short right to Jack Doyle for 5 yards (tackle by Jordyn Brooks),-0.550,-1.500
2,0:04,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:04,4,1,IND 28,21,10,Carson Wentz pass incomplete deep right,-1.500,0.810
Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,21,10,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SEA 25,21,10,Russell Wilson pass complete short left to Chris Carson for 4 yards (tackle by Bobby Okereke),0.610,0.600
3,14:22,2,6,SEA 29,21,10,Russell Wilson pass complete short middle to D.K. Metcalf for 12 yards (tackle by DeForest Buckner),0.600,1.660
3,13:45,1,10,SEA 41,21,10,Chris Carson left tackle for no gain (tackle by Kwity Paye),1.660,1.120
3,13:17,2,10,SEA 41,21,10,Freddie Swain right end for 5 yards (tackle by Khari Willis),1.120,1.090
3,12:37,3,5,SEA 46,21,10,Russell Wilson pass incomplete deep left intended for Tyler Lockett (defended by T.J. Carrie),1.090,-0.320
3,12:31,4,5,SEA 46,21,10,"Michael Dickson punts 49 yards, returned by Nyheim Hines for 7 yards (tackle by Jon Rhattigan and Travis Homer)",-0.320,0.350
3,12:19,1,10,IND 12,21,10,Carson Wentz pass incomplete short right,-0.350,-0.780
3,12:14,2,10,IND 12,21,10,Carson Wentz pass complete short left to Jonathan Taylor for 7 yards (tackle by Quandre Diggs),-0.780,-0.600
3,11:26,3,3,IND 19,21,10,Carson Wentz pass incomplete short middle intended for Parris Campbell,-0.600,-2.140
3,11:17,4,3,IND 19,21,10,"Rigoberto Sanchez punts 52 yards, returned by Freddie Swain for 9 yards (tackle by Ashton Dulin)",-2.140,-1.470
3,11:06,1,10,SEA 38,21,10,Chris Carson left end for 9 yards (tackle by Khari Willis),1.470,2.140
3,10:47,2,1,SEA 47,21,10,Chris Carson right tackle for 1 yard (tackle by Julian Blackmon),2.140,2.130
3,10:03,1,10,SEA 48,21,10,Russell Wilson sacked by Kenny Moore for -1 yards,2.130,1.450
3,9:20,2,11,SEA 47,21,10,Russell Wilson pass complete short right to DeeJay Dallas for 5 yards (tackle by Shaquille Leonard),1.450,1.420
3,8:46,3,6,IND 48,21,10,Russell Wilson sacked by DeForest Buckner for -7 yards,1.420,-0.390
3,8:06,4,13,SEA 45,21,10,Michael Dickson punts 40 yards downed by Darrell Taylor,-0.390,0.220
3,7:56,1,10,IND 15,21,10,Carson Wentz pass incomplete short middle intended for Michael Pittman,-0.220,-0.710
3,7:50,2,10,IND 15,21,10,Nyheim Hines left tackle for 2 yards (tackle by Bryan Mone),-0.710,-1.120
3,7:06,3,8,IND 17,21,10,Carson Wentz sacked by Benson Mayowa for -10 yards,-1.120,-2.490
3,6:23,,,,,,Timeout #1 by Seattle Seahawks,,
3,6:23,4,18,IND 7,21,10,"Rigoberto Sanchez punts 42 yards, fair catch by Freddie Swain at IND-49",-2.490,-2.320
3,6:16,1,10,IND 49,21,10,Russell Wilson pass complete short right to D.K. Metcalf for 3 yards (tackle by Khari Willis),2.320,2.190
3,5:42,2,7,IND 46,21,10,"Chris Carson left tackle for 1 yard. Chris Carson fumbles (forced by Shaquille Leonard), recovered by Kwity Paye at IND-45 (tackle by Shaquille Leonard)",2.190,-1.930
3,5:37,1,10,IND 45,21,10,Carson Wentz pass complete short left to Jonathan Taylor for 15 yards (tackle by Tre Flowers),1.930,2.920
3,5:09,1,10,SEA 40,21,10,Jonathan Taylor up the middle for 4 yards (tackle by Bryan Mone),2.920,2.910
3,4:43,2,6,SEA 36,21,10,Jonathan Taylor up the middle for 3 yards (tackle by Bryan Mone),2.910,2.610
3,3:59,3,3,SEA 33,21,10,Nyheim Hines up the middle for 2 yards (tackle by Bryan Mone and Quandre Diggs),2.610,1.410
3,3:36,4,1,SEA 31,21,10,"Carson Wentz aborted snap, recovered by D.J. Reed at SEA-31",1.410,-1.000
3,3:27,1,10,SEA 31,21,10,Chris Carson left end for 4 yards (tackle by Grover Stewart),1.000,1.000
3,2:42,2,6,SEA 35,21,10,Russell Wilson pass complete short left to Will Dissly for 9 yards (tackle by T.J. Carrie),1.000,1.860
3,2:13,1,10,SEA 44,21,10,Chris Carson right end for 6 yards (tackle by Shaquille Leonard and Julian Blackmon),1.860,2.130
3,1:37,2,4,SEA 50,21,10,Russell Wilson pass incomplete short left,2.130,1.420
3,1:34,3,4,SEA 50,21,10,Russell Wilson pass incomplete deep right intended for D.K. Metcalf,1.420,-0.060
3,1:29,4,4,SEA 50,21,10,"Michael Dickson punts 36 yards, fair catch by Nyheim Hines at IND-14",-0.060,0.280
3,1:22,1,10,IND 14,21,10,Jonathan Taylor left end for -2 yards (tackle by Bobby Wagner and Poona Ford),-0.280,-0.930
3,0:38,2,12,IND 12,21,10,Carson Wentz pass incomplete short middle intended for Zach Pascal,-0.930,-1.650
3,0:34,3,12,IND 12,21,10,Carson Wentz pass complete deep middle to Mike Strachan for 16 yards (tackle by D.J. Reed),-1.650,0.810
3,0:02,1,10,IND 28,21,10,"Penalty on Bryan Mone: Encroachment, 5 yards (accepted) (no play)",0.810,1.540
Quarter,Time,Down,ToGo,Location,SEA,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,5,IND 33,21,10,Jonathan Taylor left tackle for 4 yards (tackle by Bobby Wagner and Alton Robinson),1.540,1.480
4,14:23,2,1,IND 37,21,10,Jonathan Taylor up the middle for 9 yards (tackle by Quandre Diggs),1.480,1.990
4,13:38,1,10,IND 46,21,10,Carson Wentz pass incomplete deep right intended for Parris Campbell,1.990,1.450
4,13:34,2,10,IND 46,21,10,Carson Wentz pass complete short right to Nyheim Hines for 8 yards (tackle by Ugo Amadi),1.450,1.820
4,12:49,3,2,SEA 46,21,10,Carson Wentz pass complete short right to Jack Doyle for 9 yards,1.820,3.120
4,12:16,1,10,SEA 37,21,10,Nyheim Hines up the middle for 4 yards (tackle by Bobby Wagner and Ugo Amadi),3.120,3.110
4,11:36,2,6,SEA 33,21,10,Carson Wentz pass complete short middle to Jack Doyle for 7 yards (tackle by Tre Flowers),3.110,3.840
4,10:50,1,10,SEA 26,21,10,Carson Wentz pass incomplete short right intended for Nyheim Hines (defended by Rasheem Green),3.840,3.300
4,10:46,2,10,SEA 26,21,10,Carson Wentz pass incomplete short left,3.300,2.610
4,10:44,3,10,SEA 26,21,10,Carson Wentz pass complete short right to Michael Pittman for 8 yards (tackle by Jamal Adams),2.610,2.370
4,10:00,4,2,SEA 18,21,10,Carson Wentz sacked by Darrell Taylor for -9 yards,2.370,-0.740
4,9:56,1,10,SEA 27,21,10,Russell Wilson pass complete deep left to D.K. Metcalf for 30 yards (tackle by T.J. Carrie),0.740,2.720
4,9:30,1,10,IND 43,21,10,Russell Wilson pass complete short right to Chris Carson for 6 yards (tackle by DeForest Buckner and Bobby Okereke),2.720,2.990
4,8:50,2,4,IND 37,21,10,Russell Wilson pass complete short right to Tyler Lockett for 4 yards (tackle by Rock Ya-Sin),2.990,3.380
4,8:18,1,10,IND 33,21,10,D'Wayne Eskridge left end for 9 yards (tackle by Khari Willis and Rock Ya-Sin),3.380,4.050
4,7:58,2,1,IND 24,21,10,DeeJay Dallas right tackle for 5 yards (tackle by Khari Willis),4.050,4.310
4,7:14,1,10,IND 19,21,10,Chris Carson up the middle for 4 yards (tackle by Shaquille Leonard and Bobby Okereke),4.310,4.350
4,6:45,2,6,IND 15,27,10,"Russell Wilson pass complete short middle to D.K. Metcalf for 15 yards, touchdown",4.350,7.000
4,6:41,,,IND 15,28,10,Jason Myers kicks extra point good,0.000,0.000
4,6:41,,,SEA 35,28,10,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,6:41,1,10,IND 25,28,10,Carson Wentz pass complete short right to Jonathan Taylor for 13 yards (tackle by D.J. Reed and Bobby Wagner),0.610,1.470
4,6:17,1,10,IND 38,28,10,Carson Wentz scrambles right end for 8 yards (tackle by Jordyn Brooks and Bobby Wagner),1.470,2.000
4,5:51,2,2,IND 46,28,10,Jonathan Taylor right tackle for 3 yards (tackle by Kerry Hyder and Bobby Wagner),2.000,2.190
4,5:28,1,10,IND 49,28,10,Carson Wentz pass incomplete short left intended for Jonathan Taylor,2.190,1.650
4,5:20,2,10,IND 49,28,10,Carson Wentz pass complete short left to Michael Pittman for 7 yards (tackle by D.J. Reed),1.650,1.880
4,4:57,3,3,SEA 44,28,10,"Carson Wentz pass incomplete intended for Mike Strachan. Penalty on D.J. Reed: Defensive Pass Interference, 13 yards (accepted) (no play)",1.880,3.510
4,4:53,1,10,SEA 31,28,10,Carson Wentz pass complete short middle to Nyheim Hines for 1 yard (tackle by Jordyn Brooks),3.510,3.100
4,4:20,2,9,SEA 30,28,10,Carson Wentz pass complete short middle to Zach Pascal for 16 yards (tackle by Marquise Blair),3.100,4.650
4,3:35,1,10,SEA 14,28,10,Jonathan Taylor for 12 yards (tackle by Quandre Diggs and Jordyn Brooks),4.650,6.740
4,3:00,1,2,SEA 2,28,10,Jonathan Taylor up the middle for 1 yard (tackle by Jamal Adams),6.740,5.910
4,2:23,2,1,SEA 1,28,10,"Jonathan Taylor for no gain, touchdown. Penalty on Zach Pascal: Offensive Holding, 10 yards (accepted) (no play)",5.910,4.020
4,2:12,2,11,SEA 11,28,16,"Carson Wentz pass complete short middle to Zach Pascal for 11 yards, touchdown",4.020,7.000
4,2:08,,,SEA 2,28,16,"Two Point Attempt: Carson Wentz rushes, conversion fails.",1.000,-1.000
4,2:08,,,IND 35,28,16,"Rodrigo Blankenship kicks onside 10 yards, returned by Travis Homer for no gain",0.000,2.590
4,2:07,1,10,IND 45,28,16,Russell Wilson left end for -3 yards (tackle by Kwity Paye),2.590,1.640
4,2:00,2,13,IND 48,28,16,Chris Carson right end for 6 yards (tackle by Bobby Okereke and Grover Stewart),1.640,1.750
4,1:55,,,,,,Timeout #1 by Indianapolis Colts,,
4,1:55,3,7,IND 42,28,16,Russell Wilson left end for -3 yards (tackle by Julian Blackmon),1.750,0.270
4,1:48,,,,,,Timeout #2 by Indianapolis Colts,,
4,1:48,4,10,IND 45,28,16,Michael Dickson punts 35 yards downed by Ryan Neal,0.270,0.380
4,1:40,1,10,IND 10,28,16,Nyheim Hines right guard for 1 yard (tackle by Alton Robinson),-0.380,-0.710
4,1:20,2,9,IND 11,28,16,Carson Wentz scrambles right end for 7 yards (tackle by Jordyn Brooks),-0.710,-0.480
4,0:57,3,2,IND 18,28,16,Nyheim Hines up the middle for 3 yards (tackle by Jordyn Brooks and Bobby Wagner),-0.480,0.340
4,0:35,1,10,IND 21,28,16,Carson Wentz pass complete short right to Nyheim Hines for 19 yards (tackle by Jamal Adams),0.340,1.600
4,0:24,1,10,IND 40,28,16,Carson Wentz pass incomplete short right intended for Mo Alie-Cox,1.600,1.050
4,0:20,2,10,IND 40,28,16,Nyheim Hines up the middle for 8 yards (tackle by Quandre Diggs and Jordyn Brooks),1.050,1.420
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
