Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
2,11:26,1,10,LAR 40,7,0,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Harrison Smith and Nick Vigil),1.600,1.860
2,10:41,2,4,LAR 46,7,0,Sony Michel left tackle for 8 yards (tackle by Harrison Smith and Eric Kendricks),1.860,2.520
2,10:16,1,10,MIN 46,7,0,Sony Michel right end for 9 yards (tackle by Harrison Smith),2.520,3.190
2,9:35,2,1,MIN 37,7,0,Sony Michel up the middle for no gain (tackle by Harrison Smith),3.190,2.480
2,8:55,3,1,MIN 37,7,0,Sony Michel right guard for 16 yards (tackle by Mackensie Alexander),2.480,4.170
2,8:10,1,10,MIN 21,7,0,Matthew Stafford pass complete short left to Tyler Higbee for 4 yards (tackle by Patrick Peterson),4.170,4.200
2,7:30,2,6,MIN 17,7,0,Matthew Stafford pass complete short right to Cooper Kupp for 3 yards (tackle by Mackensie Alexander),4.200,4.020
2,6:44,3,3,MIN 14,7,0,Matthew Stafford pass incomplete short right intended for Odell Beckham,4.020,2.610
2,6:40,4,3,MIN 14,10,0,Matt Gay 32 yard field goal good,2.610,3.000
2,6:37,,,LAR 35,10,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,6:37,1,10,MIN 25,10,0,Kirk Cousins pass complete short right to C.J. Ham for 4 yards (tackle by Troy Reeder),0.610,0.600
2,5:53,2,6,MIN 29,10,0,Alexander Mattison left guard for -1 yards (tackle by Greg Gaines),0.600,-0.230
2,5:17,3,7,MIN 28,10,0,Kirk Cousins pass incomplete deep left intended for Justin Jefferson,-0.230,-1.500
2,5:12,4,7,MIN 28,10,0,Jordan Berry punts 63 yards downed by Kris Boyd,-1.500,0.380
2,5:00,1,10,LAR 9,10,0,Cooper Kupp right end for 4 yards (tackle by Eric Kendricks and Camryn Bynum),-0.380,-0.480
2,4:17,2,6,LAR 13,10,0,Matthew Stafford pass incomplete short middle intended for Sony Michel,-0.480,-0.950
2,4:11,3,6,LAR 13,10,0,Matthew Stafford pass short right intended for Sony Michel is intercepted by Anthony Barr at LA-14 and returned for 3 yards (tackle by Sony Michel),-0.950,-4.840
2,4:02,1,10,LAR 11,10,0,"Kirk Cousins sacked by Greg Gaines for -7 yards. Penalty on Garrett Bradbury: Tripping / Offense, 9 yards (declined)",4.840,3.230
2,3:38,2,17,LAR 18,10,0,Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by Travin Howard),3.230,3.080
2,2:58,3,12,LAR 13,10,0,Kirk Cousins pass complete short right to Adam Thielen for 9 yards (tackle by Taylor Rapp),3.080,3.030
2,2:38,4,3,LAR 4,10,3,Greg Joseph 23 yard field goal good,3.030,3.000
2,2:34,,,MIN 35,10,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,2:34,1,10,LAR 25,10,3,Sony Michel right end for 2 yards (tackle by Anthony Barr),0.610,0.330
2,2:07,2,8,LAR 27,10,3,Matthew Stafford pass complete short right to Van Jefferson for 6 yards (tackle by Harrison Smith),0.330,0.430
2,2:00,3,2,LAR 33,10,3,Matthew Stafford pass complete short middle to Odell Beckham for 6 yards (tackle by Eric Kendricks),0.430,1.530
2,1:40,1,10,LAR 39,10,3,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Anthony Barr),1.530,2.190
2,1:35,1,10,LAR 49,10,3,Matthew Stafford pass complete short left to Sony Michel for 4 yards (tackle by Xavier Woods and Mackensie Alexander),2.190,2.190
2,1:04,2,6,MIN 47,10,3,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by D.J. Wonnum),2.190,2.920
2,0:59,1,10,MIN 40,10,3,Matthew Stafford pass complete short middle to Odell Beckham for 16 yards (tackle by Harrison Smith),2.920,3.970
2,0:40,1,10,MIN 24,10,3,Matthew Stafford pass incomplete deep right intended for Van Jefferson,3.970,3.430
2,0:36,2,10,MIN 24,10,3,Matthew Stafford pass complete short left to Cooper Kupp for 11 yards (tackle by Mackensie Alexander),3.430,4.710
2,0:29,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:29,1,10,MIN 13,10,3,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Patrick Peterson),4.710,4.050
2,0:23,2,10,MIN 13,10,3,Matthew Stafford pass incomplete short right intended for Van Jefferson,4.050,3.120
2,0:19,3,10,MIN 13,10,3,Matthew Stafford pass incomplete short left intended for Odell Beckham,3.120,2.570
2,0:14,4,10,MIN 13,13,3,Matt Gay 31 yard field goal good,2.570,3.000
2,0:11,,,LAR 35,13,3,"Matt Gay kicks off 21 yards, returned by Josh Metellus for no gain",0.000,1.860
2,0:09,1,10,MIN 44,13,3,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,1.860,1.320
2,0:05,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:05,2,10,MIN 44,13,3,Kirk Cousins pass complete short left to K.J. Osborn for 8 yards (tackle by Leonard Floyd),1.320,1.690
2,0:01,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:01,3,2,LAR 48,13,3,Kirk Cousins pass incomplete deep right,1.690,0.070
Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,13,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,13,3,Sony Michel up the middle for 5 yards (tackle by Anthony Barr),0.610,0.740
3,14:18,2,5,LAR 30,13,3,Matthew Stafford pass deep left intended for Van Jefferson is intercepted by Xavier Woods at MIN-23 and returned for 15 yards (tackle by Van Jefferson),0.740,-1.470
3,14:05,1,10,MIN 38,13,3,"Kirk Cousins aborted snap, recovered by Alexander Mattison at MIN-35 and returned for 1 yard Alexander Mattison for no gain",1.470,0.650
3,13:29,2,12,MIN 36,13,3,Kirk Cousins pass complete short right to Adam Thielen for 6 yards (tackle by Jalen Ramsey),0.650,0.760
3,12:47,3,6,MIN 42,13,3,Kirk Cousins pass complete short middle to Justin Jefferson for 9 yards (tackle by Jalen Ramsey),0.760,2.320
3,12:20,1,10,LAR 49,13,3,Alexander Mattison left end for -2 yards (tackle by Darious Williams and Taylor Rapp),2.320,1.510
3,11:36,2,12,MIN 49,13,3,Kirk Cousins pass incomplete short middle intended for Tyler Conklin (defended by Troy Reeder),1.510,0.830
3,11:31,3,12,MIN 49,13,3,Kirk Cousins pass incomplete deep left intended for K.J. Osborn,0.830,-0.130
3,11:25,4,12,MIN 49,13,3,"Jordan Berry punts 39 yards, fair catch by Cooper Kupp at LA-12",-0.130,0.350
3,11:19,1,10,LAR 12,13,3,Matthew Stafford pass incomplete short middle intended for Sony Michel,-0.350,-0.780
3,11:13,2,10,LAR 12,13,3,Matthew Stafford pass (defended by Dalvin Tomlinson) intended for Tyler Higbee is intercepted by Anthony Barr at LA-10 and returned for 8 yards (tackle by Austin Corbett),-0.780,-6.740
3,11:07,1,2,LAR 2,13,9,"Alexander Mattison left tackle for 2 yards, touchdown",6.740,7.000
3,11:01,,,LAR 15,13,10,Greg Joseph kicks extra point good,0.000,0.000
3,11:01,,,MIN 35,13,10,"Penalty on Nick Scott: Defensive Offside, 5 yards (accepted) (no play)",0.000,-2.920
3,11:01,1,10,MIN 40,13,10,"Greg Joseph kicks off 60 yards, touchback.",2.920,0.610
3,11:01,1,10,LAR 25,13,10,Sony Michel right end for 4 yards (tackle by Sheldon Richardson and Eric Kendricks),0.610,0.600
3,10:16,2,6,LAR 29,13,10,Sony Michel right tackle for 4 yards (tackle by Armon Watts),0.600,0.430
3,9:32,3,2,LAR 33,13,10,Matthew Stafford pass incomplete deep right intended for Odell Beckham,0.430,-1.180
3,9:26,4,2,LAR 33,13,10,"Johnny Hekker punts 55 yards, fair catch by Dede Westbrook at MIN-12",-1.180,0.350
3,9:18,1,10,MIN 12,13,10,Kirk Cousins pass incomplete short right intended for Justin Jefferson (defended by Jalen Ramsey),-0.350,-0.780
3,9:12,2,10,MIN 12,13,10,Kirk Cousins pass complete short left to Justin Jefferson for 6 yards (tackle by Jalen Ramsey),-0.780,-0.720
3,8:33,3,4,MIN 18,13,10,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",-0.720,-1.300
3,8:11,3,9,MIN 13,13,10,Kirk Cousins scrambles left end for 8 yards (tackle by Justin Hollins and Nick Scott),-1.300,-1.960
3,7:22,4,1,MIN 21,19,10,"Jordan Berry punts 40 yards, returned by Brandon Powell for 61 yards, touchdown",-1.960,-7.000
3,7:06,,,MIN 15,20,10,Matt Gay kicks extra point good,0.000,0.000
3,7:06,,,LAR 35,20,10,"Penalty on Harrison Smith: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.000,-2.260
3,7:06,1,10,LAR 50,20,10,"Matt Gay kicks off 46 yards, returned by Wayne Gallman for 7 yards (tackle by Travin Howard and Ben Skowronek)",2.260,-0.370
3,7:03,1,10,MIN 11,20,10,Alexander Mattison right end for -3 yards (tackle by Aaron Donald),-0.370,-1.000
3,6:25,2,13,MIN 8,20,10,Kirk Cousins pass complete short right to Justin Jefferson for 21 yards (tackle by Donte Deayon and Jordan Fuller),-1.000,0.870
3,5:59,1,10,MIN 29,20,10,Alexander Mattison right tackle for 9 yards (tackle by Jordan Fuller and Travin Howard),0.870,1.540
3,5:35,2,1,MIN 38,20,10,Alexander Mattison left tackle for 2 yards (tackle by Travin Howard),1.540,1.600
3,5:00,1,10,MIN 40,20,10,Kene Nwangwu left end for 3 yards (tackle by Aaron Donald and Leonard Floyd),1.600,1.460
3,4:20,2,7,MIN 43,20,10,Kirk Cousins pass complete short middle to Justin Jefferson for 34 yards (tackle by Taylor Rapp),1.460,4.040
3,3:48,1,10,LAR 23,20,10,Kene Nwangwu right tackle for 5 yards (tackle by Troy Reeder),4.040,4.210
3,3:21,2,5,LAR 18,20,10,Kirk Cousins pass complete short left to C.J. Ham for 9 yards (tackle by Troy Reeder),4.210,5.140
3,2:51,1,9,LAR 9,20,10,Kirk Cousins pass complete short left to K.J. Osborn for 5 yards (tackle by Jalen Ramsey),5.140,5.340
3,2:19,2,4,LAR 4,20,10,Kene Nwangwu up the middle for -2 yards (tackle by Aaron Donald),5.340,4.040
3,1:39,3,6,LAR 6,20,10,Kirk Cousins pass incomplete short right intended for Alexander Mattison (defended by Travin Howard),4.040,2.990
3,1:34,4,6,LAR 6,20,13,Greg Joseph 24 yard field goal good,2.990,3.000
3,1:31,,,MIN 35,20,13,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,1:31,1,10,LAR 25,20,13,Sony Michel right guard for 10 yards (tackle by Camryn Bynum),0.610,1.270
3,0:51,1,10,LAR 35,20,13,Sony Michel right guard for 3 yards (tackle by Dalvin Tomlinson),1.270,1.130
3,0:06,2,7,LAR 38,20,13,Sony Michel left tackle for 11 yards (tackle by Mackensie Alexander),1.130,2.190
Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAR 49,20,13,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Cameron Dantzler),2.190,2.730
4,14:34,2,2,MIN 43,20,13,Darrell Henderson left end for 17 yards (tackle by Xavier Woods),2.730,3.840
4,13:48,1,10,MIN 26,20,13,Sony Michel left guard for 3 yards (tackle by Harrison Smith and D.J. Wonnum),3.840,3.700
4,13:08,2,7,MIN 23,20,13,Matthew Stafford pass incomplete short right intended for Odell Beckham,3.700,3.010
4,13:04,3,7,MIN 23,20,13,Matthew Stafford pass complete short right to Tyler Higbee for 12 yards (tackle by Mackensie Alexander),3.010,4.840
4,12:31,1,10,MIN 11,20,13,Sony Michel right guard for 4 yards (tackle by James Lynch),4.840,4.890
4,11:46,2,6,MIN 7,20,13,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Harrison Smith),4.890,3.980
4,11:42,3,6,MIN 7,26,13,"Matthew Stafford pass complete short right to Odell Beckham for 7 yards, touchdown",3.980,7.000
4,11:37,,,MIN 15,27,13,Matt Gay kicks extra point good,0.000,0.000
4,11:37,,,LAR 35,27,13,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,11:37,1,10,MIN 25,27,13,Kirk Cousins pass complete short left to Tyler Conklin for 19 yards (tackle by Taylor Rapp),0.610,1.860
4,11:10,1,10,MIN 44,27,13,Kirk Cousins pass complete deep left to K.J. Osborn for 19 yards (tackle by Jalen Ramsey and Darious Williams),1.860,3.120
4,10:45,1,10,LAR 37,27,13,Kirk Cousins pass complete short left to Alexander Mattison for 14 yards (tackle by Travin Howard),3.120,4.040
4,9:59,1,10,LAR 23,27,13,Kirk Cousins pass complete short left to Kene Nwangwu for 6 yards (tackle by Taylor Rapp and Justin Hollins),4.040,4.380
4,9:28,2,4,LAR 17,27,13,Kirk Cousins pass complete short middle to Tyler Conklin for 10 yards (tackle by Taylor Rapp),4.380,5.600
4,9:04,1,7,LAR 7,27,13,Kene Nwangwu up the middle for 1 yard (tackle by A'Shawn Robinson and Justin Hollins),5.600,4.950
4,8:25,2,6,LAR 6,27,19,"Kirk Cousins pass complete short left to K.J. Osborn for 6 yards, touchdown",4.950,7.000
4,8:21,,,LAR 15,27,20,Greg Joseph kicks extra point good,0.000,0.000
4,8:21,,,MIN 35,27,20,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,8:21,1,10,LAR 25,27,20,Sony Michel right tackle for no gain (tackle by Armon Watts and Sheldon Richardson),0.610,0.060
4,7:42,2,10,LAR 25,27,20,Sony Michel up the middle for 4 yards (tackle by Michael Pierce),0.060,-0.100
4,7:00,3,6,LAR 29,27,20,Matthew Stafford pass complete short left to Cooper Kupp for 37 yards (tackle by Xavier Woods),-0.100,3.310
4,6:13,1,10,MIN 34,27,20,Sony Michel left tackle for 3 yards (tackle by Sheldon Richardson and Cameron Dantzler),3.310,3.180
4,5:28,2,7,MIN 31,27,20,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Cameron Dantzler and Mackensie Alexander),3.180,3.270
4,4:45,3,1,MIN 25,27,20,Sony Michel left end for 3 yards (tackle by Michael Pierce),3.270,4.110
4,3:58,1,10,MIN 22,27,20,Sony Michel left end for 7 yards (tackle by Mackensie Alexander and Harrison Smith),4.110,4.650
4,3:49,2,3,MIN 15,27,20,Jake Funk left tackle for -1 yards (tackle by Nick Vigil),4.650,3.740
4,3:44,,,,,,Timeout #1 by Minnesota Vikings,,
4,3:44,,,,,,Timeout #1 by Los Angeles Rams,,
4,3:44,3,4,MIN 16,27,20,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Xavier Woods),3.740,5.140
4,3:01,1,9,MIN 9,27,20,Sony Michel up the middle for 1 yard (tackle by Dalvin Tomlinson),5.140,4.570
4,2:56,,,,,,Timeout #2 by Minnesota Vikings,,
4,2:56,2,8,MIN 8,27,20,Sony Michel right tackle for 2 yards (tackle by Cameron Dantzler),4.570,4.040
4,2:51,,,,,,Timeout #3 by Minnesota Vikings,,
4,2:51,3,6,MIN 6,27,20,Sony Michel right guard for no gain (tackle by Dalvin Tomlinson and Michael Pierce),4.040,2.990
4,2:05,4,6,MIN 6,30,20,Matt Gay 24 yard field goal good,2.990,3.000
4,2:03,,,LAR 35,30,20,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,2:03,1,10,MIN 25,30,20,"Kirk Cousins sacked by Von Miller for -2 yards. Kirk Cousins fumbles (forced by Von Miller), recovered by Kirk Cousins at MIN-23 (tackle by Von Miller)",0.610,-0.210
4,1:55,2,12,MIN 23,30,20,Kirk Cousins pass complete deep middle to K.J. Osborn for 30 yards (tackle by Jordan Fuller and Nick Scott),-0.210,2.460
4,1:34,1,10,LAR 47,30,20,Kirk Cousins pass incomplete short right intended for Justin Jefferson,2.460,1.910
4,1:30,2,10,LAR 47,30,20,"Kirk Cousins sacked by Aaron Donald for -11 yards. Kirk Cousins fumbles (forced by Aaron Donald), recovered by Christian Darrisaw at MIN-42 and returned for 5 yards (tackle by Aaron Donald)",1.910,-0.230
4,0:57,3,21,MIN 42,30,20,Kirk Cousins pass complete short left to Justin Jefferson for 16 yards (tackle by Troy Reeder),-0.230,0.460
4,0:50,,,,,,Timeout #2 by Los Angeles Rams,,
4,0:50,4,5,LAR 42,30,20,Kirk Cousins pass complete short middle to Justin Jefferson for 16 yards (tackle by Nick Scott),0.460,3.840
4,0:36,1,10,LAR 26,30,20,Kirk Cousins spiked the ball,3.840,3.300
4,0:36,2,10,LAR 26,30,23,Greg Joseph 44 yard field goal good,3.300,3.000
4,0:32,,,MIN 35,30,23,"Greg Joseph kicks onside 11 yards, returned by Van Jefferson for no gain",0.000,2.520
4,0:31,1,10,MIN 46,30,23,Matthew Stafford kneels for -1 yards,2.520,1.840
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
