Quarter,Time,Down,ToGo,Location,JAX,LAR,Detail,EPB,EPA
3,5:52,3,1,JAX 42,7,23,Matthew Stafford pass complete deep left to Cooper Kupp for 19 yards (tackle by Nevin Lawson),2.150,4.040
3,5:05,1,10,JAX 23,7,23,Matthew Stafford pass complete deep left to Tyler Higbee for 22 yards (tackle by Rayshawn Jenkins),4.040,6.970
3,4:18,,,,,,Timeout #1 by Los Angeles Rams,,
3,4:18,1,1,JAX 1,7,23,Matthew Stafford pass incomplete short middle,6.970,5.910
3,4:15,2,1,JAX 1,7,23,Sony Michel up the middle for -1 yards (tackle by Dawuane Smoot and Andrew Wingard),5.910,4.950
3,3:33,3,2,JAX 2,7,29,"Matthew Stafford pass complete short middle to Van Jefferson for 2 yards, touchdown",4.950,7.000
3,3:27,,,JAX 15,7,30,Matt Gay kicks extra point good,0.000,0.000
3,3:27,,,LAR 35,7,30,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,3:27,1,10,JAX 25,7,30,Trevor Lawrence pass complete short right to Jaydon Mickens for -2 yards (tackle by Darious Williams),0.610,-0.210
3,2:49,2,12,JAX 23,7,30,Trevor Lawrence pass incomplete short right intended for Tavon Austin,-0.210,-0.890
3,2:45,3,12,JAX 23,7,30,Trevor Lawrence pass complete short right to Jaydon Mickens for 12 yards (tackle by Jalen Ramsey),-0.890,1.270
3,2:07,1,10,JAX 35,7,30,Trevor Lawrence pass complete short left to Laquon Treadwell for 9 yards (tackle by Darious Williams),1.270,1.940
3,1:33,2,1,JAX 44,7,30,"Carlos Hyde up the middle for 2 yards. Carlos Hyde fumbles (forced by A'Shawn Robinson), recovered by Taylor Rapp at LA-45 (tackle by James O'Shaughnessy)",1.940,-1.930
3,1:27,1,10,LAR 45,7,30,Sony Michel left tackle for 6 yards (tackle by Chris Claybrooks),1.930,2.190
3,0:51,2,4,JAX 49,7,30,"Matthew Stafford pass complete short right to Kendall Blanton for 6 yards. Kendall Blanton fumbles, recovered by Kendall Blanton at JAC-43",2.190,2.720
Quarter,Time,Down,ToGo,Location,JAX,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 43,7,30,Matthew Stafford pass complete short right to Sony Michel for 5 yards (tackle by Chapelle Russell),2.720,2.850
4,14:16,2,5,JAX 38,7,30,Matthew Stafford pass complete short left to Van Jefferson for 3 yards (tackle by Lerentee McCray),2.850,2.540
4,13:26,3,2,JAX 35,7,30,"Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Chris Claybrooks). Penalty on Roy Robertson-Harris: Roughing the Passer, 14 yards (accepted)",2.540,4.710
4,12:58,1,10,JAX 13,7,30,Matthew Stafford pass incomplete short left intended for Kendall Blanton,4.710,4.050
4,12:53,2,10,JAX 13,7,30,Sony Michel right tackle for 7 yards (tackle by Damien Wilson),4.050,4.380
4,12:07,3,4,JAX 6,7,30,Sony Michel up the middle for 5 yards (tackle by Jihad Ward and Myles Jack),4.380,6.970
4,11:43,1,1,JAX 1,7,30,Sony Michel up the middle for no gain (tackle by Andrew Wingard and Damien Wilson),6.970,5.910
4,10:58,2,1,JAX 1,7,36,"Matthew Stafford pass complete short right to Odell Beckham for 1 yard, touchdown",5.910,7.000
4,10:52,,,JAX 15,7,37,Matt Gay kicks extra point good,0.000,0.000
4,10:52,,,LAR 35,7,37,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,10:52,1,10,JAX 25,7,37,Trevor Lawrence pass complete short middle to James O'Shaughnessy for 7 yards (tackle by Ernest Jones),0.610,1.010
4,10:18,2,3,JAX 32,7,37,Laviska Shenault left end for -1 yards (tackle by Greg Gaines and Aaron Donald),1.010,0.170
4,9:13,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,9:13,3,4,JAX 31,7,37,"Trevor Lawrence sacked by Aaron Donald for no gain. Penalty on Taylor Rapp: Defensive Holding, 5 yards (accepted) (no play)",0.170,1.330
4,8:42,1,10,JAX 36,7,37,"James Robinson for 3 yards. Penalty on Will Richardson: Offensive Holding, 10 yards (accepted) (no play)",1.330,0.670
4,8:27,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,8:27,1,20,JAX 26,7,37,Trevor Lawrence pass incomplete deep left intended for James O'Shaughnessy,0.670,-0.560
4,8:21,2,20,JAX 26,7,37,Trevor Lawrence pass complete short middle to Laviska Shenault for 17 yards (tackle by Taylor Rapp and Nick Scott),-0.560,1.030
4,7:42,3,3,JAX 43,7,37,Trevor Lawrence pass complete short middle to Laviska Shenault for 10 yards (tackle by Taylor Rapp),1.030,2.460
4,7:01,1,10,LAR 47,7,37,Carlos Hyde right guard for 4 yards (tackle by Jordan Fuller and A'Shawn Robinson),2.460,2.450
4,6:21,2,6,LAR 43,7,37,Carlos Hyde up the middle for no gain (tackle by Ernest Jones and Troy Reeder),2.450,1.750
4,5:39,3,6,LAR 43,7,37,Trevor Lawrence sacked by and Aaron Donald for -6 yards and Leonard Floyd for -6 yards,1.750,0.000
4,5:00,4,12,LAR 49,7,37,"Logan Cooke punts 40 yards, fair catch by Cooper Kupp at LA-9",0.000,0.380
4,4:50,1,10,LAR 9,7,37,Sony Michel right guard for 25 yards (tackle by Shaquille Quarterman),-0.380,1.200
4,4:41,1,10,LAR 34,7,37,Sony Michel up the middle for 2 yards (tackle by Rayshawn Jenkins and Adam Gotsis),1.200,0.930
4,4:00,2,8,LAR 36,7,37,Mekhi Sargent left tackle for 3 yards (tackle by Nevin Lawson and Chapelle Russell),0.930,0.630
4,3:14,3,5,LAR 39,7,37,Mekhi Sargent right tackle for 2 yards (tackle by Taven Bryan),0.630,-0.650
4,2:30,4,3,LAR 41,7,37,Johnny Hekker punts 58 yards downed by Robert Rochell,-0.650,0.380
4,2:15,1,10,JAX 1,7,37,C.J. Beathard up the middle for 2 yards (tackle by Nick Scott),-0.380,-0.630
4,2:00,2,8,JAX 3,7,37,James Robinson up the middle for 1 yard (tackle by Michael Hoecht),-0.630,-1.070
4,1:19,3,7,JAX 4,7,37,Trevor Lawrence pass complete short right to Tavon Austin for 9 yards (tackle by Ernest Jones),-1.070,-0.320
4,1:10,1,10,JAX 13,7,37,James Robinson right tackle for 5 yards (tackle by Donte Deayon),-0.320,-0.140
4,0:29,2,5,JAX 18,7,37,James Robinson up the middle for 2 yards (tackle by Michael Hoecht and Bobby Brown),-0.140,-0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
