Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
1,9:26,3,14,PHI 37,0,0,Jared Goff pass complete short left to T.J. Hockenson for 8 yards (tackle by Marcus Epps),1.620,1.520
1,8:41,4,6,PHI 29,0,0,Austin Seibert 47 yard field goal no good,1.520,-1.400
1,8:36,1,10,PHI 37,0,0,Jalen Hurts pass complete short middle to Dallas Goedert for 7 yards (tackle by Charles Harris and Tracy Walker),1.400,1.800
1,7:59,2,3,PHI 44,0,0,Boston Scott up the middle for 7 yards (tackle by Dean Marlowe and Nick Williams),1.800,2.320
1,7:23,1,10,DET 49,0,0,Jalen Reagor right end for 11 yards (tackle by Dean Marlowe),2.320,3.050
1,6:36,1,10,DET 38,0,0,Boston Scott up the middle for 3 yards (tackle by Alex Anzalone),3.050,2.910
1,6:03,2,7,DET 35,0,0,Jalen Reagor left end for 10 yards (tackle by Amani Oruwariye),2.910,3.910
1,5:47,1,10,DET 25,0,0,Boston Scott right tackle for 5 yards (tackle by Levi Onwuzurike),3.910,4.040
1,5:12,2,5,DET 20,0,0,Jalen Hurts pass complete deep right to Quez Watkins for 16 yards (tackle by Tracy Walker),4.040,6.280
1,4:38,1,4,DET 4,0,0,"Jalen Hurts sacked by Dean Marlowe for no gain. Penalty on Amani Oruwariye: Defensive Holding, 2 yards (accepted) (no play)",6.280,6.740
1,4:14,1,2,DET 2,0,0,Jalen Hurts right end for 1 yard (tackle by Dean Marlowe),6.740,5.910
1,3:33,2,1,DET 1,0,0,"Jalen Hurts pass complete short middle to Jalen Reagor for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Jalen Hurts pass complete short middle to Jalen Reagor for no gain (tackle by Michael Brockers)",5.910,5.170
1,3:15,3,1,DET 1,6,0,"Boston Scott right tackle for 1 yard, touchdown",5.170,7.000
1,3:11,,,DET 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,3:11,,,PHI 35,7,0,"Jake Elliott kicks off 65 yards, returned by Godwin Igwebuike for 30 yards (tackle by Patrick Johnson and Josiah Scott)",0.000,0.940
1,3:05,1,10,DET 30,7,0,D'Andre Swift up the middle for 1 yard (tackle by Davion Taylor),0.940,0.530
1,2:32,2,9,DET 31,7,0,Jared Goff pass complete short left to D'Andre Swift for -1 yards (tackle by T.J. Edwards),0.530,-0.300
1,1:52,3,10,DET 30,7,0,Jared Goff sacked by Josh Sweat for -12 yards,-0.300,-2.240
1,1:11,4,22,DET 18,7,0,"Jack Fox punts 43 yards, fair catch by Greg Ward at PHI-39",-2.240,-1.530
1,1:03,1,10,PHI 39,7,0,Boston Scott left end for 8 yards (tackle by Jerry Jacobs and Derrick Barnes),1.530,2.070
1,0:26,2,2,PHI 47,7,0,Boston Scott up the middle for 6 yards (tackle by Derrick Barnes),2.070,2.460
1,0:01,1,10,DET 47,7,0,"Penalty on Michael Brockers: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.460,3.190
Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,DET 42,7,0,Jordan Howard up the middle for 10 yards (tackle by Derrick Barnes and Dean Marlowe),3.190,3.450
2,14:26,1,10,DET 32,7,0,Jordan Howard right end for 4 yards (tackle by Michael Brockers and John Penisini),3.450,3.440
2,13:44,2,6,DET 28,7,0,Jordan Howard up the middle for 3 yards (tackle by Alex Anzalone),3.440,3.140
2,13:03,3,3,DET 25,7,0,Jalen Hurts pass incomplete short left intended for Dallas Goedert (defended by Da'Shawn Hand),3.140,1.900
2,12:55,4,3,DET 25,10,0,Jake Elliott 43 yard field goal good,1.900,3.000
2,12:50,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,12:50,1,10,DET 25,10,0,Jermar Jefferson left end for -2 yards (tackle by Milton Williams),0.610,-0.210
2,12:18,2,12,DET 23,10,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Darius Slay),-0.210,-0.230
2,11:39,3,7,DET 28,10,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 7 yards (tackle by Avonte Maddox),-0.230,1.270
2,11:09,1,10,DET 35,10,0,D'Andre Swift up the middle for 5 yards (tackle by Genard Avery),1.270,1.400
2,10:33,2,5,DET 40,10,0,D'Andre Swift up the middle for 4 yards (tackle by T.J. Edwards and Genard Avery),1.400,1.220
2,9:53,3,1,DET 44,10,0,D'Andre Swift up the middle for 2 yards (tackle by T.J. Edwards),1.220,1.990
2,9:18,1,10,DET 46,10,0,Jared Goff pass incomplete short middle intended for KhaDarel Hodge,1.990,1.450
2,9:12,2,10,DET 46,10,0,"Penalty on T.J. Hockenson: False Start, 5 yards (accepted) (no play)",1.450,0.780
2,9:12,2,15,DET 41,10,0,Jared Goff pass complete short left to D'Andre Swift for 7 yards (tackle by T.J. Edwards and Davion Taylor),0.780,1.030
2,8:33,3,8,DET 48,10,0,Jared Goff sacked by Derek Barnett for -13 yards,1.030,-1.040
2,7:54,4,21,DET 35,10,0,"Jack Fox punts 58 yards, returned by Greg Ward for 12 yards (tackle by Josh Woods and Bobby Price)",-1.040,-0.150
2,7:41,1,10,PHI 19,10,0,Boston Scott left end for 19 yards (tackle by Dean Marlowe),0.150,1.470
2,6:58,1,10,PHI 38,10,0,Boston Scott up the middle for 1 yard (tackle by Julian Okwara and Alim McNeill),1.470,1.060
2,6:13,2,9,PHI 39,10,0,Jalen Hurts scrambles left tackle for 12 yards (tackle by Jalen Reeves-Maybin),1.060,2.320
2,5:33,1,10,DET 49,10,0,Jalen Hurts pass complete short right to Dallas Goedert for 15 yards (tackle by Alex Anzalone),2.320,3.310
2,5:08,1,10,DET 34,10,0,Jalen Hurts pass complete short right to Dallas Goedert for 13 yards (tackle by Amani Oruwariye),3.310,4.170
2,4:25,1,10,DET 21,10,0,Kenneth Gainwell up the middle for 3 yards (tackle by Austin Bryant),4.170,4.040
2,3:44,2,7,DET 18,10,0,Jalen Hurts scrambles left end for 14 yards (tackle by Tracy Walker),4.040,6.280
2,2:56,1,4,DET 4,16,0,"Jordan Howard up the middle for 4 yards, touchdown",6.280,7.000
2,2:51,,,DET 15,17,0,Jake Elliott kicks extra point good,0.000,0.000
2,2:51,,,PHI 35,17,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,2:51,1,10,DET 25,17,0,Jared Goff pass complete short left to T.J. Hockenson for 2 yards (tackle by Davion Taylor),0.610,0.330
2,2:20,2,8,DET 27,17,0,D'Andre Swift up the middle for 2 yards (tackle by Milton Williams),0.330,-0.100
2,2:00,3,6,DET 29,17,0,Jared Goff pass complete short right to T.J. Hockenson for 10 yards (tackle by Avonte Maddox),-0.100,1.530
2,1:30,1,10,DET 39,17,0,D'Andre Swift left end for -2 yards (tackle by T.J. Edwards),1.530,0.720
2,1:22,,,,,,Timeout #1 by Philadelphia Eagles,,
2,1:22,2,12,DET 37,17,0,Jared Goff pass complete short middle to T.J. Hockenson for 5 yards (tackle by Marcus Epps and T.J. Edwards),0.720,0.700
2,1:17,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:17,3,7,DET 42,17,0,Jared Goff pass complete short left to T.J. Hockenson for 9 yards,0.700,2.320
2,1:12,1,10,PHI 49,17,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for no gain (tackle by Marcus Epps and Avonte Maddox) (no play),2.320,1.990
2,1:00,1,15,DET 46,17,0,"Jared Goff pass complete short left to D'Andre Swift for no gain (tackle by Alex Singleton). Penalty on Steven Nelson: Defensive Holding, 5 yards (accepted) (no play)",1.990,2.320
2,0:54,1,10,PHI 49,17,0,Jared Goff pass incomplete short right,2.320,1.780
2,0:48,2,10,PHI 49,17,0,Jared Goff pass complete short left to Godwin Igwebuike for 18 yards (tackle by Rodney McLeod),1.780,3.510
2,0:42,1,10,PHI 31,17,0,Godwin Igwebuike left tackle for 5 yards (tackle by Marcus Epps),3.510,3.640
2,0:37,,,,,,Timeout #1 by Detroit Lions,,
2,0:37,2,5,PHI 26,17,0,Jared Goff pass complete short left to D'Andre Swift for 4 yards (tackle by Steven Nelson),3.640,3.470
2,0:18,3,1,PHI 22,17,0,D'Andre Swift right tackle for no gain (tackle by T.J. Edwards),3.470,2.140
2,0:13,,,,,,Timeout #2 by Detroit Lions,,
2,0:13,4,1,PHI 22,17,0,Jared Goff sacked by Milton Williams for -4 yards,2.140,-0.670
2,0:08,1,10,PHI 26,17,0,Jalen Hurts kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,17,0,"Austin Seibert kicks off 66 yards, returned by Quez Watkins for 21 yards (tackle by Josh Woods). Penalty on K'Von Wallace: Offensive Holding, 10 yards (accepted)",0.000,-0.380
3,14:56,1,10,PHI 10,17,0,Boston Scott right tackle for -2 yards (tackle by Nick Williams),-0.380,-0.930
3,14:19,2,12,PHI 8,17,0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,-0.930,-1.650
3,14:07,3,12,PHI 8,17,0,Jalen Hurts scrambles up the middle for 20 yards (tackle by Will Harris),-1.650,0.810
3,13:26,1,10,PHI 28,17,0,Boston Scott up the middle for 3 yards (tackle by Levi Onwuzurike) (no play),0.810,1.540
3,13:21,1,5,PHI 33,17,0,Jalen Hurts pass complete deep right to Dallas Goedert for 17 yards (tackle by Tracy Walker),1.540,2.260
3,12:40,1,10,PHI 50,17,0,Jordan Howard left tackle for 4 yards (tackle by Charles Harris),2.260,2.250
3,12:12,2,6,DET 46,17,0,Jordan Howard up the middle for 7 yards (tackle by Charles Harris and Derrick Barnes),2.250,2.980
3,11:35,1,10,DET 39,17,0,Jalen Hurts pass complete deep right to Dallas Goedert for 19 yards (tackle by Tracy Walker and Alex Anzalone),2.980,4.240
3,10:58,1,10,DET 20,17,0,Jordan Howard up the middle for 3 yards (tackle by Derrick Barnes and Levi Onwuzurike),4.240,4.120
3,10:16,2,7,DET 17,17,0,Jordan Howard up the middle for 10 yards (tackle by Amani Oruwariye and Tracy Walker),4.120,5.600
3,9:50,1,7,DET 7,17,0,Jalen Hurts right end for 4 yards (tackle by Charles Harris),5.600,5.530
3,9:07,2,3,DET 3,23,0,"Boston Scott up the middle for 3 yards, touchdown. Penalty on Alex Anzalone: Illegal Use of Hands / Defense, 5 yards (declined)",5.530,7.000
3,9:02,,,DET 15,24,0,Jake Elliott kicks extra point good,0.000,0.000
3,9:02,,,PHI 35,24,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,9:02,1,10,DET 25,24,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 34 yards (tackle by Marcus Epps),0.610,2.850
3,8:36,1,10,PHI 41,24,0,D'Andre Swift right tackle for 2 yards (tackle by T.J. Edwards and Josh Sweat),2.850,2.580
3,7:55,2,8,PHI 39,24,0,Jared Goff pass complete to Jermar Jefferson for no gain (tackle by Fletcher Cox),2.580,1.880
3,7:15,3,8,PHI 39,24,0,"Jared Goff pass complete short middle to Tom Kennedy for no gain (tackle by T.J. Edwards and Rodney McLeod). Penalty on Evan Brown: Offensive Holding, 10 yards (accepted) (no play)",1.880,0.560
3,6:49,3,18,PHI 49,24,0,D'Andre Swift up the middle for 7 yards (tackle by T.J. Edwards and Marcus Epps),0.560,0.460
3,6:07,4,11,PHI 42,24,0,Jared Goff pass incomplete intended for Kalif Raymond,0.460,-1.800
3,6:00,1,10,PHI 43,24,0,Jalen Hurts pass complete short right to Dallas Goedert for 1 yard (tackle by Jalen Elliott),1.800,1.390
3,5:12,2,9,PHI 44,24,0,Jalen Hurts pass incomplete short right intended for Boston Scott,1.390,0.690
3,5:03,3,9,PHI 44,24,0,Jalen Hurts pass complete short right to DeVonta Smith for 15 yards (tackle by Amani Oruwariye),0.690,2.850
3,4:40,1,10,DET 41,24,0,Jalen Hurts right end for 21 yards (tackle by Will Harris),2.850,4.240
3,4:03,1,10,DET 20,24,0,Boston Scott right end for 4 yards (tackle by Jalen Reeves-Maybin and Tracy Walker),4.240,4.280
3,3:26,2,6,DET 16,24,0,Jordan Howard up the middle for 3 yards (tackle by Austin Bryant and Jalen Reeves-Maybin),4.280,4.100
3,2:43,3,3,DET 13,24,0,Jordan Howard up the middle for 5 yards (tackle by Charles Harris and Trey Flowers),4.100,5.370
3,2:16,1,8,DET 8,24,0,Jalen Hurts left end for -2 yards (tackle by Tracy Walker) (no play),5.370,6.280
3,1:55,1,4,DET 4,24,0,Jordan Howard up the middle for 2 yards (tackle by Michael Brockers and John Penisini),6.280,5.720
3,1:25,2,2,DET 2,30,0,"Jordan Howard left tackle for 2 yards, touchdown",5.720,7.000
3,1:20,,,DET 15,31,0,Jake Elliott kicks extra point good,0.000,0.000
3,1:20,,,PHI 35,31,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,1:20,1,10,DET 25,37,0,"Jared Goff pass complete short right to D'Andre Swift for 8 yards. D'Andre Swift fumbles (forced by Avonte Maddox), recovered by Darius Slay at DET-33 and returned for 33 yards, touchdown",0.610,-7.000
3,1:09,,,DET 15,38,0,Jake Elliott kicks extra point good,0.000,0.000
3,1:09,,,PHI 35,38,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,1:09,1,10,DET 25,38,0,Jared Goff pass complete short left to D'Andre Swift for 6 yards (tackle by T.J. Edwards),0.610,0.870
3,0:49,2,4,DET 31,38,0,"Jared Goff sacked by Hassan Ridgeway for -11 yards. Jared Goff fumbles (forced by Hassan Ridgeway), recovered by Jared Goff at DET-20 (tackle by Hassan Ridgeway)",0.870,-1.290
Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,15,DET 20,38,0,Jared Goff pass complete short right to T.J. Hockenson for 11 yards (tackle by T.J. Edwards and Rodney McLeod),-1.290,-1.310
4,14:20,4,4,DET 31,38,0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Rodney McLeod),-1.310,-3.510
4,14:15,1,10,DET 31,38,0,Gardner Minshew pass complete short right to Quez Watkins for 2 yards (tackle by Julian Okwara),3.510,3.240
4,13:39,2,8,DET 29,38,0,Kenneth Gainwell right tackle for 1 yard (tackle by Levi Onwuzurike),3.240,2.680
4,12:58,3,7,DET 28,38,0,Kenneth Gainwell up the middle for no gain (tackle by Austin Bryant and Trey Flowers),2.680,1.590
4,12:17,4,7,DET 28,38,0,"Jake Elliott yard field goal good. Penalty on Julian Okwara: Leverage, 14 yards (accepted) (no play)",1.590,4.650
4,12:11,1,10,DET 14,38,0,Kenneth Gainwell left tackle for -6 yards (tackle by Derrick Barnes),4.650,3.280
4,11:28,2,16,DET 20,38,0,Kenneth Gainwell left tackle for 3 yards (tackle by Levi Onwuzurike),3.280,2.930
4,10:42,3,13,DET 17,38,0,Gardner Minshew pass complete short left to Jack Stoll for 9 yards (tackle by Jalen Reeves-Maybin),2.930,2.980
4,9:58,4,4,DET 8,41,0,Jake Elliott 26 yard field goal good,2.980,3.000
4,9:53,,,PHI 35,41,0,"Jake Elliott kicks off 73 yards, returned by Godwin Igwebuike for 41 yards (tackle by Alex Singleton)",0.000,1.140
4,9:46,1,10,DET 33,41,0,Jared Goff pass complete to Jermar Jefferson for 11 yards (tackle by Davion Taylor),1.140,1.860
4,9:25,1,10,DET 44,41,0,Jared Goff pass complete short left to Jermar Jefferson for 7 yards (tackle by Shaun Bradley),1.860,2.260
4,9:04,2,3,PHI 49,41,0,Jared Goff pass complete short right to T.J. Hockenson for 9 yards (tackle by Shaun Bradley),2.260,2.920
4,8:44,1,10,PHI 40,41,0,Jared Goff pass complete short middle to Godwin Igwebuike for 17 yards (tackle by Marcus Epps and Josiah Scott),2.920,4.040
4,8:21,1,10,PHI 23,41,0,Jared Goff pass incomplete deep left intended for Tom Kennedy,4.040,3.500
4,8:16,2,10,PHI 23,41,0,Jared Goff pass complete short right to Godwin Igwebuike for 5 yards (tackle by Shaun Bradley),3.500,3.490
4,7:58,3,5,PHI 18,41,0,Jared Goff pass incomplete deep right intended for KhaDarel Hodge,3.490,2.300
4,7:53,4,5,PHI 18,41,0,Jared Goff pass complete short right to T.J. Hockenson for 10 yards (tackle by Marcus Epps),2.300,5.370
4,7:31,1,8,PHI 8,41,0,Jared Goff pass incomplete short left,5.370,4.570
4,7:23,2,8,PHI 8,41,0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Shaun Bradley),4.570,3.580
4,7:18,3,8,PHI 8,41,6,"Jermar Jefferson up the middle for 8 yards, touchdown",3.580,7.000
4,7:14,,,PHI 2,41,6,Two Point Attempt: Jared Goff pass incomplete intended for intended for T.J. Hockenson,1.000,-1.000
4,7:14,,,DET 35,41,6,"Austin Seibert kicks onside 14 yards, returned by Dallas Goedert for no gain",0.000,2.320
4,7:13,1,10,DET 49,41,6,Kenneth Gainwell for 3 yards (tackle by Charles Harris and C.J. Moore),2.320,2.190
4,6:29,2,7,DET 46,41,6,Kenneth Gainwell up the middle for 7 yards (tackle by Austin Bryant),2.190,2.980
4,5:46,1,10,DET 39,41,6,Kenneth Gainwell left tackle for 8 yards (tackle by Derrick Barnes and Jalen Elliott),2.980,3.520
4,4:59,2,2,DET 31,41,6,Kenneth Gainwell up the middle for 1 yard (tackle by Austin Bryant),3.520,2.940
4,4:16,3,1,DET 30,41,6,Kenneth Gainwell up the middle for 1 yard (tackle by Austin Bryant and Alim McNeill),2.940,3.640
4,3:18,1,10,DET 29,41,6,Kenneth Gainwell left end for 6 yards (tackle by Bobby Price and C.J. Moore),3.640,3.910
4,2:31,2,4,DET 23,41,6,Kenneth Gainwell right end for -1 yards (tackle by Julian Okwara),3.910,3.070
4,2:00,3,5,DET 24,41,6,Kenneth Gainwell up the middle for 1 yard (tackle by John Penisini and Austin Bryant),3.070,2.000
4,1:54,,,,,,Timeout #1 by Detroit Lions,,
4,1:54,4,4,DET 23,44,6,Jake Elliott 41 yard field goal good,2.000,3.000
4,1:49,,,PHI 35,44,6,"Jake Elliott kicks off 73 yards, returned by Godwin Igwebuike for 29 yards (tackle by Patrick Johnson)",0.000,0.340
4,1:44,1,10,DET 21,44,6,David Blough scrambles left tackle for 6 yards (tackle by Milton Williams),0.340,0.610
4,1:36,,,,,,Timeout #2 by Detroit Lions,,
4,1:36,2,4,DET 27,44,6,"David Blough sacked by Tarron Jackson for -6 yards. David Blough fumbles (forced by Tarron Jackson), recovered by Tommy Kraemer at DET-21 (tackle by Tarron Jackson)",0.610,-0.890
4,0:49,3,10,DET 21,44,6,Godwin Igwebuike right end for 9 yards (tackle by Marlon Tuipulotu),-0.890,-1.370
4,0:15,4,1,DET 30,44,6,Godwin Igwebuike up the middle for 4 yards (tackle by Davion Taylor and Marlon Tuipulotu),-1.370,1.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
